구분,voca NO,grade ID,grade NO,WordText,WordMeaning,PoS,품사,image ID,WordID(SoundID),WordSymbol,result_json,example_english,example_korean,단어 여부 검수,초등800 포함여부
초등800,10016,초등,5,address,말을 걸다,1,동사,1129,25434,[ədrés],"{'example_sentence_eng': 'I address my teacher.', 'example_sentence_kor': '나는 선생님께 말을 걸어요.'}",I address my teacher.,나는 선생님께 말을 걸어요.,TRUE,TRUE
초등800,10017,초등,5,adult,어른,2,명사,2281,3741,[ədʌ́lt],"{'example_sentence_eng': 'The adult drinks milk.', 'example_sentence_kor': '어른이 우유를 마셔요.'}",The adult drinks milk.,어른이 우유를 마셔요.,TRUE,TRUE
초등800,10018,초등,5,afraid,두려워 하는,3,형용사,8064,1607,[əfréid],"{'example_sentence_eng': 'I am afraid of dark.', 'example_sentence_kor': '나는 어둠을 두려워해요.'}",I am afraid of dark.,나는 어둠을 두려워해요.,TRUE,TRUE
초등800,10019,초6,4,after,(시간/순서) 후에,6,전치사,251,1628,[ǽftər],"{'example_sentence_eng': 'I play after school.', 'example_sentence_kor': '나는 학교 후에 놀아요.'}",I play after school.,나는 학교 후에 놀아요.,TRUE,TRUE
초등800,10020,초3,1,afternoon,오후,2,명사,2452,4050,[æftərnú:n],"{'example_sentence_eng': 'I play in the afternoon.', 'example_sentence_kor': '나는 오후에 놀아요.'}",I play in the afternoon.,나는 오후에 놀아요.,TRUE,TRUE
초등800,10021,초4,2,again,다시,4,부사,834,1331,[əɡén; əgéin],"{'example_sentence_eng': 'Look again at the door.', 'example_sentence_kor': '문을 다시 보세요~요.'}",Look again at the door.,문을 다시 보세요~요.,TRUE,TRUE
초등800,10022,초등,5,against,반대하여,6,전치사,1348,3832,[əgénst],"{'example_sentence_eng': 'I stand against bad.', 'example_sentence_kor': '나는 나쁜 것에 반대하여 서요.'}",I stand against bad.,나는 나쁜 것에 반대하여 서요.,TRUE,TRUE
초등800,10023,초등,5,against,~을 배경으로,6,전치사,12820,18139,[əgénst],"{'example_sentence_eng': 'The boy stands against blue sky.', 'example_sentence_kor': '소년이 파란 하늘을 배경으로 서요.'}",The boy stands against blue sky.,소년이 파란 하늘을 배경으로 서요.,TRUE,TRUE
초등800,10024,초등,5,against,"~에 대비하여,예방하여",6,전치사,9472,20275,[əgénst; əgéinst],"{'example_sentence_eng': 'Wear coat against cold.', 'example_sentence_kor': '추위에 대비해 코트를 입어요.'}",Wear coat against cold.,추위에 대비해 코트를 입어요.,TRUE,TRUE
초등800,10025,초등,5,against,~을 거슬러,6,전치사,3251,25976,[əgénst],"{'example_sentence_eng': 'He runs against the wind.', 'example_sentence_kor': '그는 바람을 거슬러 달려요.'}",He runs against the wind.,그는 바람을 거슬러 달려요.,TRUE,TRUE
초등800,10026,초등,5,against,"~을 항하여,충돌하여",6,전치사,1348,28343,"[əgénst, əgéinst]","{'example_sentence_eng': 'Push against the door.', 'example_sentence_kor': '문을 밀어요.'}",Push against the door.,문을 밀어요.,TRUE,TRUE
초등800,10027,초등,5,age,"나이,시대",2,명사,691,1108,[éidʒ],"{'example_sentence_eng': 'My age is five.', 'example_sentence_kor': '제 나이는 다섯살이에요~요'}",My age is five.,제 나이는 다섯살이에요~요,TRUE,TRUE
초등800,10028,초등,5,age,시대,2,명사,9347,25995,[éidʒ],"{'example_sentence_eng': 'This age is fun.', 'example_sentence_kor': '이 시대는 즐거워요.'}",This age is fun.,이 시대는 즐거워요.,TRUE,TRUE
초등800,10029,초등,5,age,노화시키다,1,동사,9517,27302,[eidʒ],"{'example_sentence_eng': 'The sun ages fruit.', 'example_sentence_kor': '태양이 과일을 노화시켜요.'}",The sun ages fruit.,태양이 과일을 노화시켜요.,TRUE,TRUE
초등800,10030,초등,5,ago,전에,4,부사,7718,4989,[əgóu],"{'example_sentence_eng': 'I played here ago.', 'example_sentence_kor': '전에 여기서 놀았어요.'}",I played here ago.,전에 여기서 놀았어요.,TRUE,TRUE
초등800,10031,초등,5,agree,동의하다,1,동사,995,1577,[əgrí:],"{'example_sentence_eng': 'We agree on the plan.', 'example_sentence_kor': '우리 계획에 동의해요.'}",We agree on the plan.,우리 계획에 동의해요.,TRUE,TRUE
초등800,10032,초4,2,ahead,"앞으로,앞에",4,부사,2215,3647,[əhéd],"{'example_sentence_eng': 'Walk ahead to school.', 'example_sentence_kor': '학교 앞으로 걸어요.'}",Walk ahead to school.,학교 앞으로 걸어요.,TRUE,TRUE
초등800,10033,초5,3,air,공기,2,명사,10606,584,[έər],"{'example_sentence_eng': 'Air is everywhere.', 'example_sentence_kor': '공기가 어디나 있어요.'}",Air is everywhere.,공기가 어디나 있어요.,TRUE,TRUE
초등800,10034,초5,3,air,방송하다,1,동사,9594,21447,[έər],"{'example_sentence_eng': 'I air cartoons.', 'example_sentence_kor': '나는 만화를 방송해요.'}",I air cartoons.,나는 만화를 방송해요.,TRUE,TRUE
초등800,10035,초5,3,air,느낌,2,명사,605,24041,[έər],"{'example_sentence_eng': 'I feel the air.', 'example_sentence_kor': '나는 공기를 느껴요.'}",I feel the air.,나는 공기를 느껴요.,TRUE,TRUE
초등800,10036,초5,3,airplane,비행기,2,명사,1644,2725,[έərplèin],"{'example_sentence_eng': 'Airplane flies in the sky.', 'example_sentence_kor': '비행기가 하늘을 날아요.'}",Airplane flies in the sky.,비행기가 하늘을 날아요.,TRUE,TRUE
초등800,10037,초3,1,album,앨범,2,명사,10690,3663,[ǽlbəm],"{'example_sentence_eng': 'I see album.', 'example_sentence_kor': '앨범을 봐요.'}",I see album.,앨범을 봐요.,TRUE,TRUE
초등800,10038,초5,3,all,모든,5,대명사,10652,1923,[ɔ́:l],"{'example_sentence_eng': 'All are happy today.', 'example_sentence_kor': '모두 오늘 행복해요.'}",All are happy today.,모두 오늘 행복해요.,TRUE,TRUE
초등800,10039,초등,5,almost,"거의,대부분",4,부사,10601,295,[ɔ́:lmoust],"{'example_sentence_eng': 'She almost catches the ball.', 'example_sentence_kor': '그녀는 거의 공을 잡아요.'}",She almost catches the ball.,그녀는 거의 공을 잡아요.,TRUE,TRUE
초등800,10040,초등,5,along,~를 따라서,6,전치사,10706,4416,[əlɔ́:ŋ],"{'example_sentence_eng': 'Walk along the road.', 'example_sentence_kor': '길을 따라서 걸어요~요'}",Walk along the road.,길을 따라서 걸어요~요,TRUE,TRUE
초등800,10041,초등,5,along,~와 함께,4,부사,2466,25545,[əlɔ́:ŋ],"{'example_sentence_eng': 'I walk along with you.', 'example_sentence_kor': '나는 너와 함께 걸어요~요'}",I walk along with you.,나는 너와 함께 걸어요~요,TRUE,TRUE
초등800,10042,초등,5,already,"이미,벌써",4,부사,1627,2326,[ɔ:lrédi],"{'example_sentence_eng': 'I already ate cake.', 'example_sentence_kor': '나는 벌써 케이크를 먹었어요.'}",I already ate cake.,나는 벌써 케이크를 먹었어요.,TRUE,TRUE
초등800,10043,초등,5,alright,괜찮아,9,숙어/관용어,11571,15823,[ɔ:lráit],"{'example_sentence_eng': 'I am alright.', 'example_sentence_kor': '난 괜찮아요.'}",I am alright.,난 괜찮아요.,TRUE,TRUE
초등800,10044,초등,5,alright,"괜찮은,받아들일 만한",3,형용사,11571,28743,[ɔːlráit],"{'example_sentence_eng': 'I feel alright.', 'example_sentence_kor': '나는 괜찮아요~요'}",I feel alright.,나는 괜찮아요~요,TRUE,TRUE
초등800,10045,초6,4,also,~도 역시,4,부사,939,1491,[ɔ́:lsou],"{'example_sentence_eng': 'Tom also likes apples.', 'example_sentence_kor': '톰도 사과를 좋아해요.'}",Tom also likes apples.,톰도 사과를 좋아해요.,TRUE,TRUE
초등800,10046,초5,3,always,언제나,4,부사,8253,3778,[ɔ́:lweiz; ɔ́:lwi:z],"{'example_sentence_eng': 'I always play games.', 'example_sentence_kor': '나는 언제나 게임해요.'}",I always play games.,나는 언제나 게임해요.,TRUE,TRUE
초등800,10047,초5,3,always,항상,4,부사,8253,25546,[ɔ́:lweiz; ɔ́:lwi:z],"{'example_sentence_eng': 'I always read books.', 'example_sentence_kor': '나는 항상 책을 읽어요.'}",I always read books.,나는 항상 책을 읽어요.,TRUE,TRUE
초등800,10048,초3,1,and,그리고,7,접속사,14865,841,[ənd; ən],"{'example_sentence_eng': 'Tom and Jerry run.', 'example_sentence_kor': '톰과 제리가 달려요.'}",Tom and Jerry run.,톰과 제리가 달려요.,TRUE,TRUE
초등800,10049,초5,3,animal,동물,2,명사,985,1557,[ǽnəməl],"{'example_sentence_eng': 'I see an animal.', 'example_sentence_kor': '동물을 봐요.'}",I see an animal.,동물을 봐요.,TRUE,TRUE
초등800,10050,초등,5,another,"또 하나의,더",5,대명사,939,1695,[ənʌ́ðər],"{'example_sentence_eng': 'I want another toy.', 'example_sentence_kor': '또 하나의 장난감을 원해요.'}",I want another toy.,또 하나의 장난감을 원해요.,TRUE,TRUE
초등800,10051,초6,4,answer,대답하다,1,동사,14474,1407,[ǽnsər],"{'example_sentence_eng': 'I answer my friend.', 'example_sentence_kor': '나는 친구에게 대답해요.'}",I answer my friend.,나는 친구에게 대답해요.,TRUE,TRUE
초등800,10052,초6,4,answer,답,2,명사,8320,17608,[ǽnsər],"{'example_sentence_eng': 'I like your answer.', 'example_sentence_kor': '난 네 답을 좋아해요.'}",I like your answer.,난 네 답을 좋아해요.,TRUE,TRUE
초등800,10053,초3,1,any,"무언가의,아무",5,대명사,16192,2025,[éni; əni],"{'example_sentence_eng': 'I want any cookie.', 'example_sentence_kor': '어떤 쿠키라도 원해요.'}",I want any cookie.,어떤 쿠키라도 원해요.,TRUE,TRUE
초등800,10054,초3,1,any,"전혀,조금도",4,부사,12412,25548,[éni; əni],"{'example_sentence_eng': 'I have not any candy.', 'example_sentence_kor': '전혀 사탕이 없어요~요'}",I have not any candy.,전혀 사탕이 없어요~요,TRUE,TRUE
초등800,10055,초등,5,apartment,아파트,2,명사,2173,3575,[əpá:rtmənt],"{'example_sentence_eng': 'I like my apartment.', 'example_sentence_kor': '내 아파트가 좋아요.'}",I like my apartment.,내 아파트가 좋아요.,TRUE,TRUE
초등800,10056,초3,1,apple,사과,2,명사,1678,2782,[ǽpl],"{'example_sentence_eng': 'I eat an apple.', 'example_sentence_kor': '나는 사과를 먹어요.'}",I eat an apple.,나는 사과를 먹어요.,TRUE,TRUE
초등800,10057,초5,3,area,지역,2,명사,3278,1886,[έəriə],"{'example_sentence_eng': 'This area is big.', 'example_sentence_kor': '이 지역이 커요.'}",This area is big.,이 지역이 커요.,TRUE,TRUE
초등800,10058,초5,3,area,면적,2,명사,1574,18153,[έəriə],"{'example_sentence_eng': 'The area is large.', 'example_sentence_kor': '면적이 커요.'}",The area is large.,면적이 커요.,TRUE,TRUE
초등800,10059,초5,3,area,분야,2,명사,2952,19828,[έəriə],"{'example_sentence_eng': 'Math is my area.', 'example_sentence_kor': '수학은 제 분야예요.'}",Math is my area.,수학은 제 분야예요.,TRUE,TRUE
초등800,10060,초5,3,area,부위,2,명사,14569,28804,[έəriə],"{'example_sentence_eng': 'My arm area feels warm.', 'example_sentence_kor': '제 팔 부위가 따뜻해요.'}",My arm area feels warm.,제 팔 부위가 따뜻해요.,TRUE,TRUE
초등800,10061,초4,2,arm,팔,2,명사,3663,6062,[á:rm],"{'example_sentence_eng': 'I use my arm.', 'example_sentence_kor': '나는 팔을 사용해요.'}",I use my arm.,나는 팔을 사용해요.,TRUE,TRUE
초등800,10062,초4,2,arm,무기,2,명사,1234,24079,[áːrm],"{'example_sentence_eng': 'The knight holds an arm.', 'example_sentence_kor': '기사님이 무기를 들어요.'}",The knight holds an arm.,기사님이 무기를 들어요.,TRUE,TRUE
초등800,10063,초4,2,arm,무장시키다,1,동사,14716,28549,[aːrm],"{'example_sentence_eng': 'They arm the soldiers.', 'example_sentence_kor': '그들이 병사를 무장시키요.'}",They arm the soldiers.,그들이 병사를 무장시키요.,TRUE,TRUE
초등800,10064,초5,3,around,"주위에,둘레에",4,부사,8408,5298,[əráund],"{'example_sentence_eng': 'Look around the park.', 'example_sentence_kor': '공원 주위에 봐요.'}",Look around the park.,공원 주위에 봐요.,TRUE,TRUE
초등800,10065,초5,3,around,"약,~쯤",4,부사,9403,16736,[əráund],"{'example_sentence_eng': 'I have around five apples.', 'example_sentence_kor': '나는 약 다섯 개의 사과가 있어요.'}",I have around five apples.,나는 약 다섯 개의 사과가 있어요.,TRUE,TRUE
초등800,10066,초등,5,arrive,도착하다,1,동사,9408,1512,[əráiv],"{'example_sentence_eng': 'We arrive at school.', 'example_sentence_kor': '우리는 학교에 도착해요.'}",We arrive at school.,우리는 학교에 도착해요.,TRUE,TRUE
초등800,10067,초4,2,art,예술,2,명사,2426,4004,[á:rt],"{'example_sentence_eng': 'I love art and play.', 'example_sentence_kor': '나는 예술을 좋아해요.'}",I love art and play.,나는 예술을 좋아해요.,TRUE,TRUE
초등800,10068,초4,2,art,"미술,예술",2,명사,6287,16490,[á:rt],"{'example_sentence_eng': 'I like art.', 'example_sentence_kor': '나는 미술을 좋아해요.'}",I like art.,나는 미술을 좋아해요.,TRUE,TRUE
초등800,10069,초등,5,as,~할 때,7,접속사,14774,4390,[ǽz; əz],"{'example_sentence_eng': 'I smile as I run.', 'example_sentence_kor': '내가 달릴 때 웃어요.'}",I smile as I run.,내가 달릴 때 웃어요.,TRUE,TRUE
초등800,10070,초등,5,as,~듯이,4,부사,14772,21452,[ǽz; əz],"{'example_sentence_eng': 'The bird flies as high.', 'example_sentence_kor': '새가 높이 날듯이 해요.'}",The bird flies as high.,새가 높이 날듯이 해요.,TRUE,TRUE
초등800,10071,초등,5,as,~로서,6,전치사,14773,21453,[ǽz; əz],"{'example_sentence_eng': 'I work as helper.', 'example_sentence_kor': '나는 도우미로서 일해요.'}",I work as helper.,나는 도우미로서 일해요.,TRUE,TRUE
초등800,10072,초등,5,as,"~대로,~처럼",6,전치사,7789,25550,[ǽz; əz],"{'example_sentence_eng': 'Do as I do.', 'example_sentence_kor': '내가 하는 대로 해요.'}",Do as I do.,내가 하는 대로 해요.,TRUE,TRUE
초등800,10073,초5,3,ask,묻다,1,동사,1279,2066,[ǽsk],"{'example_sentence_eng': 'I ask my friend.', 'example_sentence_kor': '나는 친구에게 묻어요.'}",I ask my friend.,나는 친구에게 묻어요.,TRUE,TRUE
초등800,10074,초5,3,ask,요청하다,1,동사,9651,19475,[ǽsk],"{'example_sentence_eng': 'I ask for help.', 'example_sentence_kor': '저는 도움을 요청해요.'}",I ask for help.,저는 도움을 요청해요.,TRUE,TRUE
초등800,10075,초3,1,at,~에서,6,전치사,2332,3834,[ǽt; ət],"{'example_sentence_eng': 'I am at home.', 'example_sentence_kor': '나는 집에서 있어요.'}",I am at home.,나는 집에서 있어요.,TRUE,TRUE
초등800,10076,초4,2,aunt,"숙모,고모/이모",2,명사,10686,3564,[ǽnt; a:nt],"{'example_sentence_eng': 'My aunt is kind.', 'example_sentence_kor': '저의 숙모가 착해요.'}",My aunt is kind.,저의 숙모가 착해요.,TRUE,TRUE
초등800,10077,초등,5,autumn,가을,2,명사,90,107,[ɔ́:təm],"{'example_sentence_eng': 'Autumn is cool today.', 'example_sentence_kor': '가을은 시원해요.'}",Autumn is cool today.,가을은 시원해요.,TRUE,TRUE
초등800,10078,초등,5,away,떨어져서,4,부사,1060,1686,[əwéi],"{'example_sentence_eng': 'The bird flew away.', 'example_sentence_kor': '새가 날아갔어요.'}",The bird flew away.,새가 날아갔어요.,TRUE,TRUE
초등800,10079,초등,5,away,"~에 없는,부재중인",4,부사,2155,25553,[əwéi],"{'example_sentence_eng': 'I am away today.', 'example_sentence_kor': '저는 오늘 부재중이에요.'}",I am away today.,저는 오늘 부재중이에요.,TRUE,TRUE
초등800,10080,초3,1,baby,아기,2,명사,2144,209,[béibi],"{'example_sentence_eng': 'The baby sleeps.', 'example_sentence_kor': '아기가 자요.'}",The baby sleeps.,아기가 자요.,TRUE,TRUE
초등800,10081,초4,2,back,뒤로,4,부사,10639,1620,[bǽk],"{'example_sentence_eng': 'Go back now.', 'example_sentence_kor': '지금 뒤로 가요.'}",Go back now.,지금 뒤로 가요.,TRUE,TRUE
초등800,10082,초4,2,back,등,2,명사,12239,16492,[bǽk],"{'example_sentence_eng': 'I wash my back.', 'example_sentence_kor': '나는 내 등을 씻어요.'}",I wash my back.,나는 내 등을 씻어요.,TRUE,TRUE
초등800,10083,초4,2,back,"제자리에,돌아와서",4,부사,7378,25555,[bǽk],"{'example_sentence_eng': 'Please come back now.', 'example_sentence_kor': '제자리에 돌아와요.'}",Please come back now.,제자리에 돌아와요.,TRUE,TRUE
초등800,10084,초4,2,back,~로 거슬러 올라가,4,부사,10639,31329,[bǽk],"{'example_sentence_eng': 'I run back to school.', 'example_sentence_kor': '나는 학교로 거슬러 올라가요.'}",I run back to school.,나는 학교로 거슬러 올라가요.,TRUE,TRUE
초등800,10085,초4,2,bad,(기분이) 나쁜,3,형용사,14778,1102,[bǽd],"{'example_sentence_eng': 'I feel bad today.', 'example_sentence_kor': '오늘 기분이 나빠요.'}",I feel bad today.,오늘 기분이 나빠요.,TRUE,TRUE
초등800,10086,초4,2,bad,"(행실이) 나쁜,불량한",3,형용사,5242,21675,[bǽd],"{'example_sentence_eng': 'He is a bad boy.', 'example_sentence_kor': '그 아이는 나빠요.'}",He is a bad boy.,그 아이는 나빠요.,TRUE,TRUE
초등800,10087,초4,2,bad,"나쁜,형편없는",3,형용사,8252,25556,[bǽd],"{'example_sentence_eng': 'The milk tastes bad.', 'example_sentence_kor': '우유 맛이 나빠요.'}",The milk tastes bad.,우유 맛이 나빠요.,TRUE,TRUE
초등800,10088,초4,2,bad,"나쁜,심한",3,형용사,7862,25968,[bǽd],"{'example_sentence_eng': 'This toy is bad.', 'example_sentence_kor': '이 장난감은 나빠요.'}",This toy is bad.,이 장난감은 나빠요.,TRUE,TRUE
초등800,10089,초4,2,badminton,배드민턴,2,명사,5539,14310,[bǽdmintn],"{'example_sentence_eng': 'We play badminton every day.', 'example_sentence_kor': '매일 배드민턴을 해요.'}",We play badminton every day.,매일 배드민턴을 해요.,TRUE,TRUE
초등800,10090,초3,1,bag,가방,2,명사,78,94,[bǽg],"{'example_sentence_eng': 'I have a bag.', 'example_sentence_kor': '가방이 있어요~'}",I have a bag.,가방이 있어요~,TRUE,TRUE
초등800,10091,초3,1,bag,봉지에 담다,1,동사,16151,25558,[bǽg],"{'example_sentence_eng': 'I bag my food.', 'example_sentence_kor': '나는 음식을 봉지에 담아요.'}",I bag my food.,나는 음식을 봉지에 담아요.,TRUE,TRUE
초등800,10092,초4,2,bake,굽다,1,동사,493,780,[béik],"{'example_sentence_eng': 'I bake a cake.', 'example_sentence_kor': '나는 케이크를 구워요.'}",I bake a cake.,나는 케이크를 구워요.,TRUE,TRUE
초등800,10093,초3,1,ball,공,2,명사,356,567,[bɔ́:l],"{'example_sentence_eng': 'I kick the ball.', 'example_sentence_kor': '나는 공을 차요.'}",I kick the ball.,나는 공을 차요.,TRUE,TRUE
초등800,10094,초3,1,ball,무도회,2,명사,9843,20731,[bɔ́:l],"{'example_sentence_eng': 'We dance at the ball.', 'example_sentence_kor': '우리는 무도회에서 춤춰요.'}",We dance at the ball.,우리는 무도회에서 춤춰요.,TRUE,TRUE
초등800,10095,초3,1,banana,바나나,2,명사,5265,9721,[bənǽnə],"{'example_sentence_eng': 'I eat a banana.', 'example_sentence_kor': '나는 바나나를 먹어요.'}",I eat a banana.,나는 바나나를 먹어요.,TRUE,TRUE
초등800,10096,초4,2,bank,은행,2,명사,2648,4400,[bǽŋk],"{'example_sentence_eng': 'I go to the bank.', 'example_sentence_kor': '나는 은행에 가요.'}",I go to the bank.,나는 은행에 가요.,TRUE,TRUE
초등800,10097,초4,2,bank,강둑,2,명사,11845,18168,[bǽŋk],"{'example_sentence_eng': 'We sit on the bank.', 'example_sentence_kor': '우리는 강둑에 앉아요.'}",We sit on the bank.,우리는 강둑에 앉아요.,TRUE,TRUE
초등800,10098,초등,5,base,"기초,기본(재료)",2,명사,10621,987,[béis],"{'example_sentence_eng': 'The base is strong.', 'example_sentence_kor': '기초가 튼튼해요.'}",The base is strong.,기초가 튼튼해요.,TRUE,TRUE
초등800,10099,초등,5,base,비열한,3,형용사,5316,9784,[béis],"{'example_sentence_eng': 'The man is base.', 'example_sentence_kor': '그 남자는 비열해요.'}",The man is base.,그 남자는 비열해요.,TRUE,TRUE
초등800,10100,초등,5,base,(군사) 기지,2,명사,12677,17684,[béis],"{'example_sentence_eng': 'We visit a base.', 'example_sentence_kor': '우리는 기지를 방문해요.'}",We visit a base.,우리는 기지를 방문해요.,TRUE,TRUE
초등800,10101,초등,5,base,~에 기반을 두다,1,동사,9784,19835,[béis],"{'example_sentence_eng': 'We base play on fun.', 'example_sentence_kor': '우리는 놀이를 즐거움에 기반을 두어요.'}",We base play on fun.,우리는 놀이를 즐거움에 기반을 두어요.,TRUE,TRUE
초등800,10102,초등,5,base,사물의 맨 아래 부분,2,명사,12810,27394,[beis],"{'example_sentence_eng': 'The base is at bottom.', 'example_sentence_kor': '사물의 맨 아래 부분이에요.'}",The base is at bottom.,사물의 맨 아래 부분이에요.,TRUE,TRUE
초등800,10103,초등,5,base,(야구)~루,2,명사,16512,28431,[beis],"{'example_sentence_eng': 'The boy runs to base.', 'example_sentence_kor': '소년이 베이스로 달려요.'}",The boy runs to base.,소년이 베이스로 달려요.,TRUE,TRUE
초등800,10104,초4,2,baseball,야구,2,명사,2228,3664,[béisbɔ̀:l],"{'example_sentence_eng': 'I play baseball today.', 'example_sentence_kor': '나는 오늘 야구를 해요.'}",I play baseball today.,나는 오늘 야구를 해요.,TRUE,TRUE
초등800,10105,초4,2,baseball,야구공,2,명사,12240,16493,[béisbɔ̀:l],"{'example_sentence_eng': 'I hit a baseball.', 'example_sentence_kor': '나는 야구공을 쳐요.'}",I hit a baseball.,나는 야구공을 쳐요.,TRUE,TRUE
초등800,10106,초4,2,basket,바구니,2,명사,1328,2135,[bǽskit],"{'example_sentence_eng': 'This is a basket.', 'example_sentence_kor': '이것은 바구니예요.'}",This is a basket.,이것은 바구니예요.,TRUE,TRUE
초등800,10107,초4,2,basketball,농구,2,명사,778,1246,[bǽskitbɔ̀:l],"{'example_sentence_eng': 'I play basketball.', 'example_sentence_kor': '나는 농구해요.'}",I play basketball.,나는 농구해요.,TRUE,TRUE
초등800,10108,초4,2,basketball,농구공,2,명사,12242,16496,[bǽskitbɔ̀:l],"{'example_sentence_eng': 'I throw the basketball.', 'example_sentence_kor': '나는 농구공을 던져요.'}",I throw the basketball.,나는 농구공을 던져요.,TRUE,TRUE
초등800,10109,초3,1,bat,야구 방망이,2,명사,14780,14317,[bǽt],"{'example_sentence_eng': 'I use a bat.', 'example_sentence_kor': '나는 야구 방망이를 사용해요.'}",I use a bat.,나는 야구 방망이를 사용해요.,TRUE,TRUE
초등800,10110,초3,1,bat,박쥐,2,명사,12357,16743,[bǽt],"{'example_sentence_eng': 'The bat flies at night.', 'example_sentence_kor': '박쥐가 밤에 날아요.'}",The bat flies at night.,박쥐가 밤에 날아요.,TRUE,TRUE
초등800,10111,초3,1,bat,(배트로) 공을 치다,1,동사,11709,25437,[bǽt],"{'example_sentence_eng': 'I bat the ball.', 'example_sentence_kor': '나는 공을 쳐요.'}",I bat the ball.,나는 공을 쳐요.,TRUE,TRUE
초등800,10112,초5,3,bath,목욕,2,명사,1212,1961,[bǽθ],"{'example_sentence_eng': 'I take a bath.', 'example_sentence_kor': '나는 목욕해요.'}",I take a bath.,나는 목욕해요.,TRUE,TRUE
