example_english,example_korean
Tom takes action to help his friend.,톰이 친구를 돕기 위해 행동해요.
The active boy plays in the garden.	,활동적인 소년이 정원에서 놀고 있어요.
The active boy plays soccer every day.,적극적인 소년은 매일 축구를 해요.
Our class had a fun activity.,우리 반이 재미있는 활동을 했어요.
The actor	acts on stage.,배우가	무대에서 연기해요.
The actress smiles on stage.,여배우가 무대에서 웃고 있어요.
"Actually, I like playing outside.","사실, 나는 밖에서 노는 것을 좋아해요."
I saw an ad on TV.,TV에서 광고를 봤어요.
I add three stickers to my book.,나는 내 책에 스티커 세 개를 추가해요.
I add to my sandwich extra cheese.	,나는 샌드위치에 치즈를 더해요.
I add up coins for my piggy bank.,나는 돼지저금통에 동전들을 합산해요.
The puzzle pieces add up perfectly.,퍼즐 조각들이 이치에 맞아요.
Snow adds up on the roof.,눈이 지붕 위에 쌓이고 있어요.
Three apples and two oranges add up to five fruits.,세 개의 사과와 두 개의 오렌지가 합쳐서 다섯 개의 과일이 돼요.
Addiction means you have trouble stopping a habit.,중독은 습관을 멈추기 어려운 것을 말해요.
I need additional crayons for drawing with my friends.,친구들과 그림 그릴 때 부가적인 크레용이 필요해요.
I address my friend at school.	I speak nicely.,나는 학교에서 친구에게 말을 걸어요.	나는 친절하게 말해요.
The teacher will address the problem in class.	,선생님께서 교실에서 문제를 다루어요.
I address my homework carefully.,나는 내 숙제를 꼼꼼히 검토해요.
I write my address on the card.,나는 카드에 내 주소를 써요.
The mayor gave a short address at school.,시청장이 학교에서 짧은 연설을 했어요.
The adult helps kids cross the street.,어른이 아이들이 길을 건너도록 도와요.
The adventurer explores a secret cave.,모험가가 비밀스런 동굴을 탐험해요.
Anna is adventurous	so she climbs trees.,안나는 모험심이 강해서 나무를 올라가요.
I saw an advertisement for a new toy.	I saw an advertisement for a new toy.,새로운 장난감을 광고하는 것을 봤어요~요
Advertising helps us know about toys.,광고는 우리에게 장난감을 알게 해줘요.
I am afraid of the dark.,나는 어둠이 두려워요.
I eat lunch after school.,학교 후에 점심을 먹어요.
We eat dinner after a hard day's work.,우리는 하루 종일 열심히 일하고 나서 저녁을 먹어요.
I won the game after all I practiced hard.,나는 열심히 연습했으니 결국 게임을 이겼어요.
We play games after dinner.,우리 저녁 식사 후에 게임해요.
I play with my friends	after school.,나는 방과 후에 친구들과 놀아요.
I play with my friends in the afternoon.,저는 오후에 친구들과 놀아요.
"I finish my homework; afterwards, I play outside.",숙제를 다 한 후에 밖에서 놀아요.
Let's play again after the rain stops.,비가 그친 후에 다시 놀아요.
We stand against bullying.,우리는 괴롭힘에 반대해요.
The boat sails against the wind.,보트가 바람을 거슬러 항해해요.
Wear a coat against the cold.,추위를 막기 위해 코트를 입어요.
Our photo is taken	against a red wall.,우리 사진은 빨간 벽을 배경으로 찍혔어요.
The sun can age fruit quickly.	,햇빛이 과일을 빨리 노화시켜요.
My age is seven.,제 나이는 일곱 살이에요.
The Iron Age was long ago.,철기 시대는 오래 전이었어요.
I played with my friend two days ago.,나는 이틀 전에 친구와 놀았어요.
I agree with my friend in class.	,나는 교실에서 친구의 의견에 동의해요.
Walk ahead to the park with your friends.,친구들과 함께 앞으로 공원으로 걸어가요.
I walk ahead of my friend.,나는 친구보다 앞에 걸어가요.
The cartoon airs every Saturday.,만화가 매주 토요일에 방송되고 있어요.
The garden has a happy air. 	,정원에는 기분 좋은 느낌이 있어요.
The air is cool on a sunny day.,화창한 날에 공기가 시원해요.
I turn on the air conditioner when it's hot.,나는 더울 때 에어컨을 켜요.
I keep my album on my shelf.,내 앨범을 선반 위에 두고 있어요.
The guard alerts us when danger is near.,경비원이 위험이 가까울 때 우리에게 경보를 알려요.
The alert sounds when danger is near.,위험이 가까울 때 경보가 울려요.
The alert sounds when danger is near.,위험이 가까우면 경보가 울려요.
A red alert warns us of danger.,빨간 경보가 위험을 알려줘요.
The alert boy noticed a tiny bug.,재빠른 소년이 작은 벌레를 발견했어요.
The cat is alert when the door opens.,고양이가 문이 열릴 때 경계하고 있어요.
The twins are alike.,쌍둥이가 비슷해요.
My two toys are alike.,내 두 장난감은 똑같아요.
All are welcome.,모든 친구들이 환영해요.
Tom is an all-around helper in class.,톰은 반에서 다재다능한 도우미예요.
The kids ran all around the park.,아이들이 사방에서 뛰었어요.
I read my book all day long.,나는 하루 종일 책을 읽고 있어요.
"All of a sudden, it began to rain.",갑자기 비가 내리기 시작했어요.
I am all right after my nap.,낮잠 후에 저는 괜찮아요.
I smile all the more when I see my mom.,엄마를 보면 더욱더 웃어요.
I play with my puppy	all the time.,나는 항상 강아지와 놀아요.
She smiles all the time.,그녀는 항상 웃고 있어요.
The park is fun all year round.,공원은 일년 내내 즐거워요.
My bag is all-in-one with pockets for school and play.,내 가방에는 학교와 놀이용 주머니가 있어요.
The allowance makes our tax bill lower.,공제액이 우리 세금을 낮춰요.
I get an allowance every week.,매주 용돈을 받아요.
The teacher shows allowance for my mistake.,선생님이 제 실수를 참작해 주셨어요.
The teacher gave an allowance for extra playtime.,선생님이 여분의 놀이 시간을 허락해 주셨어요.
My candy allowance is two sweets at lunch.,점심시간에 사탕 허용량은 두 개예요.
I eat an almond every morning.,나는 매일 아몬드를 먹어요.
I almost finished my lunch.,나는 거의 점심을 다 먹었어요.
She walked along with her mom.,그녀가 엄마와 함께 걸었어요.
The kids walked along the path.,아이들이 길을 따라서 걸었어요.
Tom plays alongside his buddy in the park.,톰이 공원에서 친구와 나란히 놀아요.
I already ate my lunch.,나는 이미 점심을 먹었어요.
I eat fruit and I also drink juice.,저는 과일을 먹고 주스도 마셔요.
I always play with my dog.,나는 언제나 내 강아지와 놀아요.
I always help my friends.,나는 항상 친구들을 도와요.
This amazing toy makes me smile.,이 놀라운 장난감이 저를 웃게 해요.
She plays amazingly in her soccer game.,그녀는 놀랍게도 축구 경기를 잘해요.
The boy ran amazingly fast.,소년이 놀라울 만큼 빠르게 달렸어요.
The ambassador visits our school.,대사가 우리 학교를 방문하고 있어요.
I learned about America at school.,학교에서 미국에 대해 배웠어요.
I saw an American flag at school.,나는 학교에서 미국의 깃발을 봤어요.
We enjoy amusement at the fair.,우리는 박람회에서 재미있는 놀이를 즐겨요.
I went to the amusement park with my friend.,저는 친구와 놀이공원에 갔어요.
The amusing clown makes children laugh.,재미있는 광대가 아이들을 웃게 해요.
The analyst studies data for the team.	,분석가가 팀을 위해 데이터를 공부하고 있어요.
I analyze the picture with care.,나는 그림을 신중하게 분석해요.
The boat dropped its anchor in the calm sea.,보트가 잔잔한 바다에 닻을 내렸어요.
The anchor reads the news on TV.,뉴스 진행자가 TV에서 뉴스를 읽고 있어요.
We saw an ancient castle in our town.,우리 동네에서 고대의 성을 봤어요.
I like milk and cookies.,나는 우유와 쿠키를 좋아해요.
"I see bikes, scooters, and so on in the park.","공원에서 자전거, 스쿠터, 기타 등등을 봐요."
I look at things from a new angle.,나는 새로운 시각으로 사물을 봐요.
I am angry because my toy is broken.,내 장난감이 망가져서 화가 나요.
The animal is playing in the yard.	It is fun.,동물이 마당에서 놀고 있어요.	정말 재미있어요.
The animated puppy jumps happily in the yard.,활발한 강아지가 마당에서 신나게 뛰어요.
I watched an animated film today.,오늘 만화로 된 영화를 봤어요.
I saw an animated movie with my friend.,친구와 함께 만화 영화를 봤어요.
The lively music filled the room with animation.,활기찬 음악이 방에 생기를 줘요.
I like animation on TV.,나는 TV에서 애니메이션을 봐요.
I watch an animation movie with my friends.,나는 친구들과 만화 영화를 봐요.
The animator draws a fun cartoon for his friends.,애니메이터가 친구들을 위해 재미있는 만화를 그려요.
The teacher gave an announcement.,선생님께서 공지를 하셨어요.
The announcer talks on the radio.,아나운서가 라디오에서 이야기해요.
Tom felt annoyed when his toy broke.,장난감이 부서져서 톰이 짜증이 났어요.
I want another cookie.,나는 또 하나의 쿠키를 원해요.
I answer my teacher's question.,나는 선생님의 질문에 대답해요.
The answer is on the board.,답이 칠판 위에 있어요.
Antarctica is a cold continent covered in snow.,남극 대륙은 눈으로 덮여있는 차가운 대륙이에요.
I saw an antique ship in the museum.,박물관에서 고대의 배를 봤어요.
I feel anxiety when I talk in class.,나는 교실에서 말할 때 걱정을 느껴요.
I have anxiety to play with my new toy.,나는 새 장난감을 가지고 놀고 싶은 열망이 있어요.
I feel anxiety during a school test.,나는 학교 시험 때 불안을 느껴요.
I do not have any toys.,나는 장난감이 조금도 없어요.
You can choose any toy.,너는 아무 장난감이나 골라도 돼요.
I do not play with my toy anymore.,나는 더 이상 내 장난감을 가지고 놀지 않아요.
Does anyone like ice cream?,누군가 아이스크림을 좋아해요.
You can choose anything from the box.,상자 안에서 아무것이나 선택할 수 있어요.
You can visit anytime if you want.,원하면 언제든지 방문할 수 있어요.
I can play anyway when it rains.,비가 와도 어쨌든 놀 수 있어요.
You can play anywhere.,어디엔가 놀 수 있어요.
I don't want to go anywhere.,나는 아무데도 가고 싶지 않아요.
You can sit anywhere in the park.,공원 어디든지 앉을 수 있어요.
I apologize when I make a mistake.	I apologize when I make a mistake.,실수를 하면 사과해요.	실수를 하면 사과해요.
I gave an apology to my friend.,나는 내 친구에게 사과했어요.
I use an app to play games.,앱을 사용해서 게임을 해요.
The magician's appearance made us smile.,마술사의 출현이 우리를 웃게 했어요.
My doll's appearance is very pretty.,내 인형의 겉모습이 아주 예뻐요.
Your appearance is colorful and neat.,네 외모는 화려하고 깔끔해요.
The waiter served a tasty appetizer.,웨이터가 맛있는 전채가 나왔어요.
I eat a red apple every day.,나는 매일 빨간 사과를 먹어요.
I filled out an application for the school club.,나는 학교 동아리에 지원했어요.
The application of art makes our project special.,예술의 적용이 우리 프로젝트를 특별하게 만들어요.
I filled out my application for our class.,나는 우리 반에 지원서를 작성했어요.
I use an application to draw fun pictures.,나는 재미있는 그림을 그리기 위해 응용 프로그램을 사용해요.
I have an appointment with the doctor.,나는 의사와 약속이 있어요.
I show appreciation when I see a pretty drawing.,예쁜 그림을 보면 감상해요.
We show appreciation for our kind teacher.,우리는 친절한 선생님께 감탄해요.
I show appreciation to my friend.,	나는 친구에게 감사를 보여요.
There is an appreciation in the price of my toy.,내 장난감 가격이 상승하고 있어요.
The architect draws a big house.,건축가가 큰 집을 그려요.
Architecture helps plan pretty and safe buildings.,건축술은 예쁘고 안전한 건물을 계획해요.
The colorful architecture of the museum looks fun.,박물관의 화려한 건축물이 재미있어요.
The area of our room is big.,우리 방의 면적이 커요.
Math is my favorite area at school.,학교에서 수학은 내가 가장 좋아하는 분야예요.
The area near my house is nice.,우리 집 근처 지역이 좋아요.
The doctor checks the injured area.,의사가 다친 부위를 확인해요.
The class had a short argument about the weather.,반이 날씨에 대해 짧은 토론을 했어요.
I listened to his argument for sharing toys.,나는 그의 장난감 나눔에 관한 주장을 들었어요.
My friends had an argument because of a toy.,친구들이 장난감 때문에 말다툼을 했어요.
A kind knight arms his friends with pretend swords.,친절한 기사가 친구들에게 모조 검으로 무장시켜요.
The knight used a bright arm to win the contest.,기사님이 반짝이는 무기를 사용해서 경연에서 이겼어요.
I use my arm to eat my food.,나는 음식을 먹을 때 팔을 사용해요.
Tom runs around the playground.,톰이 놀이터 주위를 뛰어요.
There are around ten apples in the basket.,바구니에 사과가 약 열개 있어요.
We arrive at school every morning.,우리는 매일 아침 학교에 도착해요.
The arrow shoots from the bow.,화살이 활에서 날아가요.
I love art because drawing is fun.,나는 예술을 좋아해요	그림 그리기는 재밌어요.
Art is fun at school.,학교에서 미술이 재미있어요.
I have an artificial flower in my room.,내 방에 인공의 꽃이 있어요.
The artificial bird sings in our classroom.,인공의 새가 우리 교실에서 노래하고 있어요.
The artist paints a bright picture.,예술가가 밝은 그림을 그리고 있어요.
I draw artistic shapes.,나는 예술적인 모양을 그려요.
The art museum shows a bright artwork.,미술관에 밝은 예술 작품이 있어요.
He is as brave as a lion.,그는 사자처럼 용감해요.
I run as fast as my brother.,나는 내 동생처럼 빨리 달려요.
He works as a farmer.,그는 농부로서 일하고 있어요.
I sing as the birds chirp.,새들이 지저귈 때 나는 노래해요.
"I forgot my umbrella, as a result I got wet.","우산을 잊어버렸어요, 그 결과 비에 젖었어요."
"It rained today, as a result, we stayed indoors.","오늘 비가 많이 내려서, 결과적으로 우리는 집에 있었어요."
You can play outside as long as you do your homework.,숙제를 다 하기만 한다면 밖에서 놀 수 있어요.
You can play as long as you finish your food.,음식을 다 먹는 동안은 놀 수 있어요.
I play soccer as well as basketball.	I play soccer as well as basketball.,나는 축구뿐만 아니라 농구도 해요.	나는 축구뿐만 아니라 농구도 해요.
The ash is on the ground.,재가 바닥에 있어요.
I ask my teacher for help.,나는 선생님께 도움을 부탁해요.
I ask my mom for help.,나는 엄마에게 도움을 요청해요.
Tom asked Mary out for ice cream.,톰이 메리에게 아이스크림 데이트를 신청했어요.
The astronaut rides a rocket to space.,우주비행사가 로켓을 타고 우주로 가요.
The astronomer uses a telescope to see stars.,천문학자가 망원경으로 별들을 보고 있어요.
"At a glance, I can see the happy dog.",한눈에 행복한 강아지를 볼 수 있어요.
Take one cookie at a time.,한 번에 하나씩 쿠키를 먹어요.
The player is at bat in the baseball game.,선수가 야구 경기에서 타석에 서있어요.
"At first, I needed help to ride a bike.",처음에는 자전거 타기가 어려웠어요.
I feel safe and happy at home.,집에서 안전하고 행복해요.
We arrived at last.,드디어 우리가 도착했어요.
I need help at once.,즉시 도움이 필요해요.
All kids clap at once when music plays.,모든 아이들이 음악이 시작되자 동시에 박수를 쳐요.
We all sing at one time.,우리 모두가 한꺼번에 노래해요.
"At one time, my school was very small.",한때 우리 학교가 아주 작았어요.
I played with my friend at that time.,그때 친구와 놀았어요.
Tom sings and plays	at the same time.,톰이 동시에 노래하며 놀고 있어요.
The athlete trains hard on the green field.,운동선수가 초록 들판에서 열심히 훈련하고 있어요.
The athlete boy runs very fast.,몸이 탄탄한 소년이 아주 빠르게 달리고 있어요.
The Atlantic is a big ocean.,대서양은 큰 바다예요.
The attractive boy smiles at his friend.,매력적인 소년이 친구에게 미소를 짓고 있어요.
I visit my aunt on Sunday.,저는 일요일에 이모를 방문해요.
An Australian girl plays at the park.,오스트레일리아인 소녀가 공원에서 놀고 있어요.
The author writes a fun story.,저자가 재미있는 이야기를 써요.
The door closes automatically.,문이 자동으로 닫혀요.
The autumn trees look pretty.,가을 나무들이 예뻐요.
The toy is available at the store.,장난감을 가게에서 구할 수 있어요.
I am available to play with my friend after school.,방과 후에 친구와 놀 시간이 있어요.
Awareness is knowing about things.,인식은 사물을 아는 거예요.
The ball rolled away from my hand.,공이 내 손에서 굴러 떨어졌어요.
My toy is awesome.,내 장난감이 엄청나요요.
The awful ghost scared me.,끔찍한 유령이 나를 놀라게 했어요.
This smell is awful.,이 냄새가 지독해요.
The baby is sleeping in the basket.,아기가 바구니에서 자고 있어요.
My back hurts after playing outside.,밖에서 놀고 나서 내 등이 아파요.
I went back home.,나는 집으로 돌아왔어요.
Please step back from the door.,문에서 뒤로 물러나세요.
Anna looked back to see her friend.,안나가 친구를 보기 위해 뒤돌아봤어요.
We backpack happily during summer break.,우리는 여름 방학에 배낭여행을 해요.
I carry my backpack to school.,나는 학교에 배낭을 가지고 가요.
The backward car is slow and very old.,뒤떨어진 차가 천천히 가고 아주 오래되었어요.
The truck moved	backward.,트럭이 후방으로	움직였어요.
Bacteria are tiny germs everywhere.,박테리아는 어디에나 있는 아주 작은 세균이에요.
The bad boy did not share his toy.,그 못된 아이는 장난감을 나눠주지 않아요.
The bad weather ruined our picnic.,나쁜 날씨가 소풍을 망쳤어요.
This is a bad apple.,이것은 나쁜 사과에요.
I feel bad today.,오늘 기분이 나빠요.
I bag my toys.,나는 내 장난감을 봉지에 담아요.
I carry my bag to school.,나는 학교에 내 가방을 가져가요.
I bake cookies	with my mom.,저는 쿠키를 구워요	엄마와 함께요.
The baker makes yummy bread.,제빵사가 맛있는 빵을 만들어요.
I went to the bakery with my mom.,나는 엄마와 제과점에 갔어요.
I have a balanced breakfast every morning.,나는 매일 아침 균형 잡힌 아침 식사를 먹어요.
A balanced diet helps you grow.,균형식은 너가 자라는데 도움을 줘요.
I kick the ball in the park.,나는 공을 공원에서 찰어요.
I danced at the ball.,나는 무도회에서 춤췄어요.
Anna practices ballet every Monday.,앤나가 매주 월요일에 발레 연습해요.
We go to the ballpark	to play baseball.,우리 야구장에서 야구를 해요.
I made a ballpark guess about the number of candies.,나는 사탕의 개수를 대략적으로 추측했어요.
The panda eats bamboo.,판다가 대나무를 먹고 있어요.
My dad works at the bank. 	,아빠가 은행에서 일하고 있어요.
We sat on the bank	by the river.,우리는 강둑에서	앉아 있었어요~요.
The banker works at a big bank.,은행가가 큰 은행에서 일해요.
We hung a banner on the school gate.,우리는 학교 정문에 깃발을 걸었어요.
A banner hangs above our school gate.,우리 학교 문 위에 현수막이 걸려 있어요.
Mia gave a banner show at school.,미아가 학교에서 최고의 공연을 했어요.
We use the barbecue to grill hot dogs.,우리는 숯불구이용 그릴에서 핫도그를 구워요.
The barn is on the farm.,헛간이 농장에 있어요.
We base our lesson on fun games.,우리 수업은 재미있는 놀이에 기반을 두고 있어요.
The base of the tower is very strong.,타워의 기초가 아주 튼튼해요.
The soldiers are at the base.,군인들이 기지에 있어요.
The base of the table is on the floor.,테이블의 맨 아래 부분이 바닥에 있어요.
The player runs to the base.,선수가 루로 달려가요.
A base man broke his friend's toy.,비열한 사람이 친구의 장난감을 부쉈어요.
We play baseball at the sunny park.,우리는 햇살 가득한 공원에서 야구를 해요.
We play with the baseball.	,우리 모두 야구공으로 놀아요.
She made a drawing based on a pretty flower.,그녀는 예쁜 꽃을 기초로 그림을 그렸어요.
We made our decision based on teacher's advice.,우리는 선생님의 조언에 근거하여 결정을 내렸어요.
The baseman is playing baseball today.,루수가 오늘 야구를 하고 있어요.
We learn basic English words every day.,우리는 매일 기초 영어 단어를 배워요.
I put an apple in the basket.,나는 바구니에 사과를 넣었어요.
We play basketball with our team at recess.,우리는 쉬는 시간에 팀과 함께 농구를 해요.
I dribble the basketball on the court.,나는 코트에서 농구공을 튕기고 있어요.
Tim bats the ball with his bat.,팀이 배트로 공을 쳐요.
The bat flies in the night.,박쥐가 밤에 날고 있어요.
I hit the ball with a bat.,나는 야구 방망이로 공을 쳤어요.
I take a bath every evening.,나는 매일 저녁 목욕을 해요.
I wash my hands in the bathroom.,욕실에서 손을 씻어요~요.
The bathtub is full of water and bubbles.,욕조에 물과 거품이 가득해요.
The batsman swings his bat in cricket.,크리켓에서 타자가 방망이를 휘둘러요.
Batter the ball with your bat.,방망이로 공을 강타해 보세요요.
The batter swung	He hit the ball.,타자가 휘둘렀어요	공을 쳤어요.
We mix batter to make crispy treats.,우리는 바삭한 튀김옷을 만들기 위해 반죽을 섞어요.
I want to be happy.	I want to be happy.,나는 행복하기를 원해요.
I will be able to ride my bike.,나는 자전거를 탈 수 있어요.
Tom is addicted to playing with his toy cars.,톰은 장난감 자동차 놀이에 빠져 있어요.
Ben is afraid of the dark.,벤은 어둠을 두려워해요.
You are allowed to draw pictures in class.,수업 시간에 그림을 그려도 돼요.
Don't be ashamed of trying new things.,새로운 것을 시도하는 것을 부끄러워하지 않아요.
I will be back soon.,저는 곧 돌아올 거예요.
My brother was born on Christmas day.,내 남동생은 크리스마스 날 태어났어요.
I am busy drawing at school.,학교에서 그림을 그리고 있어요.
The park is covered with green grass.,공원이 초록 잔디로 덮여있어요.
I am eager to play soccer.,저는 축구를 하고 싶어요.
I am familiar with the fun games at school.,나는 학교에서 하는 재미있는 게임들에 익숙해요.
The park is famous for its playful ducks.,그 공원이 장난꾸러기 오리들로 유명해요.
The bottle is filled with water.,병이 물로 차 있어요.
You are free to draw your picture.   ,마음대로 그림을 그려도 돼요.
I am from Korea.	I am from Korea.,저는 한국 출신이에요.	저는 한국 출신이에요.
The basket is full of apples.	,바구니가 사과로 가득 차있어요.
I am good at drawing.,나는 그림 그리기에 능숙해요.
I never want to be in trouble.,저는 곤경에 처하고 싶지 않아요.
I am interested in drawing pictures.,저는 그림 그리는 것에 흥미가 있어요.
I am into drawing pictures.,나는 그림 그리기에 관심이 있어요.
Our school is known for kind teachers.,우리 학교는 친절한 선생님들로 유명해요.
It is likely to rain today.,오늘 비가 올 가능성이 있어요.
It is likely to rain today.,오늘 비가 올 것 같아요.
This toy is made of plastic.,이 장난감은 플라스틱으로 만들어졌어요.
My toy is made up of plastic and wheels.,내 장난감은 플라스틱과 바퀴로 이루어져 있어요.
We are out of cookies.,쿠키가 다 떨어졌어요.
The game	will be over soon.,게임이	곧 끝나요.
I am proud of my drawing.,내 그림을 자랑스럽게 생각해요.
The owl is regarded as a wise bird.,부엉이는 지혜로운 새로 여겨져요.
I am satisfied with my drawing.,저는 제 그림에 만족해요.
My pencil	is similar to your crayon.,내 연필이	너의 크레용과 비슷해요.
The ball is stuck in the fence.,공이 울타리에 갇혀있어요.
You are supposed to do your homework.,너는 숙제를 해야만 해요.
Be sure to brush your teeth every morning.,매일 아침 반드시 이를 닦으세요~요.
I am surprised at the rainbow.,나는 무지개에 놀랐어요.
I am used to playing in the park.,나는 공원에서 노는 것에 익숙해져 있어요.
She is willing to share her snack.,그녀는 간식을 기꺼이 나눠줘요.
We build a sandcastle at the beach.,우리는 해변에서 모래성을 만들어요.
I found a bead in my toy box.,내 장난감 상자에서 구슬을 찾았어요.
The bird uses its beak to pick a worm.,새가 부리로 벌레를 뜯어요.
I bear my school tasks by myself.,저는 학교 일을 혼자 맡고 있어요.
The girl bears a happy smile.	The girl bears a happy smile.,소녀가 행복한 미소를 지니고 있어요.	소녀가 행복한 미소를 지니고 있어요.
The bear bears a cute baby.,곰이 귀여운 아기 곰을 낳아요.
I bear the pain when I fall.	,나는 넘어질 때 고통을 견뎌요.
The bear is in the forest.,곰이 숲 속에 있어요.
My grandpa has a beard.,할아버지께서 턱수염이 있어요.
A beautiful rainbow appears after the rain.,비 온 후 아름다운 무지개가 나타나요.
Beauty is in the pretty flower garden.,아름다움은 예쁜 꽃밭 안에 있어요.
I share my snack	because you are hungry.,나는 간식을 나눠 줘요	왜냐하면 네가 배고프기 때문이에요.
I am happy	because of my friend.,나는 친구 때문에 행복해요.
I want to become a smart person.,나는 똑똑한 사람이 되고 싶어요.
The caterpillar becomes a beautiful butterfly.,애벌레가 아름다운 나비로 돼요.
I want to become part of the fun game.	,나는 재미있는 게임의 일원이 되고 싶어요.
I sleep on my bed.	,나는 내 침대에서 자고 있어요.
The river bed is full of soft sand.,강 바닥은 부드러운 모래로 가득해요.
My bedroom is neat and bright.,내 침실은 깔끔하고 밝아요.
A bee flies near a bright flower.,벌이 밝은 꽃 주변을 날아다녀요.
Tom beefs about his homework.,톰이 숙제에 대해 불평해요.
I like to eat beef with rice.,나는 밥과 함께 쇠고기를 먹는 걸 좋아해요.
I brush my teeth before bed.,나는 잠자기 전에 양치해요.
The bus will arrive before long.,버스가 머지않아 도착할 거예요.
Let's begin our fun game.,재미있는 게임을 시작해요.
The beginning of the game is fun.,게임의 처음이 재미있어요.
Please behave	in our fun classroom.,우리 교실에서 예의 바르게 행동해요.
Please behave in class.,수업 시간에 처신해 주세요.
His good behavior makes our class happy.,그의 좋은 품행이 우리 반을 행복하게 해요.
The ball is behind the tree.,공이 나무 뒤에 있어요.
Don't talk behind your friend's back.,친구 뒤에서 몰래 말하지 마세요~요.
I believe my friend is good.,나는 내 친구를 믿어요.
I believe in magic.,나는 마법을 믿어요.
"Believe it or not, my toy can talk.","믿거나 말거나, 내 장난감이 말할 수 있어요."
The bell rings when class begins.,수업이 시작될 때 종이 울려요.
The bell rings at school.,학교에서 종소리가 울려요.
This toy belongs to our class.,이 장난감은 우리 반의 것이에요.
This book belongs to our class.,이 책은 우리 반에 속해요.
The puppy is below the tree.,강아지가 나무 아래에 있어요.
Eating fruits is beneficial for your health.,과일을 먹는 건 건강에 유익해요.
The bent pencil is on the desk.,구부러진 연필이 책상 위에 있어요.
He is bent on learning to play the guitar.,그는 기타를 배우는 일에 열중하고 있어요.
I pick a berry from the bush.,나는 덤불에서 산딸기류 열매를 따요.
The ball is beside the box.,공이 상자 옆에 있어요.
"I play ball; besides, I ride my bike.",나는 공놀이를 해요; 게다가 나는 자전거를 타요.
"Besides my book, I have a toy.",내 책 외에 나는 장난감을 가지고 있어요.
My toy is better than your toy.,내 장난감이 네 장난감보다 더 좋아요.
The toy is between the chairs.,장난감이 의자 사이에 있어요.
I ride a bicycle to the park.,나는 자전거를 타고 공원에 가요.
A big fish swims in the pond.,큰 물고기가 연못에서 수영하고 있어요.
I bike	to the park.,나는	공원에서 자전거를 타요.
I ride my bike to school.,나는 학교에 자전거 타고 가요.
The bike zooms fast on the road.,오토바이가 길 위를 빨리 달려요.
A bill makes new rules for all.,법안은 모두를 위한 새로운 규칙을 만들어요.
I use a bill to buy candy.,나는 지폐로 사탕을 사요.
The waiter brings a bill after the meal.,웨이터가 식사 후 계산서를 가져다 줘요.
The bird uses its bill to peck food.,새가 먹이를 쪼기 위해 넓적한 부리를 사용해요.
I have a hat with a wide bill.,나는 넓은 챙이 있는 모자를 가지고 있어요.
There are billions of stars in the sky.,하늘에 수십억의 별들이 있어요.
