id,WordText,WordMeaning,PoSText
11880,designer,디자이너,명사
11881,diary,일기,명사
11882,different,"다른,여러 가지의,다양한",형용사
11883,director,임원,명사
11884,director,감독,명사
11885,director,책임자,명사
11886,dirty,더러운,형용사
11887,dish,접시,명사
11888,dish,"음식,요리",명사
11889,dish,요리,명사
11890,dive,"잠수하다,뛰어들다,하강하다",동사
11891,dive,"다이빙,잠수",명사
11892,dodgeball,피구,명사
11893,dollar,달러,명사
11894,dolphin,돌고래,명사
11895,drone,단조로운 소리를 내다,동사
11896,drone,게으름뱅이,명사
11897,drone,"드론,무인 항공기",명사
11898,drummer,드럼 연주자,명사
11899,each other,서로,숙어/관용어
11900,each other,서로,대명사
11901,easy,쉬운,형용사
11902,easy,편한,형용사
11903,elementary school,초등학교,명사
11904,engineer,"기사,공학자",명사
11905,English,영국(인)의,형용사
11906,English,영어,명사
11907,enjoy,즐기다,동사
11908,eraser,지우개,명사
11909,event,행사,명사
11910,event,"대회,경기",명사
11911,everyone,모두 다,대명사
11912,excited,흥분한,형용사
11913,excited,"신이 난,흥분한",형용사
11914,exciting,흥분시키는,형용사
11915,exciting,신나는,형용사
11916,exciting,흥미로운,형용사
11917,excuse,"변명,이유",명사
11918,excuse,용서하다,동사
11919,excuse,양해를 구하다,동사
11920,expensive,비싼,형용사
11921,famous,유명한,형용사
11922,fantastic,"멋진,환상적인",형용사
11923,farmer,농부,명사
11924,fashion designer,의상 디자이너,명사
11925,fashion model,패션모델,명사
11926,fast food,즉석 음식,명사
11927,February,2월,명사
11928,feed,먹이다,동사
11929,feed,송신하다,동사
11930,feed,넣다,동사
11931,feed,먹이다,동사
11932,feed,(가족을) 부양하다,동사
11933,feed,음식을 주다,동사
11934,feed,공급하다,동사
11935,fence,울타리,명사
11936,fever,"열,열병",명사
11937,field trip,현장 학습,명사
11938,fifty,"50,쉰",명사
11939,fig,무화과,명사
11940,firefighter,소방수,명사
11941,fishing,낚시질,명사
11942,flag,"축 늘어지다,시들다",동사
11943,flag,깃발,명사
11944,flag,국기,명사
11945,footprint,발자국,명사
11946,forty,"40,마흔",명사
11947,France,프랑스,명사
11948,Friday,금요일,명사
11949,fried rice,볶음밥,명사
11950,frog,개구리,명사
11951,fry,기름에 튀기다,동사
11952,funny,"재미있는,우스운",형용사
11953,get lost,"길을 잃다,분실되다",숙어/관용어
11954,get lost,길을 잃다,숙어/관용어
11955,get off,~에서 내리다,숙어/관용어
11956,get off,~만큼 할인 받다,숙어/관용어
11957,get off,"출발하다,떠나다,~에서 내리다",숙어/관용어
11958,get on,(탈 것에) 타다,숙어/관용어
11959,get on,~로 그럭저럭 살아가다,숙어/관용어
11960,get some rest,약간의 휴식을 취하다,숙어/관용어
11961,get to,~에 도착하다,숙어/관용어
11962,get to,"~를 괴롭히다,나쁜 영향을 미치다",숙어/관용어
11963,get to,~하게 되다,숙어/관용어
11964,get to,"~하게 되다,~을 시작하다",숙어/관용어
11965,get up,일어나다,숙어/관용어
11966,ghost,유령,명사
11967,gift,선물,명사
11968,gift,재능,명사
11969,giraffe,기린,명사
11970,glasses,안경,명사
11971,glove,장갑,명사
11972,glove,글러브,명사
11973,gloves,장갑,명사
11974,glue stick,막대 풀,명사
11975,go on a trip,~로 여행가다,숙어/관용어
11976,go on a trip,여행을 떠나다,숙어/관용어
11977,go straight,곧장 가다,숙어/관용어
11978,go to bed,"잠자리에 들다,자다",숙어/관용어
11979,go to school,학교에 가다,숙어/관용어
11980,go to work,"일하러 가다,출근하다",숙어/관용어
11981,gown,가운,명사
11982,grade,등급,명사
11983,grade,"학년,성적",명사
11984,grade,"성적,등급",명사
11985,grade,채점하다,동사
11986,graduation,졸업,명사
11987,grandma,할머니,명사
11988,grandmother,할머니,명사
11989,grandpa,할아버지,명사
11990,grandparents,조부모,명사
11991,graph,"도표,그래프",명사
11992,gray,창백한,형용사
11993,guide,안내서,명사
11994,guide,안내인,명사
11995,guitarist,기타 연주자,명사
11996,gym,체육관,명사
11997,gym,운동,명사
11998,hairpin,머리핀,명사
11999,handsome,잘생긴,형용사
