Key Expression (한국어),Sub Expression (한국어)
A: 이번 주말에 뭐 할 거야? B: 조부모님을 방문할 거야.,A: 오늘 오후에 어떤 계획이 있어? B: 나는 ()할 거야. A: 내일 뭐 할 예정이야? B: 나는 ()할 거야.
A: 방학 동안 뭐 했어? B: 나는 동물원에 갔다 왔고 동물들을 봤어.,"A: 어제 뭐 즐겼어? B: 나는 () 했고, ()도 했어. A: 전에 어디 갔어? B: 나는 ()에 갔고, 거기서 ()했어."
A: 시립 도서관은 어디예요? B: 직진해서 왼쪽으로 도세요. 공원 옆에 있어요.,A: ()를 어디서 찾을 수 있어요? B: 직진한 후에 (). () 근처에 있어요. A: ()까지 어떻게 가요? B: 이쪽으로 내려간 다음에 (). 거기서 ()예요.
A: 이 책 얼마야? B: 다섯 달러야.,A: 이 물건의 가격이 얼마야? B: 이 물건은 ()야. A: 이 펜은 얼마야? B: 이 펜은 ()야.
이것은 부엌이야.,이것은 침실이야. 이것은 발코니야.
A: 뭐 하고 싶어? B: 나는 놀이공원에 가고 싶어.,A: 뭐 하고 싶어? B: 나는 () 하고 싶어. A: 뭐 하고 싶어? B: 나는 () 하고 싶어.
A: 어떤 계절을 좋아해? B: 나는 가을을 즐겨.,A: 가장 좋아하는 계절은 뭐야? B: 나는 ()를 좋아해. A: 일년 중 가장 즐기는 시기는 언제야? B: 나는 ()를 선호해.
A: 어디서 왔어? B: 나는 한국에서 왔어.,A: 어디서 왔어? B: 나는 ()에서 왔어. A: 고향이 어디야? B: 내 고향은 ()야.
A: 가장 좋아하는 과목이 뭐야? B: 내가 가장 좋아하는 과목은 과학이야.,A: 어떤 과목을 가장 좋아해? B: 내가 선호하는 과목은 (). A: 네가 가장 좋아하는 과목은 무엇이야? B: 나는 () 공부하는 것을 즐겨.
내가 네 노트북 써도 돼?,내가 () 가져가도 돼? 내가 () 빌려도 돼?
A: 이 책은 누구의 것이야? B: 미나의 거야.,A: 이 펜은 누구의 것이야? B: ()의 거야. A: 이 우산은 누구의 것이야? B: ()의 거야.
A: 동물원에 가자. B: 좋아.,A: ()를 탐험해보는 게 어때? B: 재밌을 것 같아. A: ()에 가보는 건 어때? B: 정말 가고 싶어.
A: 뭐 하고 싶어? B: 나는 공원에 가고 싶어.,A: 어떤 활동을 즐기니? B: 나는 ()을 즐겨. A: 지금 뭐 해보고 싶어? B: 나는 ()을 해보고 싶어.
A: 소풍은 어땠어? B: 정말 즐거웠어.,A: 오늘 하루 어땠어? B: (괄호)였어. A: 여행은 어땠어? B: (괄호)였어.
A: 몇 시에 일어나? B: 나는 7시에 일어나.,A: 언제 아침 먹어? B: 나는 ()에 아침 먹어. A: 몇 시에 학교에 가? B: 나는 ()에 학교에 가.
A: 이 장난감 얼마야? B: 500원이야.,A: 이 쿠키들 얼마야? B: ()원이야. A: 이 책의 가격이 얼마야? B: ()원이야.
A: 가장 가까운 공원이 어디에 있어? B: 직진하면 왼쪽에 있을 거야.,A: ()로 가는 길을 알려줄래? B: 여기서 ()에 있어. A: ()에 어떻게 도착할 수 있어? B: 근처에 ()에 위치해 있어.
A: 네 가장 친한 친구는 어떻게 생겼어? B: 그녀는 짧은 물결 머리를 하고 있어.,A: 너의 친구는 어떻게 생겼어? B: ()는 직모의 어두운 머리를 하고 있어. A: 이웃의 외모를 묘사해 줄래? B: ()는 키가 크고 곱슬거리는 갈색 머리를 하고 있어.
A: 그녀는 무슨 일을 해? B: 그녀는 선생님이야.,A: ()는 무슨 일을 해? B: ()는 ()야. A: 누가 ()로 일해? B: ()는 ()로 일해.
A: 어디서 왔어? B: 나는 캐나다에서 왔어.,A: 어느 나라 사람이야? B: 나는 ()에서 왔어. A: 어디서 왔어? B: 나는 ()에서 왔어.
A: 일요일에 뭐해? B: 나는 음악 수업에 가.,A: 보통 ()에 뭐해? B: 나는 항상 (). A: 너는 ()를 어떻게 보내? B: 나는 보통 ().
"A: 네 펜 좀 써도 될까? B: 응, 써도 돼. / 아니, 써서는 안 돼.","A: () 좀 빌려도 될까? B: 그래! / 미안, 지금은 안 돼. A: 내가 ()해도 괜찮을까? B: 물론이지! / 오히려 안 하는 게 좋겠어."
A: 이 장갑은 누구 거야? B: 미나 거야.,"A: 이 ()는 누구 거야? B: 그건 ()의 거야. A: 이 ()는 네 거야? B: 아니, 이 ()는 ()야."
A: 주문 받아도 될까요? B: 치즈버거 하나 주세요.,"A: 뭐 먹을래? B: ()로 할게. A: 뭐 더 줄까? B: 응, () 원해."
A: 다음 주말에 뭐 할 거야? B: 나는 하이킹 갈 거야.,"A: ()에 대해 뭐 할 계획이야? B: 나는 ()할 거야. A: ()에 대한 계획 있어? B: 응, 나는 ()할 계획이야."
A: 주말 어땠어? B: 정말 환상적이었어.,A: 너의 ()는 어떻게 됐어? B: ()였어. A: ()는 어땠어? B: 정말 ()였어.
A: 이 스니커즈들은 얼마야? B: 그건 스무 달러야.,A: 이 ()들은 얼마야? B: ()야. A: 이 ()들의 가격은 얼마야? B: ()야.
A: 네가 가장 좋아하는 스포츠는 뭐야? B: 내가 가장 좋아하는 스포츠는 테니스야.,A: 가장 좋아하는 것은 무엇이니? B: 나는 정말 ~을 즐겨. A: 가장 좋아하는 종류의 ()는 뭐야? B: 나는 ~을 좋아해.
A: 내 방에 책장이 있어.,A: () 근처에 ()가 있어. A: () 안에 ()를 찾을 수 있어.
A: 너는 무엇이 되고 싶어? B: 나는 과학자가 되고 싶어.,A: 네 꿈의 직업은 뭐야? B: 나는 ~가 되고 싶어. A: 커서 무엇을 하고 싶어? B: 나는 ~가 되고 싶어.
너는 어때?,너는 어때? 그리고 너 자신은?
nan,저 좀 도와주실 수 있나요? — 물론이죠. 저 좀 도와주시겠어요? — 당연하죠.
"아니, 그건 사라의 펜이야.","아니, 그건 알렉스의 () 아니, 그건 마이크의 ()"
"안녕하세요, 미아입니다.","안녕, 나는 알렉스야. 안녕하세요, ()에 연결되었습니다."
여기 너를 위한 무언가 있어!,이것은 ()을 위한 선물이야. 나는 ()을 위한 무언가가 있어.
나는 몰라.,나는 전혀 감이 없어. 나는 확실하지 않아.
잘했어!,멋진 일이야! 대단한 노력이야!
즐거운 하루 보내.,몸조심해! 곧 보자!
나는 그 행사를 즐겼어.,나는 어제 즐거웠어. 그때 행복했어.
그녀는 파란색 드레스를 입고 있어.,나는 () 복장을 하고 있어. 그들은 () 옷을 입고 있어.
그는 쾌활해 보여.,그녀는 만족해 보여. 그들은 기뻐 보여.
A: 이 책을 빌려도 될까요? B: 물론이죠.,A: 컴퓨터를 사용해도 될까요? B: 당연하죠. A: 창문을 열어도 될까요? B: 물론이죠.
A: 정말 고마워! B: 천만에.,A: 정말 고마워! B: 별거 아니야. A: 정말 감사해! B: 언제든지.
정말 잘됐네!,잘했어! 대단해!
A: 네 이름은 어떻게 철자해? B: J-O-H-N.,A: 네 전체 이름의 철자를 알려줄래? B: ()-()-()-(). A: 네 이름의 철자를 말해줄래? B: ()-()-()-().
"오, 이해했어.",나는 이해해. 알겠어.
천만에.,별거 아니야. 언제든.
저 의자들은 꽤 커.,이 가방들은 매우 () 저 책들은 꽤 ()
A: 무슨 활동을 즐기니? B: 나는 그림 그리기를 좋아해.,"A: 네가 가장 좋아하는 활동은 뭐야? B: 나는 ()하는 ()를 좋아해. A: 너는 그림 그리기를 좋아해? B: 응, 나는 ()하는 ()를 즐겨."
그건 너무 이르다.,그건 꽤 이르다. 그건 좀 이르다.
저것은 멋져 보여.,저것은 놀랍게 보여. 저것은 환상적으로 보여.
A: 여행은 어땠어? B: 정말 멋졌어.,A: 행사는 어땠어? B: (). A: 어떻게 되었어? B: ().
왼쪽에 있어.,옆에 있어 (). 반대편에 있어 ().
"A: 도와드릴까요? B: 네, 정말 고마워요.","A: 도와드릴까요? B: 네, 고마워요. A: 제가 도움을 드려도 될까요? B: 물론이야, 고마워요."
A: 정원에 뭐가 있어? B: 정원에 그네가 있어.,A: 놀이방에 뭐가 있어? B: 놀이방에 ()가 있어. A: 침실에 뭐가 있어? B: 침실에 ()가 있어.
정말 좋은 제안이야.,정말 훌륭한 생각이야! 정말 멋진 생각이야!
"나는 여름을 좋아해, 왜냐하면 수영을 즐길 수 있기 때문이야.","나는 ()을 선호해, 왜냐하면 (). 나는 ()을 즐겨, 왜냐하면 그것이 ()를 가능하게 해줘."
A: 이름의 철자를 어떻게 써? B: S-A-R-A-H.,A: 성의 철자를 어떻게 써? B: ()-()-()-(). A: 네 이름의 철자를 말해줄래? B: 그건 ()-()-()-().
나는 단어 퍼즐을 푸는 것을 즐겨.,나는 () 활동을 탐험하는 것을 좋아해. 나는 ()에 참여하는 것을 즐겨.
"물론, 걱정 마!",천만에요! 제 기쁨입니다!
"A: 확실해? B: 응, 확실해. / 아니, 확실하지 않아.","A: 이거 확실해? B: 응, 확실해. / 아니, 확실하지 않아. A: 이거 확정된 거야? B: 응, 맞아. / 아니, 그렇지 않아."
A: 엄마 어디에 있어? B: 부엌에 있어.,A: ()는 어디에 있어? B: ()에 있어. A: ()를 찾을 수 있어? B: ()에 있어.
나는 장난감을 가지고 놀고 싶어.,나는 친구들과 함께 ()하고 싶어. 오늘은 ()하고 싶지 않아.
A: 지난 주말에 뭐 했어? B: 나는 공원에서 그림을 그렸어.,A: 어제 뭐 했어? B: 나는 가족과 함께 () 했어. A: 지난 일요일에 어떻게 보냈어? B: 나는 () 했고 즐거웠어.
A: 3시에 만나는 건 어때? B: 좋아!,"A: ()시에 만날래? B: 그거 괜찮아! A: ()시에 모일까? B: 물론, 괜찮아!"
"A: 도와드릴까요? B: 네, 부탁해요. 책을 둘러보고 있어요.","A: ()에 대해 도와드릴까요? B: 네, 감사합니다! A: ()에 대해 어떤 도움을 드릴까요? B: 정말 좋겠어요; 감사합니다!"
한 번 더 말해줄래?,나를 위해 한 번 더 말해줄래? 다시 한 번 말해줄래?
그녀는 빨간 스카프와 파란 신발을 착용하고 있어.,그녀는 ()와 ()를 착용하고 있어. 그들은 ()와 ()를 착용하고 있어.
A: 그녀는 아름다운 그림을 그려. B: 그녀는 재능 있는 예술가야.,A: 그는 ~에서 일하고 책을 써. B: 그는 ~ 작가야. A: 그들은 ~를 설계하고 건설해. B: 그들은 ~에 능숙해.
A: 좋은 저녁이야!,A: 좋은 아침이야! A: 즐거운 오후 보내!
"A: 미안하지만, 나는 금요일에 헬스장에 가.","A: 하고 싶지만, () 있어. A: 안 돼. () 해야 해."
A: 어서 해.,A: 편하게 해. A: 마음대로 해.
"A: 아니, 하나의 노트북이야.","A: 사실은, 이게 ()야. A: 아니, 이것은 ()야."
A: 김치가 뭐야? B: 매운 한국 요리야.,A: ()가 무엇인지 말해줄 수 있어? B: ()의 한 종류야. A: ()는 무엇으로 만들어졌어? B: ()로 만들어졌어.
A: 좋은 여행 되길! B: 고마워! 너도!,A: 오늘 하루 즐겁게 보내! B: 고마워! A: ()에서 즐겁게 놀아! B: 그럴게!
A: 무슨 사이즈 원해? B: 나는 미디엄 사이즈를 원해.,"A: 네게 맞는 사이즈가 뭐야? B: 나는 ()를 입어. A: 더 큰 ()가 필요해? B: 아니, ()가 딱이야."
A: 나는 빵 굽는 걸 좋아해.,A: 나는 ~을 즐겨. A: 나는 ~하는 걸 좋아해.
A: 정말 아름다운 정원이네!,A: 이 () 정말 ()하네! A: 저 () 정말 ()하네!
A: 나는 사람들을 돕고 싶어.,A: 나는 ~하고 싶어. A: 나의 목표는 ~하는 거야.
