,제목,출판사,교육과정,Lesson,Title,Structure
27,공통영어 1,YBM(김),2022,2,Art and the City,"• 분사의 후치 수식
The picture illustrates a spring garden filled with flowers and trees."
28,공통영어 1,YBM(김),2022,3,Living Green: A Guide to Sustainable Choices,"• 관계대명사 what
We should demonstrate our concerns through what we buy."
29,공통영어 1,YBM(김),2022,4,Be Smart in the Digital World,"• 간접의문문
It is important that we know what false information is."
30,공통영어 2,YBM(김),2022,1,Make Your World a Better Place,"• 관계부사 when, where
During the time when an Ebola outbreak affected Africa, it proved to be invaluable."
31,공통영어 2,YBM(김),2022,2,From Tradition to Trend,"• It is/was ... that 강조
It was during the 1960s that delivery services grew again."
32,공통영어 2,YBM(김),2022,3,Beyond Barriers,"• 목적격 보어로 쓰이는 to부정사
Glenn asked Katherine Johnson to double-check the machine’s figures."
33,공통영어 2,YBM(김),2022,4,The Essence of Being Human,"• 복합관계부사
However well you make the replica, I don’t think I will be able to accept it."
34,공통영어 1,YBM(박),2022,1,Enrich Your Life,"• It ~ for ··· to부정사
It is important for you to write freely and honestly."
35,공통영어 1,YBM(박),2022,2,Explore Wildlife Wonders,"• one of the 최상급+복수 명사
One of the most interesting similarities is intelligence."
36,공통영어 1,YBM(박),2022,3,"Embrace Diversity, Broaden Your Horizons","• 분사구문
Korean words are being added to English, resulting in a richer English vocabulary."
37,공통영어 1,YBM(박),2022,4,When Art Meets Technology,"• 목적격 보어로 쓰인 to부정사
The experts asked them to offer some evidence."
38,공통영어 2,YBM(박),2022,1,Be Digitally Smart!,"• 동격의 that
Gina was astonished by the fact that she had spread the fake news."
39,공통영어 2,YBM(박),2022,2,Urgent Call From Earth,"• 관계대명사 what
What I see in the carts in the checkout line are mostly water bottles."
40,공통영어 2,YBM(박),2022,3,Rise Above Challenges,"• 관계부사
This is the reason why resilient people tend to create good support networks."
41,공통영어 2,YBM(박),2022,4,Creative Ideas for a Better World,"• 가정법 과거완료
If microscopes had not been invented, we might not have discovered bacteria."
42,영어,YBM(박),2015,1,Dream It and Achieve It,"• 사역동사+목적어+목적격 보어
What made John Goddard record his dreams on paper?"
43,영어,YBM(박),2015,2,Color Your Language,"• 수동태
Whenever a white elephant was found, it was given to the king."
44,영어,YBM(박),2015,3,Enjoy the Tasty World,"• 관계대명사 who
Anyone who loves the Gimchi of this region will be able to taste it."
45,영어,YBM(박),2015,4,Preparing for Weather,"• 분사구문
The water rose to the level of the door, starting to fill his house."
46,영어,YBM(박),2015,5,The Joy of Appreciating Art,"• so ~ that ...
One of them painted grapes that looked so real that birds tried to eat them."
47,영어,YBM(박),2015,6,Traveling for Volunteer Work,"• 과거완료
I was nervous because I had never traveled alone before."
48,영어,YBM(박),2015,7,Bringing Creativity into Our Lives,"• 의문절을 이끄는 접속사 whether
He wondered whether he could do anything to help his grandfather."
49,영어,YBM(박),2015,8,"Green Life, Green Earth","• 가주어 it, 진주어 to부정사
It was not easy for me to get electricity from sunlight."
50,영어,YBM(박),2015,9,What Makes Sports More Exciting,"• It is[was] ~ that 강조
It was a new training suit that changed the team."
51,영어,YBM(박),2015,10,Feel What Others Feel,"• 지각동사의 목적격 보어
We see our friends laughing."
52,영어,YBM(한),2015,1,"A Fresh New
 Start","• It is[was] ... that 강조 
It is hard work that makes things happen and creates change."
53,영어,YBM(한),2015,2,"Working
 Together","• 지각동사+목적어+분사
Have you ever observed ants marching in and out of their nest?"
54,영어,YBM(한),2015,3,"Eat Right,
 Be Healthy","• 주어와 동사의 수 일치
The acid in sodas interacts with stomach acid, slowing digestion and blocking nutrient absorption."
55,영어,YBM(한),2015,4,"Invention for
 the Rainforests","• 의문사가 없는 의문문의 간접화법
People contacted White and asked if they could use the device."
56,영어,YBM(한),2015,5,"How to Win
 Over Someone's
 Mind","• 관계대명사 what
It is because of what psychologists refer to as “cognitive dissonance.”"
57,영어,YBM(한),2015,6,"The Most
 Efficient Job in
 the World","• 수동태 
In India, many traditions are being challenged as a result of globalization."
58,영어,YBM(한),2015,7,"Amazing
 Architecture","• 관계부사 when, where
There are curved terraces where visitors can enjoy wonderful views of Barcelona."
59,영어,YBM(한),2015,8," Living with
 Robots","• 전치사+관계대명사
On the fifth task, for which it had to use a drill to cut through a wall, HUBO failed on its first attempt."
60,영어Ⅰ,YBM(박),2015,1,"Healthy Living, Happy Life","• 관계대명사 that
It is a normal reaction that almost everyone experiences."
61,영어Ⅰ,YBM(박),2015,2,Origins of Everyday Things,"• 비교급 less ~ than
Potatoes were at first less favored than sweet potatoes by Europeans."
62,영어Ⅰ,YBM(박),2015,3,Advertising in Your Life,"• 전치사 + 관계대명사
In a TV drama, there was a scene in which a blind girl applied lipstick on her own."
63,영어Ⅰ,YBM(박),2015,4,Becoming Active as Consumers and Sellers,"• 강조구문 what
What they started was a whole new business model providing a platform for the sharing economy."
64,영어Ⅰ,YBM(박),2015,5,Cultures Around the World,"• 관계부사 why
This is why namsadangnori is considered a fun and comprehensive form of entertainment."
65,영어Ⅰ,YBM(박),2015,6,The Future of Space Exploration,"• 분사구문 with + 명사 + -ing
With many countries participating in those projects, scientists are making progress."
66,영어Ⅰ,YBM(한),2015,1,Learn from Failures,"• 관계대명사의 계속적 용법
At 39, she published her first novel, The Bluest Eye, which received mixed reviews and did not sell well."
67,영어Ⅰ,YBM(한),2015,2, Technology and Life,"• 「의문사＋to부정사」
The transition from the film camera to the digital camera changed our ideas on what to take pictures of."
68,영어Ⅰ,YBM(한),2015,3, Extend Your View of Art,"• 형용사로 쓰이는 과거분사
Kim Whanki felt a strong desire to capture the essence of the beauty found in traditional Korean art."
69,영어Ⅰ,YBM(한),2015,4,A Trip for Cultural Diversity,"• 완료 분사구문
Having left our luggage at the hotel, my family and I walked around the city."
70,영어Ⅰ,YBM(한),2015,5,The Small but Great Potato,"• 부정어구 도치
Not only did potatoes grow well in much of Europe, but they were also very nutritious."
71,영어Ⅰ,YBM(한),2015,6, Nature and Environment,"• 부분 부정
Unlike the sinkhole in Florida, not all sinkholes are destructive."
72,영어Ⅱ,YBM(박),2015,1,Treasure out of Trash,"• cannot ~ enough
The importance of urban renewal cannot be stressed enough."
73,영어Ⅱ,YBM(박),2015,2,We Are Stronger Together,"• 가정법 과거완료
If he had turned his plane back to LaGuardia, it would have made the landing disastrous."
74,영어Ⅱ,YBM(박),2015,3,Fun Science about the Human Body,"• 조건의 접속사 provided that
Crying did relieve their mood, provided that they were given enough time for the benefits of crying to set in."
75,영어Ⅱ,YBM(박),2015,4,Equality for All,"• 독립부사구
To her regret, there was no women’s running team in the university."
76,영어Ⅱ,YBM(박),2015,5,Sharing the Planet with Every Creature,"• 접속사 unless
A green space can be a green desert unless it has flowering plants that are friendly to bees."
77,영어Ⅱ,YBM(박),2015,6,Humans and Technology,"• 지각동사와 사역동사의 수동태
Human beings were seen to be replaced with their own creation."
78,영어Ⅱ,YBM(한),2015,1,"Microbes and
 Health","• 관계대명사의 생략
A human being has about 10 trillion human cells, but there are also other tiny creatures (which are) living in the human body."
79,영어Ⅱ,YBM(한),2015,2,"Lesson 2
 Money
 Matters","• even if 양보의 부사절
Even if the robber had succeeded in getting lots of cash, he would have had trouble spending it."
80,영어Ⅱ,YBM(한),2015,3,"Lesson 3 
 Gift and
 Achievement","• 「배수사 + 비교급」
By age six, the young Wolfgang had practiced an astonishing 3,500 hours −three times more than anybody else in his peer group."
81,영어Ⅱ,YBM(한),2015,4,"Lesson 4
 Look into
 Your Mind","• 5형식 문장의 목적격 보어
The confirmation bias makes people unconsciously seek information that matches their own opinions."
82,영어Ⅱ,YBM(한),2015,5,"Lesson 5
 Exploring
 the Universe","• 병렬구조
Plants grown on a spacecraft may be used to potentially reduce carbon dioxide and produce oxygen, as well as provide water for drinking through transpiration."
83,영어Ⅱ,YBM(한),2015,6,"Lesson 6
 Culture and
 Heritage","• 「the + 비교급 ..., the + 비교급 ~」
The more women chose to work in tourism, the faster the number of haenyeo decreased."
84,영어,비상,2015,1,Envision,"• 동격의 of
He has a plan for his dream of becoming a magician."
85,영어,비상,2015,2,Express,"• one of the+최상급+복수명사
Combining analogous colors is one of the easiest ways of matching colors."
86,영어,비상,2015,3,Contribute,"• 완료분사구문
Having been founded to tackle the problem, the platform allows extra food to be distributed to neighbors."
87,영어,비상,2015,4,Explore,"• 관계부사
Many people lined up in front of a small store where green apple gelato was served."
88,영어,비상,2015,5,Collaborate,"• 부정어 도치
The miners did not give up in the dark, nor did their families surrender to despair."
89,영어,비상,2015,6,Decide,"• Without 가정법
Without decisions to make, being a consumer would be easier but less interesting."
90,영어,비상,2015,7,Observe,"• 동명사의 의미상 주어
Do you remember your mom taking you to a doctor’s office?"
91,영어,비상,2015,8,Appreciate,"• 동사의 생략
Yellow is linked with the sound of the trumpet and blue (is linked) with that of the cello."
92,영어Ⅰ,비상,2015,1,A Road to Happiness,"• 관계대명사의 계속적 용법
My arm will cramp up, which will force me to drop the glass."
93,영어Ⅰ,비상,2015,2,"Taste Culture, Understand Better","• 전치사+관계대명사
Coloring is the next step, after which a second drying takes place."
94,영어Ⅰ,비상,2015,3,Sports and Science Get Along,"• 원급을 이용한 배수 표현
Adult cheetahs can take twice as many steps as we do."
95,영어Ⅰ,비상,2015,4,"Together, We Can Do Better!","• as if 가정법 과거
Mary’s mother cared for wounded soldiers as if they were her own family members."
96,영어Ⅰ,비상,2015,5,Creativity in Action,"• 복합관계대명사
He carved whatever he could think of at the very tip of a pencil."
97,영어Ⅰ,비상,2015,6,My Promise with Mother Nature,"• <부분사+of+명사>
About one third of the world’s fresh water is used for meat production."
98,영어Ⅱ,비상,2015,1,The Path Ahead,"• I wish 가정법 과거완료
I wish I had done more to help people."
99,영어Ⅱ,비상,2015,2,Tasty History,"• 내포절 관계사 구문
There are a few crops that archaeologists believe sparked the Agricultural Revolution."
100,영어Ⅱ,비상,2015,3,Our Blue Planet,"• what 강조 구문
What is needed is something to supplement their diet."
101,영어Ⅱ,비상,2015,4,"One World, Many Ways","• 비인칭 독립분사 구문
Putting it in other words, do you value efficiency or thoroughness?"
102,영어Ⅱ,비상,2015,5,How Far Will Technology Go?,"• 전치사 to와 to부정사의 구분
Biologists are accustomed to analyzing huge datasets with the help of supercomputers."
103,영어Ⅱ,비상,2015,6,The Landscape of Stories,"• 사역동사 make의수동태
He was made to wear the handicap radio at all times."
104,영어,동아(이),2015,1,"Hi, High School!","• 관계대명사 what
A fear of failure is what stops them from trying new things."
105,영어,동아(이),2015,2,Delicious World,"• <가주어-진주어> 구문
It was common practice to display a big wheel of cheese."
106,영어,동아(이),2015,3,Helping Hands,"• 동격의 of
The simple practice of washing hands could save a lot of lives."
107,영어,동아(이),2015,4,Be Nature Smart,"• 현재완료 수동태,
There is another type of pollution that has been ignored by many."
108,영어,동아(이),2015,5,Beg to Differ,"• 소유격 관계대명사 whose
There were several students whose mothers or fathers were from countries other than Korea."
109,영어,동아(이),2015,6,Beyond Korea,"• not until A B
Not until the late Joseon period did paintings begin to decorate the homes of common people."
110,영어,동아(이),2015,7,A Step Forward,"• 과거분사의 명사 수식
She sat just behind the ten seats reserved for whites."
111,영어,동아(이),2015,8,Bon Voyage,"• 관계부사 where
We found a place where we could sleep in an igloo."
112,영어 I,동아(권),2015,1,Invitation to a Teen’s Life,"• 목적격 보어가 to부정사인 5형식 문장
The teacher asked him to name the current Secretary- General of the United Nations."
113,영어 I,동아(권),2015,2,Taste Different Cultures,"• 관계부사 why
That is why it is better to eat your biggest meal at lunch time."
114,영어 I,동아(권),2015,3,Live and Let Live,"• 과거완료의 수동태
The baby and her mom had been driven out of their forest home when it was destroyed."
115,영어 I,동아(권),2015,4,Passion for Reading,"• 관계대명사 which의 계속적 용법
He had avoided the work for weeks, which put him under great pressure."
116,영어 I,동아(권),2015,5,Discover the Future,"• 관계대명사 what
This is one example of what the “Internet of Things,” or IoT, can do."
117,영어 I,동아(권),2015,6,National Pride,"• 부정어 강조로 인한 도치
Not only did he love his father, but King Jeongjo also had a big heart for his people."
118,영어 II,동아(권),2015,1,Health Talks,"• 재귀대명사 
It shows that your emotional state can reflect itself in your posture."
119,영어 II,동아(권),2015,2,Step into the World,"• 현재완료 진행 시제 
Ever since, she and I have been exchanging letters."
120,영어 II,동아(권),2015,3,The Joy of Language,"• 동격의 of 
Sarah agrees with the idea of studying together."
121,영어 II,동아(권),2015,4,Delight in Art,"• not A but B 구문 
The lion, not wanting to disturb her, but curious about her presence, looks on."
122,영어 II,동아(권),2015,5,Living Together,"• such a(n)+형용사+명사+that ~ 
The idea was such a huge sensation that teens began piling up pennies."
123,영어 II,동아(권),2015,6,Find Your Dream,"• 복합관계사 
Whatever the case, if you’ve noticed one of these things, you’ve already been practicing phenology."
124,공통영어 I,동아(이),2022,1,Life Is Experience,"• 지각동사의 목적격 보어
I heard a voice growing louder in my head, saying “Go for it!”"
125,공통영어 I,동아(이),2022,2,Journey Through the Pages,"• 관계부사 where
Perhaps it is a beautiful place where a green forest surrounds a blue lake."
126,공통영어 I,동아(이),2022,3,Small Things Matter,"• 동격의 that
Take comfort in the fact that you are not wishcycling."
127,공통영어 I,동아(이),2022,4,Everyday Decisions,"• 관계대명사 what
People are less likely to give up what they already have."
128,영어 I,동아(박),2022,1,Best Version of Me,"• 간접의문문
You are trying to figure out who you are and who you want to be."
129,영어 I,동아(박),2022,2,Money Smart,"• 관계부사
High school is where we learn about life."
130,영어 I,동아(박),2022,3,Act for Our Planet,"• 계속적 용법의 which
Nutrients are relatively scarce in warm waters, which makes it difficult for phytoplankton to survive."
131,영어 I,동아(박),2022,4,Digital Well-Being,"• 가정법 과거완료
If Alex had been aware of this, he wouldn’t have missed out on new and diverse styles outside his bubble."
132,영어 I,동아(박),2022,5,Beyond Boundaries,"• with+명사+분사
He was touching the ground with his hips raised towards the sky."
133,영어 I,동아(박),2022,6,Better Together,"• 분사구의 후치 수식
NASA has more than three million photos of Earth taken from space."
134,기본영어,천재(강),2015,1,Cheers to Your New Start!,"• 동명사
I can only remember spilling my lunch all over my uniform.
Staying silent will only make things worse."
135,기본영어,천재(강),2015,2,Animals in Our Lives,"• 간접의문문
She never asks how good my grades are.
I can tell how you feel."
136,기본영어,천재(강),2015,3,"Our Earth, Our Choice","• 비교급과 비교급의 강조
Cotton bags are heavier than plastic bags.
Plastic bags are much cheaper than paper bags."
137,기본영어,천재(강),2015,4,All Eyes on Korea,"• 수동태
The hat was worn by the yangban.
The hat was shipped to Panama."
138,기본영어,천재(강),2015,5,Living in a Digital Era,"• 목적격 관계대명사와 생략
The advertisements are for the item (that) you were looking for.
You can delete any accounts (that) you don’t need."
139,영어,천재(이),2015,1,Opening a New chapter,"• 2형식 동사+형용사(주격 보어)  
I felt nervous and worried because I was about to jump into a new world."
140,영어,천재(이),2015,2,The Power of Creativity,"• 재귀대명사(강조 용법)  
She used water itself―water pressure―instead of scrubbers."
141,영어,천재(이),2015,3,Living Together,"• 과거 완료 
I remembered a pair of slippers that I had received as a present."
142,영어,천재(이),2015,4,The Door to the World,"• 접속사   
Koreans call something easy ""cold gruel"" whereas native speakers of English call it ""a piece of cake."""
143,영어,천재(이),2015,5,"Our Earth, Our Future, Our Choice","• 상관접속사 not only/just ~ but also ... 
Not just meat-eating animals but also plant-eating animals can be keystone species."
144,영어,천재(이),2015,6,"Enjoy Art, Connect Hearts","• 분사 구문  
Inspired by the video, Whitacre decided to make a virtual choir."
145,영어,천재(이),2015,7,Science in Our Daily Lives,"• 분사 후위 수식  
There are four main forces involved in flight."
146,영어,천재(이),2015,8,Korean Culture: The Mirror of Our Hearts ,"• must have p.p.  
You all must have participated this game at least once."
147,영어,천재(김),2015,1,"New Start, New Goals","• not A but B  
The problem is not time but time management."
148,영어,천재(김),2015,2,How “Green” Are You?,"• the fact that ....  
You wouldn't believe the fact that this bag is made of ring pulls."
149,영어,천재(김),2015,3,Together We Grow,"• 의문문이 인용된 문장의 화법 전환  
""Does she have a problem?"" Lisa said to me."
150,영어,천재(김),2015,4,Speak to Be Heard,"• do so  
How can you do so effectively?"
151,영어,천재(김),2015,5,For a Better World,"• 관계부사  
On the day when I first started volunteering, they gave me a warm welcome."
152,영어,천재(김),2015,6,Pack Up and Go,"• ｢제안, 요구, 주장 동사+that+주어+(should)+동사원형｣
They suggeested that we (should) go to the National Museum of Greenland together."
153,영어,천재(김),2015,7,Beyond Earth,"• 미래진행형  
I will be driving one of them at this time tomorrow."
154,영어,천재(김),2015,8,Korean Culture Rediscovered,"• 도치를 만드는 부사(구)  
Only after a king died was the Sillok of his reign published."
155,영어Ⅰ,천재(이),2015,1,"My Journey, My Life","• 「전치사+동명사」
He helped me dream of becoming  a children's book author."
156,영어Ⅰ,천재(이),2015,2, Art Around Us,"• 「one of the+최상급 +복수 명사」
The Sleeping Gypsy is one of the most representative works of Henri Rousseau."
157,영어Ⅰ,천재(이),2015,3,Toward a Better Environment,"• 접속사 as
As you know, it is cheap, lightweight, and strong."
158,영어Ⅰ,천재(이),2015,4, Living Together,"• to부정사 목적격 보어
The message encouraged me to bring my old coats for the homeless."
159,영어Ⅰ,천재(이),2015,5,Culture as a Mirror of Our Lives,"• 분사 후치 수식
Conversation scientists removed the cement used in the first restoration process."
160,영어Ⅰ,천재(이),2015,6,"Technology, What Defines Us as Humans","• 5형식 수동태
That one's called anger."
161,영어 II,천재(이),2015,1,My School Days,"• 「감각동사+형용사」
When they entered the classroom, they looked puzzled by the decorations."
162,영어 II,천재(이),2015,2,Discover Cultures Around the World,"• 동명사구 주어
Just thinking of skiing in Africa makes this town a much more attractive city."
163,영어 II,천재(이),2015,3,Future of Money,"• 원급 비교
My grandmother said that learning how to use an e-payment system is not as easy as using cash."
164,영어 II,천재(이),2015,4,"Bring Literature
into Your Life","• 이어동사
With both hands, he held it out for the emissary."
165,영어 II,천재(이),2015,5,ICT in Our Lives,"• 진행 수동태
There are many other areas where ICT is increasingly being used such as education and health."
166,영어 II,천재(이),2015,6,"Reach Beyond
Ourselves","• 「주장/제안/명령/요구 동사+that+주어+(should) 동사원형」
We request that this apology (should) be received as part of the healing of the nation."
167,영어,능률(김),2015,1,The Part You Play,"• 진주어 to부정사와 의미상의 주어
It is difficult for him to walk, run, or move around."
168,영어,능률(김),2015,2,The Power of Creativity,"• 주격 관계대명사
The German government showed us an excellent example of this with a former steel plant that closed in 1985."
169,영어,능률(김),2015,3,Sound Life,"• 관계대명사 what
This is what makes you special."
170,영어,능률(김),2015,4,Toward a Better World,"• 형용사/부사+enough+to-v
It was quite clear that this place was not big enough to house all the family members."
171,영어,능률(김),2015,5,What Matters Most,"• 가정법 과거완료
If you hadn’t helped me, you would’ve left, and that man would’ve attacked you."
172,영어,능률(김),2015,6,Beyond the Limits,"• 부정어로 인한 도치
Not only did they prove their doubters wrong, but they also achieved an accomplishment that inspired us to do the impossible."
173,영어,능률(김),2015,7,Finding Out the Wonders,"• 동격절을 이끄는 접속사 that
In addition, the fact that the sound will not change over time because of the strength of hanji makes these speakers a great purchase."
174,영어,능률(김),2015,8,It’s Up to You!,"• not A but B
Therefore, adolescence is not a stage to simply get through, but an important stage in people’s lives."
175,영어,능률(양),2015,1,Where Should I Begin?,"• 주격 관계대명사+be동사 생략
Take advantage of any chances (that are) available to you."
176,영어,능률(양),2015,2,"Be Smart, Be Healthy","• 조동사 should의 생
I suggest that you (should) replace sugary drinks such as soft drinks and juice with water."
177,영어,능률(양),2015,3,"Take Action, Make a Difference","• 주어로 활용된 관계대명사 what
What I learned is that we can contribute to making a better world."
178,영어,능률(양),2015,4,"Some Like It Cold, Some Like It Hot","• 동격의 전치사구 'of ~'
The idea of eating samgyetang sounded good."
179,영어,능률(양),2015,5,We Are What We Do,"• 전치사+관계대명사
We are surrounded by so many ways in which we can shop."
180,영어,능률(양),2015,6,When Myths Meet Science,"• 계속적 용법의 관계대명사 which
They can flap their wings in a figure-8 pattern, which enables them to hover."
181,영어,능률(양),2015,7,Venice Diary,"• This is why ~
This is why we have been planning to take a special family trip for several years."
182,영어,능률(양),2015,8,The Solution Is in Nature,"• 완료 부정사
Kafka is believed to have invented the hard hat."
183,영어1,능률(김),2015,1,A Spark in You,"• 목적격 관계대명사의 생략
Suddenly Diego was not the sad little boy we had become used to."
184,영어1,능률(김),2015,2,Embracing Our Differences,"• It is[was] ~ that ... 강조 구문
It was these features of his introverted personality that enabled him to focus on inventing things."
185,영어1,능률(김),2015,3,We Are All Connected,"• as if＋가정법 과거
As a result, the other species …, are protected too, as if there were a large umbrella being held over them."
186,영어1,능률(김),2015,4,Build a Better World,"• if절 대신 without구가 쓰인 가정법 과거완료
Without it, the origins and fundamentals of Hangeul would have been lost to history."
187,영어1,능률(김),2015,5,"Look, Think, and Create!","• 관계대명사 which의 계속적 용법
More importantly, the Eastgate Centre uses far less energy than other buildings, which saves money and helps protect the environment from pollution."
188,영어 2,능률(김),2015,1,Treasure in My Life,"• 목적을 나타내는 접속사 so that
Finally, I put a layer of sealant over the whole plate so that the paper wouldn’t fade or wear out over time."
189,영어 2,능률(김),2015,2,In Someone Else’s Shoes,"• 가목적어 it
However, she soon found it very enjoyable to talk with them."
190,영어 2,능률(김),2015,3,Be a Critical Thinker,"• 명사절을 이끄는 접속사 whether
Check whether the graph is presented in a specific way to emphasize a point."
191,영어 2,능률(김),2015,4,Find and Do What You Love,"• with+목적어+현재분사
Another depicts two spider webs stretched between tree branches, with tarantulas and ants attacking their prey."
192,영어 2,능률(김),2015,5,Technology: An Engine for Change,"• 현재완료 수동태 have[has] been p.p
Because of this system, the number of trips garbage trucks make has been greatly reduced."
193,공통영어 1,YBM(김),2022,1,Believe That You Can Do Better,"• 동격의 that
He holds onto the belief that they are best avoided."
194,공통영어 1,YBM(김),2022,2,Art and the City,"• 현재완료 수동태
You can see a number of them have been recreated in street-side panels."
195,공통영어 1,YBM(김),2022,3,Living Green: A Guide to Sustainable Choices,"• 조건 부사절에서의 시제
Alarming numbers will keep increasing if producers maintain the old system."
196,공통영어 1,YBM(김),2022,4,Be Smart in the Digital World,"• 가정법 과거완료
If they had done these things, they would likely have suspected that something was not right."
197,공통영어 2,YBM(김),2022,1,Make Your World a Better Place,"• 분사구문
Needing donations to gather essential items, John reached out to his family."
198,공통영어 2,YBM(김),2022,2,From Tradition to Trend,"• so + 형용사/부사 + that ...
Customers trusted the messengers so much that they did not check the items."
199,공통영어 2,YBM(김),2022,3,Beyond Barriers,"• 관계대명사의 계속적 용법
It was for the Apollo 11 mission, which sent three men to the Moon in 1969."
200,공통영어 2,YBM(김),2022,4,The Essence of Being Human,"• 주어 + request that + 주어 + (should) 동사원형
Chrissie requested that Klara continue to care about Josie."
201,공통영어 1,YBM(박),2022,1,Enrich Your Life,"• 동명사
Releasing my feelings onto paper helped relieve my emotional tension."
202,공통영어 1,YBM(박),2022,2,Explore Wildlife Wonders,"• 명사를 수식하는 과거분사구
Another example is Ursula, the sea witch featured in The Little Mermaid."
203,공통영어 1,YBM(박),2022,3,"Embrace Diversity, Broaden Your Horizons","• 현재완료 수동태
English vocabulary has been modified within the different varieties of English."
204,공통영어 1,YBM(박),2022,4,When Art Meets Technology,"• 계속적 용법의 관계대명사 which
Look at the mechanism of AI creativity, which is programmed to work in a similar way to human creativity."
205,공통영어 2,YBM(박),2022,1,Be Digitally Smart!,"• so ~ that ...
The headlines can be so stimulating that you may click on them accidentally."
206,공통영어 2,YBM(박),2022,2,Urgent Call From Earth,"• 조건의 접속사
As long as his hands are locked on our cart, there is nothing to prove that it’s ours."
207,공통영어 2,YBM(박),2022,3,Rise Above Challenges,"• 상관접속사
Both people succeeded not despite adversity but thanks to it."
208,공통영어 2,YBM(박),2022,4,Creative Ideas for a Better World,"• It ~ that 강조 구문
It was the Foldscope that they presented as a solution to the problem."
209,영어,YBM(박),2015,1,Dream It and Achieve It,"• 동명사
Recording your dreams is not enough."
210,영어,YBM(박),2015,2,Color Your Language,"• 동격의 that
The idea comes from the belief that crocodiles weep over the prey they kill."
211,영어,YBM(박),2015,3,Enjoy the Tasty World,"• one of the 최상급+복수명사
It is one of the largest food festivals in Korea."
212,영어,YBM(박),2015,4,Preparing for Weather,"• 관계부사 where
Hurricanes are common in the tropics where water temperatures are high all year round."
