example_english,example_korean
I wish for peace in our small world.,나는 우리 작은 세계에 평화를 원해요.
Our reading period continues for ten long days.,우리의 독서 기간 열흘 동안 계속되요.
This period marks a bright and new era.,이 시기는 밝고 새로운 시대에요.
I always type a period at the end.,나는 항상 마지막에 마침표를 찍어요.
His gentle personality makes every day very happy.,그의 부드러운 성격은 매일 매우 행복하게 해요.
Her bright personality makes her a unique friend.,그녀의 멋진 개성이 그녀를 특별한 친구로 만들어줘요.
The boy can pitch the ball very far.,소년은 공을 아주 멀리 던질 수 있어요.
The talented girl sings a perfect pitch note.,재능있는 소녀가 완벽한 음정을 노래해요.
She gave a pitch to join the team.,그녀는 팀에 가입하라고 권유했어요.
Climbers reached the pitch at the mountain peak.,등산객들이 산 정상의 정점에 도착했어요.
The friendly cows roam on the green plain.,친절한 소들이 초원에서 풀을 뜯어요.
I like plain in its very natural form.,나는 plain을 본래 그대로의 상태로 좋아해요.
My plain blue shirt has no bright patterns.,내 무늬 없는 파란 셔츠는 밝은 무늬가 없어요.
My plain hat looks very neat for school.,내 평범한 모자는 학교에 아주 멋있어요.
My plain white shirt is comfortable and simple.,내 소박한 흰색 셔츠는 편안하고 심플해요.
Your explanation is plain and easy to learn.,너의 설명은 명료하고 배우기 쉬워요.
Three plus four always equals seven for children.,세 더하기 네는 항상 일곱이에요.
I usually prefer rainy days over sunny days.,나는 보통 비 오는 날을 맑은 날보다 더 좋아해요.
Her kind presence always makes everyone feel safe.,그녀의 다정한 존재가 항상 모두를 안전하게 느끼게 해요.
His daily presence in class makes learning fun.,그의 매일 출석은 수업을 즐겁게 해요.
The plant shows promise for a bright future.,그 식물은 밝은 미래의 가능성을 보여줘요.
Our property is a warm and safe home.,우리 주거지는 따뜻하고 안전한 집이에요.
"My family owns a small, lovely property now.",우리 가족은 지금 작은 소유물을 가지고 있어요.
The property of water is clear and blue.,물의 속성이 맑고 파래요.
Scientists always work hard to prove new theories.,과학자들은 항상 열심히 일하며 새로운 이론을 증명해요.
The simple experiment will prove the theory true.,간단한 실험은 이론이 드러나요.
The teacher will provide books for students.,선생님이 학생들에게 책을 제공해요.
Parents punish naughty children for breaking house rules.,부모님은 못된 아이들을 집 규칙 어길 때 벌해요.
The purpose of class is to learn together.,수업의 목적은 함께 배우는 거예요.
My pencil has a clear purpose for drawing.,내 연필은 그림 그리기에 명확한 용도가 있어요.
The movie is quite funny and very exciting.,영화는 아주 웃기고 매우 신나요.
My friend is always quite skilled at puzzles.,내 친구는 언제나 꽤 능숙해요.
A small rat runs around the big house.,작은 쥐가 큰 집 주위를 달려요.
I watched a recent movie on Friday evening.,금요일 저녁에 최근 영화를 봤어요.
Friendship can build a strong relationship every day.,우정은 매일 강한 관계를 쌓을 수 있어요.
Please repeat the whole sentence one more time.,전체 문장을 한 번 더 되풀이해 주세요.
Replace the broken toy with a new one.,부서진 장난감을 새것으로 대체해요.
Our flag can clearly represent our united people.,우리의 깃발은 우리의 단합을 나타내요.
I represent our class in the school meeting.,나는 학교 모임에서 우리 반을 대표해요.
I research hard to find my lost book.,나는 잃어버린 책을 찾기 위해 열심히 연구해요.
Scientists carefully research plants and animals every day.,과학자들은 매일 식물과 동물을 연구해요.
Scientists do research to make our lives better.,과학자들이 우리의 삶을 더 좋게 만들어요.
The red ball will roll on the floor.,빨간 공이 바닥에서 굴러가요.
I roll the paper to make a ball.,나는 종이를 말아서 공을 만들어요.
The old roll has ancient history on it.,오래된 두루마리에 옛 역사가 있어요.
The teacher writes the class roll for attendance.,선생님은 반 명부를 작성해요.
I always buy a fresh roll for breakfast.,나는 아침마다 신선한 둥근 빵을 사요.
The bus follows a safe route every day.,버스는 매일 안전한 길을 따라가요.
The bus follows a safe route every morning.,버스는 매일 아침 안전한 길을 따라가요.
They sail a small boat on the sea.,그들은 작은 배로 바다를 항해해요.
The small boat has a tall white sail.,작은 보트에 큰 하얀 돛이 있어요.
The delicious meal can always satisfy hungry children.,맛있는 식사는 항상 배고픈 아이들을 만족시켜요.
The loud noise can scare my small cat.,시끄러운 소리 가 내 작은 고양이를 놀라게 해요.
You seem very kind on a cold day.,너는 추운 날에 매우 친절해 보여요.
He seems very happy in his new class.,그는 새로운 반에서 매우 행복한 것 같아요.
I select a small red ball every day.,매일 저는 작은 빨간 공을 골라요.
My senior neighbor always smiles and helps me.,저의 연장자 이웃은 항상 미소 지으며 도와줘요.
The senior teacher always guides our class well.,고위 선생님이 항상 우리 반을 잘 지도해요.
My friend studies hard in a senior class.,내 친구는 상급의 반에서 열심히 공부해요.
My senior classmate always helps me in school.,우리 선배 친구가 항상 학교에서 도와줘요.
My senior neighbor helps me cross the road.,저의 노인 이웃이 길을 건너도록 도와줘요.
Several cute dogs play in the big yard.,몇몇의 귀여운 개들이 큰 마당에서 놀아요.
The sheep is eating grass in the field.,양이 들판에서 풀을 먹고 있어요.
He always shoulders his heavy bag to school.,그는 항상 무거운 가방을 어깨에 짊어져요.
I placed my blue bag on my shoulder.,나는 파란 가방을 어깨에 올렸어요.
I found a silver coin in the park.,나는 공원에서 은 동전을 찾았어요.
They have played soccer since last school year.,그들은 작년 학교 이후로 축구를 해요.
I stayed at home since the rain came.,비가 왔기 때문에 집에 머물렀어요.
Mix the ingredients until the sauce becomes smooth.,재료를 섞어서 소스가 고루 잘 섞이도록 해요.
The new slide is smooth in every curve.,새로운 미끄럼틀은 모든 곡선이 매끄러워요.
Our society makes a strong and friendly group.,우리 사회는 강하고 친근한 집단이에요.
Our modern society often contains many social classes.,우리 현대 사회는 여러 사회 계층이 있어요.
I always accept kind gifts from my friends.,나는 항상 내 친구들로부터 친절한 선물을 받아들여요.
I truly admire my teacher for kind lessons.,저는 친절한 수업에 선생님께 감탄해요.
I admire my friend for his kind way.,나는 친구의 친절한 행동을 칭찬해요.
I really admire my very smart teacher everyday.,나는 정말로 내 매우 똑똑한 선생님을 존경해요.
I openly admit my mistake in the game.,나는 게임에서 내 실수를 인정해요.
Having an advantage always helps win difficult games.,유리한 점은 어려운 게임에서 항상 이겨요.
The flu can affect our breathing in winter.,독감이 겨울에 우리 숨을 침범할 수 있어요.
Strong winds affect trees in the small park.,강한 바람은 작은 공원의 나무에 영향을 미쳐요.
I can easily afford to buy a toy.,나는 쉽게 장난감을 살 수 있어요.
I really appreciate beautiful art in the gallery.,나는 갤러리에서 정말 아름다운 예술을 감상해요.
I appreciate your feelings and understand you well.,나는 네 감정을 공감하고 잘 이해해요.
I appreciate good friends for their kind help.,저는 좋은 친구들의 친절한 도움을 인정해요.
I truly appreciate your kind help each day.,나는 매일 네 따뜻한 도움을 정말 감사해요.
I really appreciate when my teacher understands me.,저는 선생님이 저를 이해할 때 정말 감사해요.
My old coin could appreciate with more time.,내 오래된 동전은 시간이 지나면 가치 상승할 수 있어요.
I really appreciate good teachers who help me.,저는 도움이 되어 주는 좋은 선생님을 정말 알아봐요.
My friends always argue about fun game rules.,친구들이 언제나 재미있는 게임 규칙에 대해 논쟁해요.
She always argues her opinion in class today.,그녀는 항상 오늘 수업에서 자신의 의견을 주장해요.
I arrange a surprise party for my friends.,나는 친구들을 위해 깜짝 파티를 마련해요.
I arrange my colorful books on the shelf.,나는 내 알록달록한 책들을 선반에 배열해요.
I arrange my toys neatly in the box.,나는 장난감을 상자에 깔끔하게 정리해요.
I always arrange my book bag for class.,나는 항상 수업을 위해 책가방을 준비해요.
My friend can arrange a cool new song.,내 친구는 멋진 새 노래를 편곡할 수 있어요.
The teacher will assign homework to the class.,선생님이 학생들에게 숙제를 할당해요.
My teacher always assigns fun projects on Fridays.,내 선생님은 항상 금요일에 재미있는 과제를 부여해요.
She will attach a note to the gift.,그녀는 선물에 메모를 붙일 거예요.
Please attach the file right to your email.,이메일에 파일을 바로 첨부해 주세요.
Parents attach a strong bond to their toys.,부모님들은 그들의 장난감에 강한 애착을 가지게 해요.
Could you attach the file to my email?,이메일에 파일을 첨부해 주세요.
My teacher attaches great meaning to every lesson.,우리 선생님은 모든 수업에 큰 의미를 부여해요.
Students attend school daily to perform simple tasks.,학생들은 매일 학교에서 간단한 일을 수행해요.
We always attend our school events each week.,우리는 항상 우리 학교 행사에 참석해요.
She always attends a different school every morning.,그녀는 항상 다른 학교에 매일 아침 다녀요.
Lovely flowers attract many bees on warm days.,예쁜 꽃들이 따뜻한 날에 많은 벌을 끌어요.
Colorful flowers attract busy little bees every spring.,형형색색의 꽃이 바쁜 작은 벌들을 끌어당겨요.
My mother always awakes me at seven am.,엄마가 항상 아침 일곱 시에 깨워요.
I am awake and cheerful in the morning.,나는 아침에 깨어 있고 기뻐요.
We battle our problems and solve them daily.,우리는 문제에 맞서고 매일 해결해요.
The brave soldiers won the battle with courage.,용감한 병사들이 전투에서 용기로 이겼어요.
A kind teacher provides a benefit for everyone.,친절한 선생님은 모두에게 혜택을 줘요.
My dad gets a small benefit each week.,내 아빠는 매주 작은 수당을 받아요.
A billion stars shine in the night sky.,10억 개 별이 밤에 빛나요.
The exciting movie had a fake bomb scene.,흥미로운 영화에 가짜 폭탄 장면이 정말 많이 있었어요.
Farmers always brand their cattle with hot irons.,농부들은 언제나 뜨거운 쇠로 소들에게 낙인을 찍어요.
Apple is a famous brand for fresh products.,애플은 신선한 상품을 위한 유명한 상표에요.
They created a strict budget for school trips.,그들은 학교 소풍을 위해 엄격한 예산을 만들었어요.
We quickly bury seeds under the warm soil.,우리는 따뜻한 흙 아래에 씨앗을 빠르게 묻어요.
I can calculate two plus two in class.,나는 수업 중 두 더하기 두를 계산해요.
Tom can calculate rough time for his journey.,톰은 여행에 걸리는 시간을 대략 추정할 수 있어요.
He cast a stone into the calm river.,그는 조용한 강에 돌을 던졌어요.
She gently cast a warm smile at him.,그녀가 부드럽게 따뜻한 미소를 던졌어요.
The director cast the actor for movie role.,감독님은 영화배우를 캐스팅했어요.
The cast  sings well in the school play.,출연자들이 학교 연극에서 잘 노래해요.
The soldier has a cast on his arm.,군인은 팔에 깁스가 있어요.
All sports books usually fit in one category.,모든 스포츠 책은 보통 한 범주에 속해요.
I chop fresh vegetables for a healthy dinner.,나는 건강한 저녁을 위해 신선한 채소를 다져요.
Dad will chop fresh fruits for healthy snacks.,아빠가 신선한 과일을 건강한 간식으로 자를 거예요.
A soft pillow always brings comfort to sleep.,부드러운 베개는 항상 안락함을 줘요.
I concentrate very hard when doing my homework.,저는 숙제할 때 아주 집중해요.
This fun concept helps us understand simple ideas.,이 재미있는 개념은 우리가 간단한 아이디어를 이해하도록 도와줘요.
Good food can concern your mood every day.,좋은 음식이 매일 기분에 영향을 미칠 수 있어요.
This lesson concerns many important topics in school.,이 수업은 학교의 여러 중요한 주제들과 관련이 있어요.
I always show great concern for my family.,나는 항상 가족에게 큰 관심을 가져요.
My concern is my very important daily job.,나의 책임 있는 일은 매우 중요한 일이에요.
My kind king always wears his golden crown.,내 착한 왕은 항상 황금 왕관을 써요.
I always delay my homework until next week.,나는 항상 숙제를 다음 주까지 연기해요.
A long train delay always upsets our plan.,긴 열차 지연이 항상 우리의 계획을 어지럽혀요.
Students usually demand clear instructions for homework assignments.,학생들은 보통 숙제 지시를 명확히 요구해요.
The teacher gave us a small demand today.,오늘 선생님께서 우리에게 작은 요구를 주셨어요.
The demand for books grows each school year.,책에 대한 수요가 매년 늘어요.
I really desire to visit a new country.,나는 정말 새로운 나라를 방문하고 싶어요.
I really desire to learn many new languages.,저는 정말 많은 새로운 언어들을 배우기를 바라요.
She always feels a deep desire to succeed.,그녀는 항상 성공에 대한 갈망을 느껴요.
My smart alarm can quickly detect a fire.,내 스마트 경보는 빠르게 불을 감지해요.
The small dog can easily detect hidden food.,작은 개가 숨겨진 음식을 쉽게 찾아낼 수 있어요.
They dig soft sand at the school park.,그들은 학교 공원에서 부드러운 모래를 파요.
She studied daily and eventually passed her exam.,그녀는 매일 공부해서 결국 시험에 합격했어요.
Students quickly exchange their lunch boxes during lunch.,학생들은 점심시간에 도시락을 빠르게 교환해요.
We arranged an exchange with our neighbor family.,우리는 이웃 가족과 교류를 했어요.
I go to the bank for exchange today.,나는 오늘 은행에 환전을 하러 가요.
Students enjoy a friendly exchange of their ideas.,학생들은 오늘 학교에서 서로의 멋진 생각을 편하게 나눠요.
The expert quickly solved the problem using skills.,전문가는 문제를 빠르게 해결했어요.
The road extends until it meets the park.,도로는 공원까지 이어져 있어요.
Please extend your hand to open the door.,문을 열기 위해 손을 뻗어 주세요.
We extend the park to include flower gardens.,우리는 공원을 확장하여 꽃 정원을 포함해요.
The teacher extends the exam time by five.,선생님이 시험 시간을 다섯 분 연장해요.
My coupon will extend my discount benefit now.,내 쿠폰이 내 할인 혜택을 연장해요.
He can grab the apple from the tree.,그는 나무에서 사과를 움켜잡을 수 있어요.
I quickly grab my lunch before class starts.,저는 수업 전에 점심을 빨리 챙겨요.
Hurry and grab the cookie before they arrive.,서둘러서 쿠키를 가로채요.
My uncle works hard in a modern industry.,나의 삼촌이 현대 산업에서 열심히 일해요.
He shows industry at his work every day.,그는 매일 근면하게 일해요.
Our teacher's influence helps us learn every day.,우리 선생님의 영향이 우리를 매일 배우도록 도와줘요.
My delicious sandwich has a thin cheese layer.,내 맛있는 샌드위치에는 얇은 치즈 층이 있어요.
I try to locate my school bus station.,나는 학교 버스 정류장의 정확한 위치를 찾아내요.
I always use maps to locate our school.,나는 항상 우리 학교를 지도에서 위치할 수 있어요.
I measure the object's height with a ruler.,나는 자로 물건의 치수를 재요.
Teachers measure student progress during every class test.,선생님은 모든 시험에서 학생을 평가해요.
Our school set a measure for good behavior.,우리 학교는 좋은 행동을 위한 대책을 세웠어요.
The new measure helps our community become safe.,새로운 조치가 우리 동네를 안전하게 만들어요.
Her muscle becomes stronger when she exercises hard.,그녀의 근육은 운동하면 더 강해져요.
That odd hat always makes my kids laugh.,저 이상한 모자는 우리 아이들을 항상 웃게 해요.
I stayed in an odd hotel for now.,저는 지금 임시 호텔에 머물고 있어요.
I wrote some odd numbers on the board.,나는 칠판에 몇 개의 홀수 숫자를 썼어요.
I use a particular jacket for cold days.,나는 특정한 자켓을 입어요.
That particular old book is on my table.,그 특별한 오래된 책은 내 탁자 위에 있어요.
We always enjoy walking on the small path.,우리는 항상 작은 길을 걷는 걸 좋아해요.
Choose the path that shows the right way.,올바른 방향을 알려주는 길을 선택해요.
My small computer can process our files now.,나의 작은 컴퓨터는 지금 우리 파일들을 처리해요.
This water is pure and very fresh today.,이 물은 순수하고 매우 신선해요.
This store always has reasonable prices for all.,이 가게는 언제나 합리적인 가격이 있어요.
Her final choice is very reasonable for everyone.,그녀의 마지막 선택은 모두에게 매우 타당해요.
They always refuse to join the noisy party.,그들은 항상 시끄러운 파티에 참여를 거부해요.
I carefully wrote my name in the register.,나는 조심스럽게 내 이름을 기록부에 썼어요.
The frog will release water from its mouth.,작은 초록 개구리 는 입에서 맑은 물을 방출했어요.
The teacher will release exam details on Monday.,선생님이 월요일에 시험 세부사항을 발표할 거예요.
Publishers always release many interesting books every month.,출판사들은 매달 많은 흥미로운 책을 출판해요.
I read a book to release my sadness.,나는 책을 읽어 내 슬픔을 해소해요.
Kids release their feelings when they smile wide.,아이들이 감정을 표출할 때 마음이 편해져요.
Water is a vital resource for our families.,물은 우리 가족을 위해 소중한 자원이에요.
Paper is a very useful resource for art.,종이는 미술을 위한 매우 유용한 재료예요.
Plants need good soil to grow every day.,식물은 매일 좋은 토양이 필요해요.
My left arm is very sore after running.,내 왼쪽 팔은 달리기 후에 아파요.
He gave a specific answer to the question.,그는 질문에 구체적인 대답을 했어요.
The cookie has a specific and sweet taste.,쿠키는 고유하고 달콤한 맛이 있어요.
She always uses a specific pencil for drawing.,그녀는 그림을 그릴 때 특정한 연필을 사용해요.
We always stress good habits in our class.,우리는 항상 우리 반에서 좋은 습관에 강세를 두어요.
The teacher will stress key points during class.,선생님은 수업 중에 핵심 사항을 강조해요.
The metal rod shows stress under heavy load.,금속 막대는 무거운 하중 아래 압력을 보여요.
Her bright smile struck everyone in the class.,그녀의 밝은 미소는 모두에게 강한 인상을 주었어요.
A bright idea suddenly strikes me in class.,밝은 아이디어가 갑자기 수업 중 떠올라요.
The football player can strike the ball strongly.,축구 선수는 공을 세게 칠 수 있어요.
A bright new idea can strike my mind.,밝은 새로운 생각이 내 머리 속에 발생할 수 있어요.
The car will likely strike the stone wall.,그 차는 아마 돌에 부딪칠 거예요.
Many workers joined a peaceful strike for rights.,많은 노동자들이 평화로운 파업에 참여했어요.
Today the dam shows a strong water structure.,오늘 댐이 강한 물 구조를 보여요.
I gently stuff the box with soft toys.,나는 상자에 부드러운 장난감을 채워 넣어요.
I put my stuff safely in my bag.,나는 내 물건을 안전하게 가방에 넣어요.
My kind brother will succeed my father soon.,내 친절한 형제는 곧 아버지를 잇을 거예요.
I always work hard to succeed in school.,저는 항상 열심히 일해서 학교에서 성공해요.
He has such an interesting old blue car.,그는 정말 그런 오래된 파란 자동차를 가지고 있어요.
He showed such great care for his family.,그는 그의 가족에게 대단히 큰 관심을 보였어요.
I met a man with such kind eyes.,나는 그런 친절한 눈을 가진 남자를 만났어요.
He is such a brave friend every day.,그는 매일 그러한 용감한 친구예요.
The sudden heavy rain interrupted our fun walk.,갑작스러운 강한 비가 우리의 즐거운 산책을 방해했어요.
I suggest you start your homework very soon.,숙제를 아주 빨리 시작하자고 제안해요.
I suggest that we try a quiet game.,나는 우리 조용한 게임을 해보자고 암시해요.
The submarine surfaces quickly from the deep water.,잠수함이 깊은 물에서 빨리 수면으로 올라와요.
She will quickly swallow the bitter medicine now.,그녀는 쓴 약을 재빨리 삼켜요.
The little swallow flies quickly over the stream.,작은 제비가 강 위를 빠르게 날아요.
The tree branch swings slowly in strong wind.,나무 가지가 강한 바람에 천천히 흔들려요.
The child can swing the rope very fast.,그 아이는 밧줄을 아주 빠르게 휘두를 수 있어요.
Little kids swing their arms round the circle.,작은 아이들이 팔을 원 모양으로 빙 돌려요.
I love to swing high with my friends.,나는 친구들과 함께 높게 그네를 타요.
I push the switch to turn the light.,나는 불을 켜기 위해 스위치를 눌러요.
New technology makes learning very simple each day.,새로운 기술은 매일 학습을 아주 쉽게 만들어 줘요.
The teenage boy enjoys playing soccer every day.,10대 소년은 매일 축구를 즐겨요.
My school term lasts for a long period.,우리 학교 학기는 길어요.
My school term is really full of fun.,우리 학교 학기는 정말 재미있어요.
Their term shows a close and friendly bond.,그들의 사이가 친밀하고 다정해요.
The thief quietly stole a bike in town.,도둑이 조용히 마을에서 자전거를 훔쳤어요.
She runs very fast though she is tired.,그녀는 피곤하더라도 매우 빨리 달려요.
I saw a thousand cute blue birds yesterday.,나는 어제 천 마리의 귀여운 파란 새를 봤어요.
The tide moves in and out every day.,조수는 매일 밀물과 썰물로 움직여요.
My room always looks very tidy and nice.,내 방은 항상 아주 깔끔하고 단정해요.
My new red jacket is very tight today.,내 새 빨간 재킷은 오늘 매우 꽉 끼어요.
The rope is very tight between two trees.,두 나무 사이에 줄이 매우 팽팽해요.
Our total grocery bill came to fifty dollars.,우리의 합계 식료품 값은 오십 달러였어요.
I ate the total cake in one go.,나는 한 번에 전부의 케이크를 먹었어요.
The tough rock sits quietly near the road.,단단한 바위는 조용히 길 옆에 있어요.
My math test proved to be too tough.,내 수학 시험은 너무 어려웠어요.
They are extremely tough when facing hard challenges.,그들은 매우 강인해요 어려운 상황에서도 절대 포기하지 않아요.
Learning a new language is often too tough.,새로운 언어 배우기는 자주 힘들어요.
We trade many items with many people daily.,우리는 매일 많은 물건을 거래해요.
Our country uses trade to boost the economy.,우리 나라는 무역을 사용해 경제를 키워요.
He started a new trade job after school.,그는 학교 후에 새로운 직업을 시작했어요.
Many cars cause heavy traffic on busy roads.,많은 차들이 바쁜 도로에서 교통이 혼잡해요.
Trains and buses give very good transportation options.,기차와 버스는 매우 좋은 교통수단이에요.
Buses and trains provide safe transportation for everyone.,버스와 기차는 모두에게 안전한 교통을 제공해요.
Dad often tunes our old piano every weekend.,아빠가 우리 오래된 피아노를 매주 조율해요.
The radio played a very happy tune today.,라디오는 오늘 매우 즐거운 곡조를 틀었어요.
Listen to the beautiful tune on the radio.,아름다운 곡을 라디오에서 들어보세요요.
