,textbook ID,학년,출판사,교육과정,Lesson,Title,Structures
21,702,중1,능률(양),2015,1,Meet My New Classmates,목적어로 쓰이는 동명사 I enjoy writing.
22,702,중1,능률(양),2015,2,Fun Plans for Happy Days,be going to 의문문 Are you going to go rock climbing?
23,702,중1,능률(양),2015,3,"Thank You, My Family",that 명사절 I think that I can spread happiness.
24,702,중1,능률(양),2015,4,"Get Healthy, Be Happy!",목적을 나타내는 to부정사 I caught a ferry to get to Jejudo.
25,702,중1,능률(양),2015,5,Why in the World?,and를 활용한 동사구 결합 Sea animals come close and become food.
26,702,중1,능률(양),2015,6,For a Better World,too + 형용사  You are not too young.
27,702,중1,능률(양),2015,7,Let's Go Green,과거진행형  The king was walking in the garden.
28,702,중1,능률(양),2015,8,Wonderful Korea,형용사의 최상급  It’s famous for the coldest winter in China.
29,802,중2,능률(양),2015,1,What Is Your Color?,which로 시작하는 의문문 Which activities do you enjoy?
30,802,중2,능률(양),2015,2,"Old Things, New Art",수동태 It was created by Pablo Picasso.
31,802,중2,능률(양),2015,3,"Go, Team!",형식 주어 It It’s important to play for the team.
32,802,중2,능률(양),2015,4,Natural Weather Forecasters,과거부터 현재를 포함하는 현재완료 Have you seen this flower before?
33,802,중2,능률(양),2015,5,How Healthy Are Your Habits?,관계대명사 who I’m not a person who likes stretching exercises.
34,802,중2,능률(양),2015,6,Jobs Then and Now,간접의문문 Do you know what your grandparents did for a living?
35,802,중2,능률(양),2015,7,Korean Wave Around the World,to부정사의 형용사적 용법 There are many fun activities to do.
36,802,중2,능률(양),2015,8,"Beautiful Words, Better World",ask / tell + 목적어 + to부정사 He asked him to hammer a nail into the fence.
37,902,중3,능률(양),2015,1,How Are You Getting Along?,to부정사의 의미상 주어 It was difficult for me to put up with her.
38,902,중3,능률(양),2015,2,Foods from Around the World,It ~ that 강조 구문 It was in Central America that corn was originally grown.
39,902,중3,능률(양),2015,3,What Makes Us Shop?,관계대명사 what Many teens like to do what their favorite celebrities do.
40,902,중3,능률(양),2015,4,We Are Global Villagers,과거완료 My friends thought I had gone off the deep end.
41,902,중3,능률(양),2015,5,Science in Sports,의문사(how/when/where/what) + to부정사 Now you may be wondering how to find the sweet spot.
42,902,중3,능률(양),2015,6,Make Your Ideas Blossom,직·간접 화법 전환  Brooke said that she found genuine satisfaction.
43,902,중3,능률(양),2015,7,Enjoy Arts and Crafts,"가정법 과거 If you were my son, I would teach you."
44,703,중1,동아(윤),2015,1,Heart to Heart,be동사 I am Song Hajun.
45,703,중1,동아(윤),2015,2,Have Fun at School!,의문문 Do you know the story?
46,703,중1,동아(윤),2015,3,Wisdom in Stories,명령문 Move a little!
47,703,중1,동아(윤),2015,4,"Small Things, Big Differences",동사의 과거형 Our day started early.
48,703,중1,동아(윤),2015,5,Styles Around the World,동명사 Wearing a baseball cap is not just for baseball players.
49,703,중1,동아(윤),2015,6,People at Work,to부정사의 명사적 용법 I want to report on the trash.
50,703,중1,동아(윤),2015,7,Discover Korea,be going to We're going to visit Darangyi Village.
51,703,중1,동아(윤),2015,8,"Dream Together, Reach Higher",접속사 that We thought that it was a great idea.
52,803,중2,동아(윤),2015,1,My Happy Everyday Life,수여동사 You can also show me some pictures.
53,803,중2,동아(윤),2015,2,Enjoying Local Culture,have to They have to be healthy.
54,803,중2,동아(윤),2015,3,Ideas for Saving the Earth,수동태 This was made by Hajun.
55,803,중2,동아(윤),2015,4,The Amazing World of Animals,주격 관계대명사 Scientists who were studying crows did an experiment.
56,803,중2,동아(윤),2015,5,Living Healthily and Safely,목적격 관계대명사 Another problem (which/that) you can have is neck pain.
57,803,중2,동아(윤),2015,6,"Different People, Different Views",지각동사＋목적어＋ing Daedalus saw birds flying.
58,803,중2,동아(윤),2015,7,Life in Space,현재완료 I've never seen a blue sky.
59,803,중2,동아(윤),2015,8,Pride of Korea,의문사를 포함한 간접의문문 Please tell me how you found them.
60,903,중3,동아(윤),2015,1,Follow Your Dream,접속사 whether/if I didn't know whether I really enjoyed it.
61,903,중3,동아(윤),2015,2,Food for the Heart,"사역동사 It makes you feel good when you are sad, angry, or stressed out."
62,903,중3,동아(윤),2015,3,Stories of English Words and Expressions,"관계대명사의 계속적 용법 The word shampoo comes from the Hindi word chāmpo, which means ""to press."""
63,903,중3,동아(윤),2015,4,Be a Smart Spender,현재완료진행 I think you've been spending too much.
64,903,중3,동아(윤),2015,5,The Team Behind the Team,현재분사 Pacers usually have flags or balloons showing their finish time.
65,903,중3,동아(윤),2015,6,Stories for All Time,과거완료 People asked him where he had got the furniture.
66,903,중3,동아(윤),2015,7,Technology in Our Lives,"분사구문 Using various methods, experts analyze big data."
67,903,중3,동아(윤),2015,8,The Joseon Dynasty Through Paintings,to부정사의 의미상 주어 It was impossible for him to catch any fish.
68,715,중1,동아(윤),2022,1,Happy Together,"동사be I am Jihun, and my best friend is Minsu."
69,715,중1,동아(윤),2022,2,"Eat, Play, and Live Well!","현재진행형 I’m making caprese skewers."
70,715,중1,동아(윤),2022,3,Let’s Be Positive,"동사의 과거형 I saw him last night, and he was all right."
71,715,중1,동아(윤),2022,4,The Joy of Traveling,"동명사 I enjoyed taking pictures of the blue streets."
72,715,중1,동아(윤),2022,5,Think like Sherlock Holmes!,"비교급, 최상급 He was taller than me. He wanted the smallest cake."
73,715,중1,동아(윤),2022,6,"Good for the Earth, Good for Us","부정사의 명사적 to 용법 Do you want to save the Earth?"
74,715,중1,동아(윤),2022,7,Find Your Dream,"부정사의 부사적 to 용법 A lot of people are working hard to create this movie."
75,715,중1,동아(윤),2022,8,Be Smart Online,"수여동사 People didn’t give Goldilocks many likes."
76,704,중1,동아(이),2015,1,An Exciting New World,"be동사 I am from Korea."
77,704,중1,동아(이),2015,2,"Be Healthy, Be Happy!","현재진행형 She is taking pictures."
78,704,중1,동아(이),2015,3,How Do I Look?,"조동사 can Horses can almost see behind their heads."
79,704,중1,동아(이),2015,4,Catch the Sun,"과거 시제 Harry’s family went on a camping trip."
80,704,중1,동아(이),2015,5,Art for All,"조동사 will, won’t The ball will not be here forever."
81,704,중1,동아(이),2015,6,"Dream High, Fly High!","to부정사 (명사적 용법) Rahul loved to sing."
82,704,중1,동아(이),2015,7,Money Doesn’t Grow on Trees,"4형식 Julie’s father gave Mr. Leigh 40 dollars."
83,704,중1,동아(이),2015,8,The Way to Korea,"목적어로 쓰이는 동명사 I enjoyed eating miyeokguk."
84,804,중2,동아(이),2015,1,Can We Talk?,"to부정사 Give the other person a chance to talk."
85,804,중2,동아(이),2015,2,Close to You,현재완료 My father has been invisible since last night.
86,804,중2,동아(이),2015,3,The Music Goes,"수동태 The Beatles were loved by many people."
87,804,중2,동아(이),2015,4,Go for It!,"주격 관계대명사 They are the people who take part in the 4 Deserts Race."
88,804,중2,동아(이),2015,5,"Come One, Come","가주어 it It is a lot of fun to throw colorful powder at everyone."
89,804,중2,동아(이),2015,6,Into Outer Space,"동등 비교 A year on Mars is about twice as long as a year on Earth."
90,804,중2,동아(이),2015,7,Can I Trust It?,"so ~ that The movie is so boring that I want to cry."
91,804,중2,동아(이),2015,8,Be Like Sherlock!,something + 형용사 Is there something wrong?
92,904,중3,동아(이),2015,1,"I Can’t, but We Can",to부정사의 의미상의 주어 It was not easy for us to choose the best idea.
93,904,중3,동아(이),2015,2,Go Green,수 일치 About a third of the bee population dies every year.
94,904,중3,동아(이),2015,3,Heal the World,사역동사 The project manager had us meet at 9 a.m.
95,904,중3,동아(이),2015,4,"Open a Book, Open Your Mind","+ 비교급 ~, + 비교급 ... The more Stanley dug, the stronger he became."
96,904,중3,동아(이),2015,5,Believe in Yourself,"가정법 과거 If I were a bird, I would fly."
97,904,중3,동아(이),2015,6,Make the World Beautiful,so that\nThe architect took the curved lines from nature so that city people could enjoy them.\n\n
98,904,중3,동아(이),2015,7,Feel the Wonder,소유격 관계대명사 whose This small fish whose favorite food is clams uses a tool to eat them.
99,904,중3,동아(이),2015,8,Up to You,"분사구문 Reading the article, he dropped his cup in surprise."
100,716,중1,동아(이),2022,1,"New School, New Friends","be동사 My name is Somi."
101,716,중1,동아(이),2022,2,"Be Healthy, Be Happy","의문문 Do you have dry eyes?"
102,716,중1,동아(이),2022,3,When I Grow Up,"can, will Everyone can hear me."
103,716,중1,동아(이),2022,4,Living Together,"과거시제 The people planted rice and bananas."
104,716,중1,동아(이),2022,5,Have a Special Day!,"to+동사원형 I really want to see the sunrise."
105,716,중1,동아(이),2022,6,Taste the World,"형용사+smell Tom yum goong smells good."
106,716,중1,동아(이),2022,7,"Think Big, Be Creative!","비교급 One is brighter than the other."
107,716,중1,동아(이),2022,8,Winter Is Coming!,"수여동사 I will send you this letter."
108,705,중1,비상,2015,1,This Is Me!,be 동사 Milo is so big now.
109,705,중1,비상,2015,2,"Think Safe, Act Safe",명령 Remember the safety rule!
110,705,중1,비상,2015,3,Helping Hands,과거동사 Mr. Mouse went for a picnic.
111,705,중1,비상,2015,4,Share Your Travel Story,조동사 will Travelers will see many kinds of animals.
112,705,중1,비상,2015,5,"Count on You, Math!",비교급 The second number is bigger than the first.
113,705,중1,비상,2015,6,Tasty World,to부정사의 명사적 용법(목적어) I want to drink compote every day!
114,705,중1,비상,2015,7,Green Is Great!,to부정사의 부사적 용법(목적) I think that I ate too much yesterday.
115,705,중1,비상,2015,8,Go for It!,동명사(목적어) The boys run to school when they finish working on the farm.
116,805,중2,비상,2015,1,Suit Your Taste!,동명사 Having a pet is great.
117,805,중2,비상,2015,2,Half a World Away,"If 조건절 If you see me, it is your lucky day."
118,805,중2,비상,2015,3,"I Wonder Why, I Wonder How",수동태 The city is powered by the screams.
119,805,중2,비상,2015,4,Your Only Limit Is You,주격 관계대명사 There are people who are cheering excitedly.
120,805,중2,비상,2015,5,Explore Your Feelings!,현재완료 They have been best friends since childhood.
121,805,중2,비상,2015,6,Doors to the Wild,가주어(it)~진주어(to부정사) It is dangerous to stay alone in such a wild area.
122,805,중2,비상,2015,7,Art around Us,사역동사 It will make you wonder about the painting more.
123,805,중2,비상,2015,8,Changes Ahead,so~that...can't... We were so tired that we could not go out.
124,905,중3,비상,2015,1,The Art of Communication,"관계대명사 what Starting a sentence with “I"" (Starting a sentence with “I"" can help him focus on what he feels.)"
125,905,중3,비상,2015,2,Wonderful Nature,to부정사의 의미상 주어 Iceland is the best place for many location scouts to visit.
126,905,중3,비상,2015,3,For the Love of Our Country,명사절 접속사 if I was not sure if he was telling the truth.
127,905,중3,비상,2015,4,Music to My Ears!,분사구 (후치수식) They played instruments made out of garbage.
128,905,중3,비상,2015,5,Critical Minds,분사구문 Let’s look into some articles thinking about the hidden motives.
129,905,중3,비상,2015,6,Words of Wisdom,It ~ that 강조구문 It was this wisdom that our father tried to explain.
130,905,중3,비상,2015,7,Spend Wisely,"접속사 as As more and more people get on the bandwagon, others are more likely to get on it."
131,905,중3,비상,2015,8,Wonders of Space Travel,"가정법 과거 If such wormholes existed in space, we could get to somewhere!"
132,706,중1,천재(이),2015,1,A Nice Day,동사 be∙ I am a middle school student.
133,706,중1,천재(이),2015,2,How Do You Spend Your Day?,일반동사∙ My sister gets up at six.
134,706,중1,천재(이),2015,3,Do You Have Special Plans?,현재진행형∙ Matt is watching TV.
135,706,중1,천재(이),2015,4,Walk Around Your Town,구문 There is/are∙ There is a bed in the room.
136,706,중1,천재(이),2015,5,How Far Is It from Here?,과거 시제∙ Ted came to my house two years ago.
137,706,중1,천재(이),2015,6,From Culture to Culture,동사의 목적어로 쓰이는 부정사 to∙ I want to see a scary movie.
138,706,중1,천재(이),2015,7,Follow Your Dreams,목적을 나타내는 부정사 to∙ I learn English to travel around the world.
139,706,중1,천재(이),2015,8,"Give Your Hand, Give Your Heart",목적어가 두 개인 동사∙ I gave Mr. Snowman my scarf.
140,806,중2,천재(이),2015,1,Off to a Good Start,주격 관계대명사  I want to have a friend who makes me happy.
141,806,중2,천재(이),2015,2,Connecting with the World,목적격 관계대명사  The woman whom I love most is my grandma.
142,806,중2,천재(이),2015,3,"Healthy Life, Happy Life",부정사 It ~ to  It is good to exercise regularly.
143,806,중2,천재(이),2015,4,"Earth, Our Only Home",수동태  This shirt was designed by my sister.
144,806,중2,천재(이),2015,5,Understanding Others,목적어 + 부정사 want/ask/tell + to  Parents want their children to be honest.
145,806,중2,천재(이),2015,6,Near and Dear,목적어 + 동사원형 make/have/let  I will let Robby have a pet.
146,806,중2,천재(이),2015,7,A Life Full of Fun,현재완료  Ms. Green has studied Spanish for three years.
147,806,중2,천재(이),2015,8,"Viva, South America",최상급  Suji is the tallest student in our school.
148,906,중3,천재(이),2015,1,What Matters to You?,관계대명사 what They didn’t tell me what I wanted to know.
149,906,중3,천재(이),2015,2,"Animals, Big and Small",명사를 뒤에서 꾸미는 분사 Look at the sun rising over the sea.
150,906,중3,천재(이),2015,3,"Be Positive, Be Happy",현재완료진행형 Jake has been sleeping all afternoon.
151,906,중3,천재(이),2015,4,Opening a Window to the World,관계부사 when Friday evening is the time when my family likes to go for a walk.
152,906,중3,천재(이),2015,5,Are You into Books?,과거완료 Jake was late for school because he had missed the bus.
153,906,중3,천재(이),2015,6,Together in Our Community,부정사 It ~ for ... + to It is important for kids to learn to swim.
154,906,중3,천재(이),2015,7,Watch Out,"분사구문 I study math, listening to music."
155,906,중3,천재(이),2015,8,All Your Dreams Are Worth Chasing,조동사 + have p.p. They must have been hungry.
156,707,중1,천재(정),2015,1,This Is Me,일반동사∙ My sister rides a skateboard.
157,707,중1,천재(정),2015,2,I Love My Family,현재 진행형∙ I'm planting carrot seeds.
158,707,중1,천재(정),2015,3,Beautiful Differences,일반동사 과거형∙ I just saw you.
159,707,중1,천재(정),2015,4,Happy Birthday!,형식 문장∙ Give me some more ideas.
160,707,중1,천재(정),2015,5,Wonderful World of Animals,재귀대명사∙ I wrap myself in sea plants.
161,707,중1,천재(정),2015,6,Let's Have Fun at School,조동사 must∙ We all must do our best.
162,707,중1,천재(정),2015,7,Art Around Us,과거 진행형∙ She was working in the shop.
163,707,중1,천재(정),2015,8,My Good Friends,감탄문∙ What a wonderful day!
164,807,중2,천재(정),2015,1,Time to Start Again,부정사의 형용사적 용법 to  Do you have something to say?
165,807,중2,천재(정),2015,2,I Love My Town!,접속사 if  He will get better if he gets enough rest.
166,807,중2,천재(정),2015,3,"Be Active, Be Safe!",현재완료  I have visited a selfie museum before.
167,807,중2,천재(정),2015,4,Memories in Your Heart,주격/목적격 관계대명사  Wilfrid was a little boy who lived next to a nursing home.
168,807,중2,천재(정),2015,5,Shapes Around Us,의문사 + 부정사  I don’t know how to spin this.
169,807,중2,천재(정),2015,6,Love the Earth,a few  Let’s learn a few tips for living green.
170,807,중2,천재(정),2015,7,A Step Inside the Culture,현재분사  It looks like a happy woman walking down a road with autumn leaves.
171,807,중2,천재(정),2015,8,Design for All,so ~ that ... can’t  The shoes were so uncomfortable that she couldn’t walk well.
172,907,중3,천재(정),2015,1,Express Your Feelings,간접의문문   Everyone knows what it means.
173,907,중3,천재(정),2015,2,Let's Make Our Town Better,과거완료   I was glad my dad had made me wear gloves.
174,907,중3,천재(정),2015,3,Laugh First and Then Think,부정사 enough to   Is this research project good enough to win a Nobel Prize?
175,907,중3,천재(정),2015,4,Dreaming of My Future,"분사구문   Hearing this, I felt really sorry for her."
176,907,중3,천재(정),2015,5,Pictures Speak a Thousand Words,가정법 과거   I would be so happy if you were with me.
177,907,중3,천재(정),2015,6,Love the Earth,"비교급 the ~, the ~   The more books we share, the more we learn."
178,907,중3,천재(정),2015,7,"Fact, Opinion, or Fake",간접화법   Garcia-Fuller said she was teaching her students how to tell fake news from real news.
179,907,중3,천재(정),2015,8,Make Peace with Others,"부정대명사   Some gave him angry looks, and others shouted at him."
180,719,중1,YBM(김),2022,1,All About Me,be동사의 현재형 I am Siwon.
181,719,중1,YBM(김),2022,2,"Think Wise, Stay Safe",be동사/일반동사의 의문문 Do you know any safety rules?
182,719,중1,YBM(김),2022,3,Wonderful Stories from School,동사의 과거형 The Thank You Note Event ended yesterday.
183,719,중1,YBM(김),2022,4,Make a Difference in Our Community,주어/목적어/보어로 쓰이는 동명사 Exploring our school was our club’s first project.
184,719,중1,YBM(김),2022,5,"Love Yourself, Live Your Life",to부정사의 명사적 용법 To be different is to be special.
185,719,중1,YBM(김),2022,6,A Smart Digital Life,"접속사 when When you walk on snow, you leave footprints."
186,719,중1,YBM(김),2022,7,Colorful Cultures Around the World,비교급 This year is colder than last year.
187,719,중1,YBM(김),2022,8,"Go Green, Save the Earth",수여동사 He gives his family these products as gifts.
188,708,중1,YBM(박),2015,1,Me and My World,"‘be’동사의 긍정문, 부정문, 의문문 I am a student at Hanguk Middle School. The science class is not easy. Are you from America?"
189,708,중1,YBM(박),2015,2,Welcome to My School,"일반동사의 긍정문, 부정문, 의문문 I work at the school library. A good student does not make noise. Do you have any problems at school?"
190,708,중1,YBM(박),2015,3,Enjoy Fun Activities!,과거시제 We arrived at the campground in the afternoon.
191,708,중1,YBM(박),2015,4,Save the Earth!,"조동사 ‘will, can’ Small changes in temperature will bring about many problems. We can save the Earth."
192,708,중1,YBM(박),2015,5,Food from Around the World,‘to’부정사의 명사적 용법 Do you want to try some ceviche?
193,708,중1,YBM(박),2015,6,The Wonder of Animals,동명사 She enjoyed jumping.
194,708,중1,YBM(박),2015,7,Korean Culture,접속사 ‘because’ People enjoy the game because it is easy and fun.
195,708,중1,YBM(박),2015,8,I am Because We Are,"접속사 ‘when’ When he was walking in the village, he met a group of children."
196,808,중2,YBM(박),2015,1,Manage Yourself!,‘to’부정사의 형용사적 용법  You will have more work to do.
197,808,중2,YBM(박),2015,2,All about Safety,「의문사 + to부정사」 구문  I learned how to do CPR.
198,808,중2,YBM(박),2015,3,Living a Healthy Life,사역동사  It will make your eyes feel more comfortable.
199,808,중2,YBM(박),2015,4,To Be a Global Citizen!,주격 관계대명사  Global citizens are people who try to understand different cultures.
200,808,중2,YBM(박),2015,5,"Different Countries, Different Cultures",수동태  Spain is loved by lots of tourists.
201,808,중2,YBM(박),2015,6,Wonders of Nature,「it + be동사 + 형용사 + to + 동사원형」 구문  It is important to understand the roles of mudflats.)
202,808,중2,YBM(박),2015,7,Work on Your Dreams,「ask/want + 목적어 + to + 동사원형」 구문  Other teams asked African American players to join them.
203,808,중2,YBM(박),2015,8,Science Is Making Big Changes,현재완료  Have you ever thought about these changes?
204,908,중3,YBM(박),2015,1,All About Me,강조의 'do'   I do feel good when I walk in the forest.
205,908,중3,YBM(박),2015,2,Experience Different Cultures!,현재완료진행형 have/has been + 동사원형ing   I have been living in America for three years.
206,908,중3,YBM(박),2015,3,"Future Dreams, Future Jobs",It ~ that 강조 구문   It is the growth ring in a fish that interests me.
207,908,중3,YBM(박),2015,4,Are You a Digital Citizen?,to 부정사의 의미상의 주어   It is necessary for you to set some rules for using your smartphone.
208,908,중3,YBM(박),2015,5,Love for My Country,과거완료   I thought about Kim Koo’s words in My Wish that I had read in the exhibition hall.
209,908,중3,YBM(박),2015,6,Meet the World,"관계대명사의 계속적 용법 Someone uses the word kiwi, which has several meanings."
210,908,중3,YBM(박),2015,7,How to Get Along with People,관계부사 how   June didn’t like how Mike had acted.
211,908,중3,YBM(박),2015,8,Have Fun with Art!,"분사구문   Using common images, pop art looks plain."
212,908,중3,YBM(박),2015,9,"You Can Do It, Too",I wish 가정법 과거   I wish she had a better robotic hand.
213,720,중1,YBM(박),2022,1,All About Me,be동사의 현재형 I am an active person
214,720,중1,YBM(박),2022,2,Have Fun at School,현재진행형 We are waiting at the starting line.
215,720,중1,YBM(박),2022,3,The Magic of Manners,과거 시제 It was bright and sunny.
216,720,중1,YBM(박),2022,4,Home Sweet Home,to부정사의 명사적 용법  I want to win the game this year.
217,720,중1,YBM(박),2022,5,Food Around the World,비교급 Dondurma is longer than his arm.
218,720,중1,YBM(박),2022,6,"Click, Connect, and Communicate",동명 We like posting photos online.
219,720,중1,YBM(박),2022,7,"Think Green, Live Green",that절  People think that the apple is tasteless.
220,720,중1,YBM(박),2022,8,A Journey with Arts,재귀대명사  She was very happy with herself.
221,709,중1,YBM(송),2015,1,"New School, New Friends",‘be’동사와 일반동사 My name is Kang Hosik.\nI like cookies and doughnuts.
222,709,중1,YBM(송),2015,2,I Love My Family,3인칭 일반동사의 긍정문 She sends nice text messages to me.
223,709,중1,YBM(송),2015,3,"Different Places, Different Foods",There is/are ~. There is a cafeteria at our school. There are various seafood dishes on our menu.
224,709,중1,YBM(송),2015,4,A Story of Wisdom,‘be’동사의 과거형 He was busy all day.
225,709,중1,YBM(송),2015,5,We Are a Team,현재진행형 A meerkat is standing straight up.
226,709,중1,YBM(송),2015,6,"Save Energy, Save the Earth",명령문 Take a short shower. Do not open the refrigerator door too often.
227,709,중1,YBM(송),2015,7,My Future Dream,목적어 역할의 「to+동사원형」 I want to be a dog trainer.
228,709,중1,YBM(송),2015,8,Science All Around,형용사의 비교급 Air is lighter than water.
229,709,중1,YBM(송),2015,9,A Walk into History,수여동사 A guide gives Tony a cheongsachorong.
230,809,중2,YBM(송),2015,1,My Bucket List,형용사의 최상급  I think the guitar has the most beautiful sound of all musical instruments.
231,809,중2,YBM(송),2015,2,Let’s Be Smart Smartphone Users,to' 부정사의 형용사적 용법  Here are some tips to protect your health.
232,809,중2,YBM(송),2015,3,The School Club Activity Day,의문사 + 'to' 부정사  We also teach children how to play musical instruments as a service to our community.
233,809,중2,YBM(송),2015,4,The Two Roads,현재완료  I have lived quietly and well.
234,809,중2,YBM(송),2015,5,We Love Baseball,"부가 의문문  Jian, this is your first time to come to the baseball stadium, isn’t it?"
235,809,중2,YBM(송),2015,6,"New Places, New Experiences",so + 형용사/부사 + that + 주어 + 동사'  It was so delicious that I asked for more.
236,809,중2,YBM(송),2015,7,Living in the AI World,지각동사  I see a cat crossing the street.
237,809,중2,YBM(송),2015,8,The Unknown Hero,want/ask/tell/press + 목적어 + to 부정사'  Japanese officials pressed him to build Japanese houses.
238,809,중2,YBM(송),2015,9,Manners Make the Man,관계부사  Today’s quiet concerts began in the 19th century when many big concert halls were built.
239,909,중3,YBM(송),2015,1,Passion for Life,too ... to부정사  You knew that you were too far behind to win a medal.
240,909,중3,YBM(송),2015,2,Teens' Worries,"분사구문  Daeho, thinking that new things will make him more popular, often wants new things just because his friends have them."
241,909,중3,YBM(송),2015,3,"Healthy Living, a Happy Life","the 비교급, the 비교급  The more sun you get, the more 'happy hormone' the brain produces."
242,909,중3,YBM(송),2015,4,Safety First,"접속사 'although'  Although camping trips can create sweet memories for many people, they can also be occasions when bad things happen."
243,909,중3,YBM(송),2015,5,Look Inside You,관계대명사 'what'   What you draw and how you draw it are related to your personality.
244,909,중3,YBM(송),2015,6,Buy and Sell Wisely,as + 형용사/부사의 원급 + as'   My old bike is almost as good as a new one.
245,909,중3,YBM(송),2015,7,"Small Ideas, Big Differences",가정법 과거   The water inside would quickly boil over if the lid did not have that hole.
246,909,중3,YBM(송),2015,8,Healthy Food Around the World,not only ... but also'   Gogol-mogol is not only good for people with a cold but also popular as a dessert for healthy people.
247,701,중1,능률(김),2015,1,Welcome to My World,일반동사의 긍정문과 부정문 She has a dog. I don't have a pet.
248,701,중1,능률(김),2015,2,Discover Your Culture,"조동사 can, will You can learn about Korea from them. We will play it together later."
249,701,중1,능률(김),2015,3,"Spend Smart, Save Smart",동사의 목적어로 쓰이는 Ving People enjoyed looking at the items.
250,701,중1,능률(김),2015,4,The Power of Ideas,to부정사를 목적어로 갖는 동사 Do you want to find out new things?
251,701,중1,능률(김),2015,5,Follow Your Dreams,접속사 that Many people said that it was impossible.
252,701,중1,능률(김),2015,6,The Joy of Art,"시간을 나타내는 when When he was 30, an opera changed his life."
253,701,중1,능률(김),2015,7,Time for Stories,make+목적어+형용사 구문 It makes them excited.
254,801,중2,능률(김),2015,1,Express Yourself,감각을 나타내는 동사 My pictures look good when I use filters.
255,801,중2,능률(김),2015,2,"Eat Right, Be Happy",빈도부사 A plantain is a fruit which looks like a banana. We usually eat a salad as an appetizer.
256,801,중2,능률(김),2015,3,Understand the World,"결과를 나타내는 so ~ that 구문  It’s so old that I can’t really tell, but is it a fish?"
257,801,중2,능률(김),2015,4,Go Green Together,비교급을 강조하는 표현 The plants grow much faster than plants in soil.
258,801,중2,능률(김),2015,5,Give a Helping Hand,감정을 나타내는 과거분사 She was shocked because their lives were very difficult.
259,801,중2,능률(김),2015,6,The Best Trip of Your Life,간접의문문 Do you know where the first train station in Korea is?
260,801,중2,능률(김),2015,7,On My Way to the Future,"조건을 말하는 if절 If you keep looking ahead and dreaming big, your future will be bright."
261,901,중3,능률(김),2015,1,A Life Full of Experiences,선행사를 포함한 관계대명사 what Find what keeps you motivated.
262,901,중3,능률(김),2015,2,Take Care of Yourself,명사 뒤에서 명사를 수식하는 분사 We all know that a diet containing a variety of foods keeps our bodies healthy.
263,901,중3,능률(김),2015,3,"Always Aware, Always Prepared","접속사 Since it was my first time experiencing an earthquake, I didn’t know how to react."
264,901,중3,능률(김),2015,4,My Roles in Society,조동사의 수동태 I don’t think a person like me can be called a leader.
265,901,중3,능률(김),2015,5,Environmental Innovations,관계부사 Cancun is a city where 4.8 million tourists travel every year.
266,901,중3,능률(김),2015,6,Take Part in the Economy,"분사구문  Seeing a lot of positive reviews, I decided to borrow a bike helmet."
267,901,중3,능률(김),2015,7,Future Changes through Technology,목적을 나타내는 so that It can navigate roads for you so that you can relax and enjoy the ride.
