fill_in_blank_quiz,korean_translation,answer,hint_eng,hint_kor
The comedian's act can ___ the audience.,그 코미디언의 공연은 관객들을 [[즐겁게]] 한다.,amuse,It starts with 'a'!,a로 시작하는 단어예요!
The scientist performed an ______ of the clinical trial results.,과학자는 임상시험 결과에 대한 [[분석]]을 수행했어요.,analysis,It starts with 'a'!,a로 시작하는 단어예요!
The neighbor's constant noise can ___ anyone.,이웃의 시끄러운 소음이 사람들을 [[화나게]] 만들어요.,annoy,It has 5 letters!,5글자예요!
A small ___ marched silently across the picnic blanket.,작은 [[개미]]가 소풍 담요 위를 조용히 지나갔어요.,ant,Rearrange these letters!: T A N,다음 글자들을 재배열 해보세요!: T A N
The _______ submitted his resume with great enthusiasm for the job opportunity.,그 직무에 지원한 [[신청자]] 는 이력서를 제출했어요.,applicant,It starts with 'a'!,a로 시작하는 단어예요!
"For breakfast, I love to eat _______ with my eggs.",아침에 나는 계란과 함께 [[베이컨]]을 먹는 것을 좋아해요.,bacon,It starts with 'b'!,b로 시작하는 단어예요!
The ship sailed into the ___.,배는 [[만]]에 정박했어요.,bay,It has 3 letters!,3글자예요!
The boat anchored in the calm ___ near the shore.,보트는 해안 근처의 잔잔한 [[구역]]에 정박했어요.,bay,Rearrange these letters!: Y B A,다음 글자들을 재배열 해보세요!: Y B A
"After a long day at work, John decided to relax with a cold ___.","긴 하루 후에, 존은 시원한 [[맥주]]로 휴식을 취하기로 했어요.",beer,It starts with 'b'!,b로 시작하는 단어예요!
Her ______ sustained her during difficult times.,그녀의 [[믿음]]이 어려운 시기를 버티게 했어요.,belief,It has 6 letters!,6글자예요!
"Despite the challenges, his ______ kept him going.","어려움에도 불구하고, 그의 [[신념]]이 그를 계속 나아가게 했어요.",belief,It starts with 'b'!,b로 시작하는 단어예요!
I sat on the ___ at the park.,나는 공원에서 [[벤치]]에 앉았어요.,bench,It has 5 letters!,5글자예요!
Her performance was ______ expectations.,그녀의 공연은 [[능가하는]] 기대를 훨씬 넘어섰어요.,beyond,Rearrange these letters!: O N B Y D E,다음 글자들을 재배열 해보세요!: O N B Y D E
The explorer ventured ______ the valley in search of new lands.,탐험가는 새로운 땅을 찾기 위해 계곡 [[저편]] 모험을 떠났어요.,beyond,It has 6 letters!,6글자예요!
I will ___ these files together with a strap.,이 서류들을 끈으로 [[묶]]을게요.,bind,Rearrange these letters!: I D B N,다음 글자들을 재배열 해보세요!: I D B N
The priest will ____ the newly married couple.,목사님은 신혼부부에게 [[축복]]하실 거예요.,bless,Rearrange these letters!: E S B S L,다음 글자들을 재배열 해보세요!: E S B S L
"After the new product launch, the tech startup began to ___ unexpectedly.","신제품 출시 이후, 기술 스타트업이 갑자기 [[번창]]하기 시작했어요.",boom,It has 4 letters!,4글자예요!
The car's engine ___ed loudly when it started.,자동차 엔진이 시동 걸릴 때 [[윙윙]]했어요.,boom,Rearrange these letters!: O O B M,다음 글자들을 재배열 해보세요!: O O B M
The engineer used a drill to ___ a hole in the metal.,엔지니어는 강력한 드릴을 사용하여 금속에 깨끗한 구멍을 [[뚫]]었어요.,bore,Rearrange these letters!: R O B E,다음 글자들을 재배열 해보세요!: R O B E
The teacher's monotone lecture began to ___ the students.,선생님의 단조로운 강의는 학생들을 [[지루하게 하다]].,bore,Rearrange these letters!: O R B E,다음 글자들을 재배열 해보세요!: O R B E
The long lecture ___ the students.,그 긴 강의가 학생들을 [[지루하게]] 만들었어요.,bore,It starts with 'b'!,b로 시작하는 단어예요!
The manager tends to ___ his employees to complete their tasks.,매니저는 직원들이 임무를 완수하도록 [[지배]]해요.,boss,Rearrange these letters!: S S B O,다음 글자들을 재배열 해보세요!: S S B O
The employee reported to the ___ regarding the new project.,직원은 [[상사]]에게 새 프로젝트에 대해 보고했어요.,boss,Rearrange these letters!: O S S B,다음 글자들을 재배열 해보세요!: O S S B
The driver stepped on the ____ to stop the car.,운전자는 자동차를 멈추기 위해 [[브레이크]]를 밟았어요.,brake,Rearrange these letters!: K A B R E,다음 글자들을 재배열 해보세요!: K A B R E
The child blew a big ______ during playtime.,어린이는 놀 때 큰 [[거품]]을 만들었어요.,bubble,Rearrange these letters!: B L E B B U,다음 글자들을 재배열 해보세요!: B L E B B U
Don't ___ me with your constant questions.,네 끊임없는 질문들로 나를 [[괴롭히]]지 마세요.,bug,Rearrange these letters!: U G B,다음 글자들을 재배열 해보세요!: U G B
The programmer discovered a ___ in the computer program.,프로그래머는 컴퓨터 프로그램에서 [[벌레]]를 발견했어요.,bug,Rearrange these letters!: G U B,다음 글자들을 재배열 해보세요!: G U B
The programmer discovered a ___ in the code.,프로그래머가 코드에서 [[컴퓨터상의 오류]]를 발견했어요.,bug,Rearrange these letters!: G B U,다음 글자들을 재배열 해보세요!: G B U
The gardener pruned the ___ to maintain a tidy front yard.,정원사는 깔끔한 앞마당을 유지하기 위해 [[수풀]]을 손질했어요.,bush,Rearrange these letters!: U H B S,다음 글자들을 재배열 해보세요!: U H B S
The electrician secured the ___ to ensure a stable connection.,전기 기술자가 안정적인 연결을 위해 새 [[케이블]]을 설치했어요.,cable,It starts with 'c'!,c로 시작하는 단어예요!
I always use my ___ when solving math problems.,저는 수학 문제를 풀 때 항상 [[계산기]]를 사용해요.,calculator,Rearrange these letters!: T A L C L U A C O R,다음 글자들을 재배열 해보세요!: T A L C L U A C O R
I marked the important dates on my ___.,중요한 날짜들을 내 [[달력]]에 표시했어요.,calendar,Rearrange these letters!: N A R E L D A C,다음 글자들을 재배열 해보세요!: N A R E L D A C
I relied on my ___ to keep track of all my events.,나는 모든 일정을 [[일정표]]에 기록했어요.,calendar,Rearrange these letters!: A L D R E C A N,다음 글자들을 재배열 해보세요!: A L D R E C A N
The superhero donned his ___ as he flew over the city.,슈퍼히어로는 도시 위를 날 때 [[망토]]를 입었어요.,cape,It starts with 'c'!,c로 시작하는 단어예요!
The museum released a new ____ of its ancient collections.,박물관은 고대 유물들의 새 [[카탈로그]]를 공개했어요.,catalog,Rearrange these letters!: G A T A L C O,다음 글자들을 재배열 해보세요!: G A T A L C O
"Before making a purchase, please refer to the store's ___.","구매 전에, 상점의 [[상품목록]]을 참고하세요.",catalogue,Rearrange these letters!: L O C A T G A U E,다음 글자들을 재배열 해보세요!: L O C A T G A U E
"During the storm, the workers ___ed the equipment to keep it from drifting away.","폭풍우 속에, 작업자들은 장비를 [[묶]]어 고정시켰어요.",chain,Rearrange these letters!: I N H A C,다음 글자들을 재배열 해보세요!: I N H A C
The bike was secured with a metal ___ .,자전거는 금속 ___ 로 고정되어 있었어요.,chain,Rearrange these letters!: N A C H I,다음 글자들을 재배열 해보세요!: N A C H I
He smoked a ______ during his break.,그는 휴식 시간 동안 ______를 피웠어요.,cigarette,Rearrange these letters!: T E I T G R C A E,다음 글자들을 재배열 해보세요!: T E I T G R C A E
Online ______ has advanced global trade.,온라인 [[상업]]은 세계 무역에 혁신을 가져왔어요.,commerce,It starts with 'c'!,c로 시작하는 단어예요!
"In order to fully understand a story, it's essential to consider its ___.",이야기를 완전히 이해하기 위해서는 그 [[전후 관계]]를 고려하는 것이 필수적이에요.,context,Rearrange these letters!: T E X C O N T,다음 글자들을 재배열 해보세요!: T E X C O N T
"To fully grasp the meaning, always consider the ______ in which the sentence is used.",문장의 의미를 완전히 이해하려면 항상 [[문맥]]을 고려해야 해요.,context,It has 7 letters!,7글자예요!
"At the networking event, the professionals ______ regarding upcoming opportunities.","네트워킹 이벤트에서, 전문가들이 다가오는 기회에 대해 ______ 했어요.",converse,Rearrange these letters!: V E S O N C R E,다음 글자들을 재배열 해보세요!: V E S O N C R E
"In logic, while a statement may be true, its ___ may not be true.","논리학에서 어떤 진술이 참일지라도, 그 [[거꾸로의]] 진술은 반드시 참이 아닐 수 있어요.",converse,It starts with 'c'!,c로 시작하는 단어예요!
The ___ chased the suspect down the alley.,그 [[경찰]]은 용의자를 골목에서 쫓았어요.,cop,It has 3 letters!,3글자예요!
We enjoyed the annual ____ fair.,우리는 매년 열리는 [[군]] 축제를 즐겼어요.,county,It starts with 'c'!,c로 시작하는 단어예요!
The local ___ provides governmental services to its residents.,지역 주민들에게 행정 서비스를 제공하는 [[자치주]]가 있어요.,county,Rearrange these letters!: T Y C O U N,다음 글자들을 재배열 해보세요!: T Y C O U N
The general's ___ treatment of his prisoners shocked the nation.,장군의 [[잔인]]한 대우가 나라를 놀라게 했어요.,cruel,It starts with 'c'!,c로 시작하는 단어예요!
Her ______ about the ancient ruins led her to explore every hidden corner.,그녀의 [[호기심]] 때문에 고대 유적을 꼼꼼히 탐험했어요.,curiosity,Rearrange these letters!: R I Y C I U S T O,다음 글자들을 재배열 해보세요!: R I Y C I U S T O
"During my vacation, I decided to ___ through the city to enjoy its vibrant streets.","휴가 동안, 나는 도시의 활기찬 거리를 즐기기 위해 [[자전거]]를 타다.",cycle,It has 5 letters!,5글자예요!
"Every morning, Tom rides his ___ to school.","매일 아침, 톰은 학교에 가기 위해 ___를 타요.",cycle,Rearrange these letters!: E C Y C L,다음 글자들을 재배열 해보세요!: E C Y C L
The Earth rotates in a continuous ___.,지구는 끊임없는 [[주기]]로 자전해요.,cycle,Rearrange these letters!: Y L C E C,다음 글자들을 재배열 해보세요!: Y L C E C
The ___ rode his bicycle in the race.,그 [[자전거 타는 사람]]은 경주에서 자전거를 탔어요.,cyclist,It starts with 'c'!,c로 시작하는 단어예요!
"After borrowing heavily, he was overwhelmed by ___.","많이 빌린 후, 그는 [[신세]]에 시달렸어요.",debt,Rearrange these letters!: B T E D,다음 글자들을 재배열 해보세요!: B T E D
He struggled to repay his ___.,그는 그의 [[빚]]를 갚기 위해 애썼어요.,debt,Rearrange these letters!: B T D E,다음 글자들을 재배열 해보세요!: B T D E
"In the championship match, the team's ______ was unbeatable.",챔피언십 경기에서 팀의 [[수비]]는 무적이었어요.,defense,It starts with 'd'!,d로 시작하는 단어예요!
It’s important to ___ a term so that everyone understands its meaning.,모두가 그 용어의 의미를 이해할 수 있도록 [[정의]]하는 것이 중요해요.,define,It has 6 letters!,6글자예요!
"The instructions were ___, leaving no room for doubt.",지시사항은 ___ 해서 의심의 여지가 없었어요.,definite,Rearrange these letters!: I F T E D I N E,다음 글자들을 재배열 해보세요!: I F T E D I N E
The gloomy weather tends to ___ our spirits.,우울한 날씨는 우리의 기분을 [[내리누르]] 수 있어요.,depress,Rearrange these letters!: S D P E E R S,다음 글자들을 재배열 해보세요!: S D P E E R S
The gloomy weather can ______ your mood.,우울한 날씨가 당신의 기분을 [[우울하게 하다]].,depress,It has 7 letters!,7글자예요!
The unexpected news can ___ anyone who had high hopes.,예상치 못한 소식은 높은 기대를 가진 사람들을 [[실망]]시킬 수 있어요.,disappoint,Rearrange these letters!: P A I D T I S P O N,다음 글자들을 재배열 해보세요!: P A I D T I S P O N
"After discovering his misconduct, the manager decided to ______ him immediately.","부정행위를 발견한 후, 매니저는 그를 즉시 [[해고]]했어요.",discharge,Rearrange these letters!: R E D I C S H A G,다음 글자들을 재배열 해보세요!: R E D I C S H A G
The factory plans to ______ large amounts of byproducts into the river.,공장은 강에 대량의 부산물을 [[방출]]할 계획이에요.,discharge,Rearrange these letters!: G I D S A H C E R,다음 글자들을 재배열 해보세요!: G I D S A H C E R
"When you open the valve, steam will ___ out steadily.",벨브를 열면 증기가 [[흐르]]어요.,discharge,Rearrange these letters!: C H I D G E S R A,다음 글자들을 재배열 해보세요!: C H I D G E S R A
The vivid portrayal of the crime scene evoked a sense of ______ among the viewers.,극적인 범죄 현장의 묘사는 관객들에게 [[혐오감]]을 불러일으켰어요.,disgust,Rearrange these letters!: S D U T I G S,다음 글자들을 재배열 해보세요!: S D U T I G S
Their ___ was finalized after a long legal battle.,오랜 법정 싸움 끝에 그들의 [[이혼]]이 최종 확정되었습니다.,divorce,Rearrange these letters!: C I V O D R E,다음 글자들을 재배열 해보세요!: C I V O D R E
There are a ___ eggs in the carton.,계란 상자에는 1[[다스]]의 계란이 들어 있어요.,dozen,It has 5 letters!,5글자예요!
The doctor prescribed a ___ for the patient.,의사는 환자에게 [[약]]을 처방했어요.,drug,Rearrange these letters!: R U G D,다음 글자들을 재배열 해보세요!: R U G D
"After taking the medicine, the patient began to ___ his pain.",약을 먹은 후에 통증이 [[덜해지]]어요.,ease,Rearrange these letters!: S A E E,다음 글자들을 재배열 해보세요!: S A E E
Gentle massage can ___ the discomfort after exercise.,부드러운 마사지는 운동 후의 불편함을 [[수월하게 하다]]요.,ease,Rearrange these letters!: S E E A,다음 글자들을 재배열 해보세요!: S E E A
The ___ of the new process ensured its quick adoption.,새로운 과정의 [[쉬움]]이 빠른 채택을 보장했어요.,ease,Rearrange these letters!: A S E E,다음 글자들을 재배열 해보세요!: A S E E
The voters will ___ their new mayor on election day.,유권자들은 선거일에 새로운 시장을 [[선출]]할 거예요.,elect,Rearrange these letters!: L E T E C,다음 글자들을 재배열 해보세요!: L E T E C
The unexpected comment may ______ him during the meeting.,예상치 못한 발언이 그를 [[당황]]하게 만들었어요.,embarrass,Rearrange these letters!: A R S B R A M E S,다음 글자들을 재배열 해보세요!: A R S B R A M E S
Many students decide to ______ in university courses to further their education.,많은 학생들이 자신의 교육을 위해 대학교 수업에 [[등록]] 하기로 결정했어요.,enroll,It has 6 letters!,6글자예요!
He loves to ___ people with his magic tricks.,그는 마술로 사람들을 [[즐겁게]] 하는 것을 좋아해요.,entertain,Rearrange these letters!: T I N T A E R E N,다음 글자들을 재배열 해보세요!: T I N T A E R E N
He decided to ______ the possibility of a career change.,그는 진로 변화의 가능성을 [[품다]]기로 결정했다.,entertain,Rearrange these letters!: A T E N T E I N R,다음 글자들을 재배열 해보세요!: A T E N T E I N R
The teacher offered ____ advice to each student.,선생님은 각 학생에게 ____ 조언을 해주셨어요.,especial,Rearrange these letters!: P I E C E L A S,다음 글자들을 재배열 해보세요!: P I E C E L A S
"For the final exam, she had to write an ___.",그녀는 대학 입학을 위해 [[수필]]을 썼어요.,essay,It starts with 'e'!,e로 시작하는 단어예요!
I have to prepare well for the ___ tomorrow.,나는 내일 있을 [[시험]]을 잘 준비해야 해요.,exam,Rearrange these letters!: M A X E,다음 글자들을 재배열 해보세요!: M A X E
The patient underwent an ___ to check his health.,환자는 건강을 확인하기 위해 의사의 [[검사]]를 받았어요.,examination,Rearrange these letters!: A I N X A M I T E O N,다음 글자들을 재배열 해보세요!: A I N X A M I T E O N
The ___ was challenging despite all the preparation.,모든 준비에도 불구하고 [[시험]]은 어려웠어요.,examination,Rearrange these letters!: T I N A E X I O M A N,다음 글자들을 재배열 해보세요!: T I N A E X I O M A N
A thrilling movie trailer can ___ audiences if it has the right energy.,흥미로운 영화 예고편은 적절한 에너지로 관객들을 [[흥분시키]] 수 있어요.,excite,Rearrange these letters!: T E X E C I,다음 글자들을 재배열 해보세요!: T E X E C I
Please use the ___ to leave the building.,건물 밖으로 나가기 위해 [[출구]]를 이용하세요.,exit,Rearrange these letters!: T X I E,다음 글자들을 재배열 해보세요!: T X I E
The items were produced in the huge ___ at the end of the street.,물건들은 길 끝에 있는 큰 [[공장]]에서 만들어졌어요.,factory,Rearrange these letters!: O F T Y A C R,다음 글자들을 재배열 해보세요!: O F T Y A C R
"During group projects, teachers should not ______ any student.","수업 중에, 선생님은 어느 학생도 [[편애]]하지 않으셔야 해요.",favor,It has 5 letters!,5글자예요!
"When making decisions, I often ___ one option over the other.","결정을 내릴 때, 나는 한 선택지를 다른 선택지보다 [[좋아]]해요.",favor,Rearrange these letters!: V O A F R,다음 글자들을 재배열 해보세요!: V O A F R
She did me a ___ when I asked for her help on the project.,그녀는 프로젝트를 할 때 나에게 ___를 해줬어요.,favor,It has 5 letters!,5글자예요!
Would you do me a ____ and help me with my homework?,혹시 저에게 한 [[호의]]를 베풀어 주시겠어요?,favor,Rearrange these letters!: A R V O F,다음 글자들을 재배열 해보세요!: A R V O F
The actor enjoyed great ___ among his fans.,그 배우는 팬들 사이에서 큰 [[인기]]를 누렸어요.,favor,Rearrange these letters!: V A F O R,다음 글자들을 재배열 해보세요!: V A F O R
It is important to ___ your commitments.,약속을 [[존중]]하는 것은 중요해요.,honor,It starts with 'h'!,h로 시작하는 단어예요!
"She decided to ___ her promises, even when it was challenging.",그녀는 어려워도 자신의 약속을 [[지키]]기로 결심했어요.,honor,It has 5 letters!,5글자예요!
"During the ceremony, they ___ the community leaders.",그들은 지역사회 지도자들에게 [[경의]]를 표했어요.,honor,It starts with 'h'!,h로 시작하는 단어예요!
The committee will ___ the exceptional volunteer at the annual dinner.,위원회는 연례 만찬에서 뛰어난 봉사자에게 [[명예]]를 주었어요.,honor,It has 5 letters!,5글자예요!
The comedian's ______ made the show ridiculously entertaining.,그 코미디언의 [[유머]]가 공연을 아주 재미있게 만들었어요.,humor,Rearrange these letters!: M O R U H,다음 글자들을 재배열 해보세요!: M O R U H
The student conducted the experiment in the ___.,학생은 [[실험실]]에서 실험을 진행했어요.,lab,It has 3 letters!,3글자예요!
The workers had to ___ in extreme heat to finish the construction.,많은 노동자들이 건설을 완성하기 위해 극심한 더위 속에서 [[애쓰]]었어요.,labor,Rearrange these letters!: B O L A R,다음 글자들을 재배열 해보세요!: B O L A R
The company relied on ___ to build the bridge.,회사는 다리를 짓기 위해 [[노동]]에 의존했어요.,labor,Rearrange these letters!: R L A O B,다음 글자들을 재배열 해보세요!: R L A O B
The researcher conducted various experiments in the ___.,연구원은 다양한 실험을 위해 여러 화학물질을 [[실험실]]에서 사용했어요.,laboratory,Rearrange these letters!: A R O L T O B R A Y,다음 글자들을 재배열 해보세요!: A R O L T O B R A Y
"Before taking his driving test, he renewed his ______.",운전 시험을 보기 전에 그는 [[면허]]를 갱신했어요.,license,It starts with 'l'!,l로 시작하는 단어예요!
I waved at my ___ across the street.,저는 길 건너편에 사는 [[이웃사람]]에게 손을 흔들었어요.,neighbor,It starts with 'n'!,n로 시작하는 단어예요!
I captured a stunning ______ with my camera during the trip.,여행 중에 나는 카메라로 [[사진]]을 찍었어요.,photo,Rearrange these letters!: O T P O H,다음 글자들을 재배열 해보세요!: O T P O H
He captured a stunning ______ of the mountain at sunrise.,그는 일출 시 아름다운 ______을 찍었어요.,photograph,Rearrange these letters!: O P H A T G P H O R,다음 글자들을 재배열 해보세요!: O P H A T G P H O R
"To improve their skills, every artist must ______ consistently.","기술을 향상시키기 위해, 모든 예술가는 꾸준히 [[실천]]해야 해요.",practice,Rearrange these letters!: C P A I T R C E,다음 글자들을 재배열 해보세요!: C P A I T R C E
She decided to ___ the piano daily to perfect her performance.,그녀는 공연을 완벽하게 하기 위해 매일 피아노를 [[연습]]하기로 결심했어요.,practice,Rearrange these letters!: T C R A I C P E,다음 글자들을 재배열 해보세요!: T C R A I C P E
"After years of study, the lawyer decided to open his own ___.","오랜 공부 후, 그 변호사는 자신의 [[영업]]을 열기로 결심했어요.",practice,It starts with 'p'!,p로 시작하는 단어예요!
Improving your skills requires regular ___.,"기술을 향상시키려면, 꾸준한 [[습관]]이 필요해요.",practice,Rearrange these letters!: C A P I T C R E,다음 글자들을 재배열 해보세요!: C A P I T C R E
He attends ___ to refine his skills.,그는 기술을 갈고 닦기 위해 [[실행]]에 참여해요.,practice,Rearrange these letters!: T A C P I C R E,다음 글자들을 재배열 해보세요!: T A C P I C R E
It took her a moment to ___ the irony of the situation.,그녀는 상황의 아이러니를 [[깨닫]]는데 잠시 시간이 걸렸어요.,realize,It has 7 letters!,7글자예요!
She worked hard for years until she ___ her lifelong dream.,그녀는 오랫동안 노력한 끝에 평생의 꿈을 [[실현]]했어요.,realize,Rearrange these letters!: E Z R I A L E,다음 글자들을 재배열 해보세요!: E Z R I A L E
The artist employed a new ______ to create a stunning effect.,그 예술가는 멋진 효과를 내기 위해 새로운 [[기술]]을 사용했어요.,technique,Rearrange these letters!: E Q T I C N H U E,다음 글자들을 재배열 해보세요!: E Q T I C N H U E
I visited the ___ last night to enjoy a live performance.,어젯밤에 나는 [[연극]]을 보러 갔어요.,theater,Rearrange these letters!: A T E R T H E,다음 글자들을 재배열 해보세요!: A T E R T H E
"Every weekend, they rushed to the ______ to catch the latest play.",그들은 주말마다 [[극장]]에 가서 최신 연극을 봤어요.,theater,Rearrange these letters!: E A T T H R E,다음 글자들을 재배열 해보세요!: E A T T H R E
The runner surged _______ the finish line.,선수는 결승선을 [[무렵]] 달려갔어요.,toward,It starts with 't'!,t로 시작하는 단어예요!
The runner sprinted ___ the finish line.,주자는 결승선을 [[향해]] 뛰었어요.,toward,It has 6 letters!,6글자예요!
The child ran ______ his mother.,아이가 어머니 [[쪽으로]] 달려갔어요.,towards,Rearrange these letters!: W A T S D O R,다음 글자들을 재배열 해보세요!: W A T S D O R
"Her confidence was ___, leaving no room for doubt.",그녀의 자신감은 [[절대적인]] 것이었어요.,absolute,Rearrange these letters!: T A B O E L S U,다음 글자들을 재배열 해보세요!: T A B O E L S U
The scientist was known for his ______ commitment to discovering the truth.,과학자는 진실을 찾기 위한 [[완전]]한 헌신으로 유명했어요.,absolute,It starts with 'a'!,a로 시작하는 단어예요!
"To gain entry into the exclusive portal, you must ___ the system.",독점 포털에 들어가려면 시스템에 [[접속]]해야 해요.,access,It has 6 letters!,6글자예요!
The computer system granted him ___ after successful authentication.,컴퓨터 시스템은 성공적인 인증 후 그에게 [[접근]]을 허용했어요.,access,Rearrange these letters!: C S A C S E,다음 글자들을 재배열 해보세요!: C S A C S E
"After years of preparation, she finally received her ___ to the prestigious art school.","오랜 준비 끝에, 그녀는 드디어 명문 미술 학교에 [[입학]]했어요.",admission,It starts with 'a'!,a로 시작하는 단어예요!
The mother's ______ was evident in her gentle care.,어머니의 [[애정]]이 그녀의 부드러운 보살핌에서 나타났어요.,affection,Rearrange these letters!: T F A F I N C O E,다음 글자들을 재배열 해보세요!: T F A F I N C O E
The chef decided to ___ the recipe to make it healthier.,셰프는 레시피를 [[바꾸]]어 건강하게 만들었어요.,alter,Rearrange these letters!: L T A R E,다음 글자들을 재배열 해보세요!: L T A R E
"The instructions were ___ unclear, so we got confused.","지시사항이 [[완전히]] 불분명해서, 우리는 혼란스러웠어요.",altogether,Rearrange these letters!: O G T A L E T H E R,다음 글자들을 재배열 해보세요!: O G T A L E T H E R
"___, the project was a success despite minor setbacks.","___, 이 프로젝트는 약간의 문제에도 불구하고 성공적이었어요.",altogether,Rearrange these letters!: T E H A R O G T E L,다음 글자들을 재배열 해보세요!: T E H A R O G T E L
The broadcaster will ___ the breaking news on live TV tonight.,TV 방송국이 오늘 밤 생중계로 속보를 [[방송]]할 거예요.,announce,Rearrange these letters!: N U A N C E N O,다음 글자들을 재배열 해보세요!: N U A N C E N O
The principal will ___ the new schedule tomorrow.,교장선생님이 내일 새로운 시간표를 [[알리다]] 할 거예요.,announce,It starts with 'a'!,a로 시작하는 단어예요!
The company holds its ___ meeting every December.,회사는 12월에 ___ 회의를 개최해요.,annual,Rearrange these letters!: L A N N U A,다음 글자들을 재배열 해보세요!: L A N N U A
The campaign was designed to ___ to the younger generation.,그 캠페인은 젊은 세대에게 [[관심을 끌다]]도록 고안되었어요.,appeal,Rearrange these letters!: L P A P E A,다음 글자들을 재배열 해보세요!: L P A P E A
The defendant decided to ___ the verdict.,피고는 판결에 대해 [[호소]]했어요.,appeal,It has 6 letters!,6글자예요!
The advertisement is crafted so that it will ___ to a younger audience.,그 광고는 젊은 관객들에게 [[매력적이다]]도록 만들어졌어요.,appeal,Rearrange these letters!: L A P A E P,다음 글자들을 재배열 해보세요!: L A P A E P
The new smartphone's ______ lies in its sleek design.,새 스마트폰의 [[매력]]은 세련된 디자인에 있어요.,appeal,It starts with 'a'!,a로 시작하는 단어예요!
They decided to ______ a new committee member.,그들은 새 위원회 구성원을 [[임명]]하기로 결정했어요.,appoint,It has 7 letters!,7글자예요!
"Before finalizing the project, you must ____ all the strengths and weaknesses.","프로젝트를 마무리하기 전에, 모든 강점과 약점을 [[평가]]해야 해요.",assess,It has 6 letters!,6글자예요!
The city council decided to ___ extra fees on local businesses.,시의회는 지역 사업체들에 추가 비용을 [[부과]]하기로 결정했어요.,assess,Rearrange these letters!: S S A E S S,다음 글자들을 재배열 해보세요!: S S A E S S
The coach will ___ his players during the game.,코치는 경기 중에 선수들을 [[돕]]어요.,assist,It starts with 'a'!,a로 시작하는 단어예요!
Every executive relies on a trusted ___.,모든 경영진은 신뢰할 수 있는 [[조수]]에 의존해요.,assistant,Rearrange these letters!: T A N S S I A S T,다음 글자들을 재배열 해보세요!: T A N S S I A S T
"During the meeting, the _____ offered valuable support to the CEO.","회의 중, CEO를 도운 [[조수]]가 큰 역할을 했어요.",assistant,Rearrange these letters!: s a t s n i t a s,다음 글자들을 재배열 해보세요!: s a t s n i t a s
The farmer built a ___ to protect his crops.,농부는 작물을 보호하기 위해 [[울타리]]를 지었어요.,fence,Rearrange these letters!: N E C F E,다음 글자들을 재배열 해보세요!: N E C F E
The company hired an expert to manage its ___.,회사는 전문가를 고용하여 회사의 ___을 관리했어요.,finance,Rearrange these letters!: F A N I C N E,다음 글자들을 재배열 해보세요!: F A N I C N E
The professor has published several articles on ______ to better understand market trends.,그 교수님은 시장 동향을 더 잘 이해하기 위해 [[금융]]에 관한 여러 논문을 발표하셨어요.,finance,Rearrange these letters!: N I F A N C E,다음 글자들을 재배열 해보세요!: N I F A N C E
The explorers ventured ___ into the unknown.,탐험가들은 미지의 세계로 [[앞으로]] 나아갔어요.,forth,Rearrange these letters!: R F H T O,다음 글자들을 재배열 해보세요!: R F H T O
He spoke ___ about his plan without hiding any details.,그는 어떤 계획에 대해 [[솔직히]] 얘기했어요.,frankly,Rearrange these letters!: L Y F N R A K,다음 글자들을 재배열 해보세요!: L Y F N R A K
