fill_in_blank_quiz,korean_translation,answer,hint_eng,hint_kor
I ___ this song.,나는 이 노래를 [[좋아]]해요.,like,It is used to show you enjoy or prefer something.,무엇인가 즐기거나 선호할 때 쓰는 말이에요.
She sings __ a bird.,그녀는 새 [[처럼]] 노래해요.,like,Use this word to compare two things.,두 가지를 비교할 때 사용하는 단어예요.
The club is ____.,이 동호회는 [[뜻이 같은]] 사람들이에요.,like-minded,It describes people with shared ideas.,비슷한 생각을 하는 사람들을 나타내는 단어예요.
I add ___ to my salad.,나는 샐러드에 [[라임]]을 넣어요.,lime,It is a green citrus often used in drinks.,음료에 쓰이는 녹색 감귤이에요.
They applied ____ on the wall.,그들은 벽에 [[석회]]를 발라요.,lime,It is a white powder used in buildings.,건물을 짓는데 쓰는 흰 가루예요.
The store has ___ stock.,가게는 [[한정된]] 재고가 있어요.,limited,It means there is not much of something.,어떤 것이 많지 않다는 뜻이에요.
Students ___ up at lunch.,학생들은 점심시간에 [[줄]] 섰어요.,line,It means to form a row when waiting.,기다릴 때 사람들을 한 줄로 세우는 거예요.
Draw a ___ on the paper.,종이에 [[줄]] 그려요.,line,It is a mark you draw with a pencil.,연필로 그리는 표시예요.
She drew a ___ on paper.,그녀는 종이에 [[선]]을 그렸어요.,line,You use it to make a straight mark with a pencil.,연필로 곧게 그릴 때 사용하는 것이에요.
Read the ___ of the poem.,시의 [[구절]]을 읽으세요.,line,It is a part of a poem.,시의 일부예요.
She read a ____ from the play.,그녀는 연극에서 [[가사]]를 읽었어요.,line,It is a short sentence in a play or song.,연극이나 노래에서 쓰이는 짧은 문장이에요.
The actor forgot his ___.,배우는 자신의 [[대사]]를 잊었어요.,line,You say these words in a play.,연극에서 배우가 하는 말을 말해요.
The actor delivered his ___ clearly.,배우가 그의 [[대사]]를 분명히 전달했어요.,line,It is what an actor speaks in a film.,영화에서 배우가 말하는 것을 가리켜요.
The ___ is busy.,전화[[선]]이 바빠요.,line,It connects phone calls.,전화 연결에 사용돼요.
The bus ____ is late.,버스 [[노선]]이 늦었어요.,line,It is the path a bus takes.,버스가 가는 길이에요.
Please ___ before entering class.,수업 전에 학생들이 [[줄을 서]]요.,line up,You wait by standing one behind the other.,"사람들이 기다릴 때, 한 줄로 서요."
The ___ roars loudly under sun.,정글의 왕은 [[사자]]예요.,lion,It is known as the king of the jungle.,정글의 왕으로 알려진 동물이에요.
They ___ carefully during class.,그들은 수업 중 조용히 [[듣]]어요.,listen,You use your ears to catch sounds.,귀로 소리를 들어요.
The ___ enjoyed the lively song.,그는 생생한 노래를 즐긴 [[청취자]]예요.,listener,This person listens to sounds using their ears.,귀로 소리를 듣는 사람이에요.
The style is very ___.,스타일이 매우 [[문학적인]]이에요.,literary,It means something related to books.,책과 글과 관련이 있어요.
She loves reading ___ every day.,그녀는 매일 [[문학]]을 읽어요.,literature,It is about creative books and stories.,창의적인 책과 이야기에 관한 거예요.
I study ___ at school.,나는 학교에서 [[안내]]를 공부해요.,literature,It is about books and stories.,책과 이야기들에 관한 거예요.
The ___ kitten slept all day.,그 [[어린]] 고양이가 하루 종일 잤어요.,little,How do you talk about something that is not big?,무엇인가 크지 않다는 말을 할 때 쓰는 단어예요.
The puppy is ___.,강아지는 [[작은]] 이에요.,little,It means not big.,크지 않은 것을 나타내요.
There is ___ food left.,음식이 [[거의 없는]] 남았어요.,little,Use this word when the amount is very small.,양이 매우 작을 때 쓰는 단어예요.
They ___ in Korea.,그들은 한국에서 [[살]]아요.,live,You do this when you are at home every day.,매일 집에 있을 때 하는 행동이에요.
I like ___ music on TV.,나는 TV에서 [[살아있는]] 음악을 좋아해요.,live,It means being alive and not dead.,살아 있고 죽지 않은 상태를 말해요.
They stream the concert ___.,그들은 콘서트를 [[생방송으로]] 중계해요.,live,When you watch something in real time.,실시간으로 보이는 경우에 쓰는 말이에요.
They ___ their own values.,그들은 [[신조]]에 따라 살아가요.,live by,It means to follow your personal beliefs.,자신의 믿음을 따르는 것을 뜻해요.
The party was very ____. ,파티가 매우 [[활기 넘치는]] 분위기였어요.,lively,It shows energy and fun.,에너지와 즐거움을 보여요.
The music sounds ______ at the fair.,박람회에서 음악이 [[격렬한]] 느낌이에요.,lively,It describes something very active.,매우 활동적인 것을 말해요.
The ___ is on the rock.,바위 위에 [[도마뱀]] 있어요.,lizard,It is a reptile with scales and a long tail.,비늘과 긴 꼬리가 있는 파충류예요.
The ___ is near the park.,파티의 [[위치]]는 공원 근처에 있어요.,location,It tells where something is.,어디에 있는지 알려주는 말이에요.
The film crew hires a ______.,영화 팀은 촬영을 위해 [[장소를 섭외하는 사람]]을 고용해요.,location scout,They help movies by finding filming places.,이 사람은 영화 촬영 장소를 찾아요.
He kept his coat in the ___.,그는 코트를 [[사물함]]에 보관했어요.,locker,It is used to store items at school or gym.,학교나 체육관에서 물건을 보관하는 곳이에요.
We use _____ in math.,우리는 수학에서 [[논리]]를 사용해요.,logic,It is a way to think clearly.,명확하게 생각하는 방법이에요.
Her argument is ___ and clear.,"그녀의 주장[[어울리는,적절한]]은 명료해요.",logical,It describes clear and sensible thinking.,생각이 잘 맞고 분명한 것을 말해요.
Her idea is _____ and simple.,그녀의 아이디어는 [[논리적인]] 그리고 간단해요.,logical,It means based on clear and sound reasoning.,명확하고 타당한 이유에 기초한 뜻이에요.
She felt ___ in the quiet room.,그녀는 조용한 방에서 [[고독]]을 느꼈어요.,loneliness,It is a sad feeling when you are all alone.,다른 사람 없이 외로울 때의 느낌이에요.
She felt ___ at the party.,그녀는 파티에서 [[고독한]] 느낌이었어요.,lonely,You feel this when you are by yourself.,혼자 있을 때 느끼는 감정이에요.
She feels ___ in her room.,그녀는 방에서 [[외로]]워요.,lonely,It describes feeling sad because you are by yourself.,혼자라서 슬픈 느낌을 말해요.
I ___ for home.,나는 [[갈망]]해요.,long,"When you miss someone, you feel a strong wish to see them again.",누군가를 너무 보고 싶을 때 느끼는 감정이에요.
The rope is ___.,밧줄은 [[긴]]이에요.,long,It means not short; it has a great distance.,"이것은 짧지 않고, 거리가 멀다는 뜻이에요."
The road is ___.,이 길은 [[긴]].,long,It means not short; it has a lot of distance.,짧지 않고 거리가 많은 것을 말해요.
He feels ______ at night.,그는 밤에 [[간절히 바람]] 느껴요.,longing,It means a strong desire for something or someone.,누군가 또는 무언가를 강하게 그리워하는 느낌이에요.
She gave a ___ look.,그녀는 [[간절히 바라는]] 눈빛을 보였어요.,longing,It is used when you strongly desire something.,정말 원하는 마음일 때 쓰여요.
Please ___ at the painting.,그림을 [[보다]] 해요.,look,You use your eyes to see things.,눈으로 사물을 보는 행동이에요.
It ___ simple.,그것은 간단해 [[보이다]].,look,Use your eyes to see things.,눈으로 사물을 봐요.
He has a ___.,그 남자는 멋진 [[외모]]예요.,look,It is how a person appears.,사람이 어떻게 보이는지를 말해요.
I like your ___.,네 [[외모]]가 멋져요.,look,It describes a person's appearance.,사람의 외모를 말해요.
She has a kind ___.,그녀는 친절한 [[표정]]을 가졌어요.,look,It is the expression on someone's face.,누군가의 얼굴에 나타나는 감정이에요.
I ___ ___ the river.,나는 강을 [[건너다보다]]했어요.,look across,You do this action to see what is on the other side.,반대편에 있는 것을 보기 위한 행동이에요.
He will ___ his little brother.,그는 그의 어린 동생을 [[돌보다]] 해요.,look after,It means to care for someone.,누군가를 돌보는 것을 의미해요.
Can you ___ the clock?,시계를 [[~을 보다]] 수 있어요?,look at,You ask someone to see something carefully.,누군가에게 무엇을 자세히 보라고 할 때 쓰는 말이에요.
Don't ___ your past mistakes.,과거의 실수를 [[후회]]하지 마세요.,look back,It is what you feel when you wish to change the past.,과거를 바꾸고 싶어할 때 느끼는 감정이에요.
Don't ___ as you run.,달릴 때 [[되돌아보다]] 말아요.,look back,It means to think about the past.,과거를 생각하는 것을 뜻해요.
She ___ ___ her keys.,그녀는 열쇠를 [[찾다]]해요.,look for,You search for something you lost.,잃어버린 것을 찾을 때 하는 행동이에요.
I ___ your visit.,나는 네 방문을 [[기대]]해요.,look forward to,You feel happy while waiting for something good.,좋은 일을 기다릴 때 기분이 좋아요.
I will ___ this case.,나는 이 사건을 [[조사]]할 거예요.,look into,You check something very carefully.,무엇인가를 자세히 살펴봐요.
He ___ his father.,그는 그의 아버지와 [[처럼 보이다]].,look like,This phrase is used when one person appears similar to another.,한 사람이 다른 사람과 비슷해 보일 때 쓰는 표현이에요.
They ___ at the sky.,그들은 하늘을 [[올려다]] 봐요.,look up,You raise your eyes to see something high.,높은 곳을 보려고 눈을 들어요.
I always ___ new words.,나는 항상 [[찾아보다]] 새로운 단어를 봐요.,look up,You do this to find more information.,더 많은 정보를 찾을 때 하는 행동이에요.
The rope is tied ___.,밧줄은 [[느슨하게]] 묶였어요.,loosely,It means not tied firmly.,단단하게 묶이지 않았다는 뜻이에요.
Can you ______ the lid?,뚜껑을 [[풀]]어 주세요.,loosen,It means to make something less tight.,뭔가를 덜 꽉하게 만드는 뜻이에요.
You can ___ the jar cap easily.,당신은 병뚜껑을 [[느슨하게 하다]] 쉽게 열 수 있어요.,loosen,It means to make something not tight.,무언가를 덜 꽉 조이도록 하는 뜻이에요.
She will ___ before the meeting.,그녀는 회의 전에 [[긴장을 풀다]]해요.,loosen up,What do you do to feel more relaxed?,더 편안하게 느끼기 위해 무엇을 해요?
There are ___ people here.,여기 [[많은]] 사람들이 있어요.,lots of,It means a high quantity.,많다는 뜻이에요.
The music played ___ at night.,음악이 밤에 [[큰 소리]]로 재생되었어요.,loudly,It means doing something with a high volume.,높은 소리로 행동하는 것을 말해요.
I ___ my cat.,나는 내 고양이를 [[사랑]]해요.,love,"It is a deep, caring feeling for someone dear.",가까운 사람에게 느끼는 깊은 감정이에요.
I see ___ flowers.,나는 [[사랑스러운]] 꽃을 봐요.,lovely,It describes something very pretty.,아주 예쁘다고 말할 때 쓰는 단어예요.
She is a ___ person.,그녀는 [[아주 좋은]] 사람이에요.,lovely,It describes something very pleasant.,아주 좋은 것을 나타내요.
The temperature is ___.,오늘 기온은 [[최저 기온]]예요.,low,It means at the bottom end of a scale.,어떤 것이 높은 대신 아래쪽에 있다는 뜻이에요.
The bridge is ___ over the river.,다리는 강 위에 [[낮]]이에요.,low,It shows that something is not high.,무엇인가 높지 않음을 나타내요.
Please ___ the volume.,볼륨을 [[낮추]]어 주세요.,lower,It makes something less high.,무엇인가를 덜 높게 만들어요.
The box is ___ on the shelf.,상자는 선반의 [[아래쪽]]에 있어요.,lower,It describes something near the bottom.,이 단어는 무언가가 아래쪽에 있음을 나타내요.
Their ___ matters a lot.,그들의 [[충성]]은 매우 중요해요.,loyalty,"When you always support someone, even when it's hard.",어려울 때도 항상 누군가를 지지하는 거예요.
She has ___ on her side.,그녀는 항상 [[운]]이 있어요.,luck,It means good things happen by chance.,우연히 좋은 일이 생기는 것을 말해요.
"___, we caught the early train.","[[운 좋게]], 우리는 일찍 열차를 탔어요.",luckily,It is used to say something good happened by chance.,우연히 좋은 일이 생겼을 때 쓰는 말이에요.
It is a ____ day.,오늘은 [[행운]]의 날이에요.,lucky,"When good things happen easily, you feel happy.","좋은 일이 쉽게 생기면, 기분이 좋아져요."
The ___ surface was cold.,그 [[달의]] 표면은 차가웠어요.,lunar,It describes something related to the moon.,달과 관련된 것을 의미해요.
I ate ___ at noon.,나는 [[점심식사]] 먹었어요.,lunch,You eat this at noon.,정오에 먹는 식사예요.
We enjoy our ____ at noon.,우리는 [[점심시간]]을 즐겨요.,lunch break,This is the time for having a meal at noon.,정오에 식사하는 시간이에요.
___ is from 12 to 1.,[[점심시간]]은 12시부터 1시까지에요.,lunchtime,It is the time when you eat your midday meal.,낮에 식사를 하는 시간이예요.
The doctor checked my ___.,의사는 내 [[폐]]를 검사했어요.,lung,It helps you breathe.,숨쉬는데 도와주는 기관이에요.
She uses her ___ to breathe.,그녀는 숨 쉬기 위해 [[폐]]를 사용해요.,lung,It helps you breathe air.,숨 쉴 때 필요한 거예요.
This hotel is ___.,이 호텔은 [[사치스러운]].,luxurious,It describes something very fancy and expensive.,아주 비싸고 멋진 것을 뜻해요.
The boy is ___ at the noise.,그 소년은 소음 때문에 [[화가 난]].,mad,You feel this when something makes you very angry.,무언가에 의해 매우 화가 날 때 느끼는 감정이에요.
The man is ___.,그 남자는 [[미친]] 사람이에요.,mad,Rearrange these letters!: D A M,다음 글자들을 재배열 해보세요!: D A M
I love eating ___ at tea.,나는 차와 함께 [[마들렌]]을 먹어요.,madeleine,"It is a small sponge cake, popular in France to eat with tea.",차와 함께 먹는 프랑스의 작은 케이크예요.
He danced _______ at the party.,그는 파티에서 [[미친 듯이]] 춤췄어요.,madly,"You do something in a wild, extreme way.",무언가를 매우 격렬하고 미친 것처럼 해요.
She performed a ___ on stage.,그녀는 무대에서 [[마술 묘기]]를 했어요.,magic trick,Rearrange these letters!: T R I C M A G I C K,다음 글자들을 재배열 해보세요!: T R I C M A G I C K
Her smile was ___.,그녀의 미소는 [[마술적인]].,magical,It is used for things that feel extra special and fun.,더 특별하고 멋진 느낌의 것을 말해요.
The ___ did magic on stage.,무대에서 [[마술사]]가 마법을 보여줬어요.,magician,This person performs magic tricks on stage.,이 사람은 무대에서 마법 기술을 보여줘요.
The ___ pulls metal.,이것은 [[자석]]예요.,magnet,It pulls metal things.,금속 물건을 당겨요.
I will ___ a letter.,나는 편지를 [[부치]]었어요.,mail,You use this to send letters or packages.,이것을 사용해 편지나 소포를 보내요.
She checks the ___ daily.,그녀는 매일 [[우편]]을 확인해요.,mail,A postman brings it to your house.,우체부가 집에 배달해요.
The ___ delivers our letters.,그 사람은 편지를 배달하는 [[우편배달부]]예요.,mail carrier,This person takes letters and brings them to your home.,이 사람은 편지를 가져다줘요.
I check the ___ every day.,나는 매일 [[우체통]]을 확인해요.,mailbox,It is a box for receiving letters and packages.,편지나 소포를 받는 상자예요.
They work ___ at home.,그들은 집에서 [[주로]] 일해요.,mainly,It shows what happens most often.,대부분의 일이 어떻게 일어나는지 보여줘요.
I ___ dinner.,나는 저녁을 [[만들]]어요.,make,You do this when you cook.,요리할 때 하는 행동이에요.
Mom ___ a cake.,엄마는 케이크를 [[만들]]어요.,make,You create something new.,새로운 것을 창조할 때 쓰는 단어에요.
They ___ money every day.,그들은 매일 돈을 [[벌]]어요.,make,You do this to get money.,이것은 돈을 얻기 위해 하는 일이에요.
I need to ______ my notes.,나는 이 노트를 [[복사]]해요.,make a copy of,You do this when you want another one exactly the same.,똑같은 것을 하나 더 원할 때 하는 행동이에요.
They will ___ tomorrow.,그들은 내일 [[결정]]할 거예요.,make a decision,"After thinking, you choose one option.",생각한 후에 한 가지를 선택해요.
I want to ___ at school.,나는 학교에서 [[친구를 사귀다]]해요.,make a friend,You start a friendship with someone new.,새로운 사람과 친분을 쌓는 거예요.
She works to ____ every day.,그녀는 매일 [[생계를 이어가다]]해요.,make a living,It means working to earn money for daily needs.,일상에 필요한 돈을 벌기 위해 일하는 것을 말해요.
I sometimes ___ on my homework.,나는 숙제에서 [[실수]]해요.,make a mistake,It means you do something wrong.,잘못한 행동을 나타내요.
The coach ___ with his hand.,코치는 손으로 [[신호]]했어요.,make a signal,You do this when you want others to notice you.,남들이 당신을 알아보게 하려고 하는 행동이에요.
Small acts can ___.,작은 행동들이 [[큰 차이를 만들다]].,make a world of difference,This phrase means to change things a lot.,이 숙어는 행동으로 크게 변화를 만드는 것을 의미해요.
They will ___ for a movie date.,그들은 영화 [[약속]]을 정했어요.,make an arrangement,It means planning a time to meet.,누군가와 만날 시간을 정하는 거예요.
They always ____ at the party.,그들은 파티에서 [[친구를 사귀다]].,make friends,It means to begin a new relationship with someone.,누군가와 새로운 관계를 시작하는 것을 말해요.
They ___ him in class.,그들은 수업 시간에 그를 [[놀리다]].,make fun of,How would you feel if someone laughs at you unkindly?,누군가가 당신을 향해 비웃는다면 기분이 어떨까요?
We hope you ___ to the party.,우리는 당신이 파티에 [[참석]]할 거예요.,make it,This phrase means you attend an event.,이 표현은 행사에 참석하는 것을 의미해요.
We will ___ on Friday.,우리는 [[만나기로 하다]] 금요일에 만나요.,make it,You set up a plan to get together with someone.,친구와 함께 만날 시간을 정하는 걸 말해요.
She hopes to ____ on time.,그녀는 제 시간에 [[도착]]했어요.,make it,Use it when you get there on time.,제시간에 도착할 때 쓰는 표현이에요.
You can ____ if you try.,노력하면 [[해내]] 할 수 있어요.,make it,It means to succeed by working hard.,열심히 노력해서 성공하는 것을 말해요.
They ___ at the busy restaurant.,그들은 바쁜 식당에서 [[소란스럽게 하다]]했어요.,make noise,You do this when you celebrate loudly.,시끄럽게 즐길 때 하는 행동이에요.
A small gift can ___.,작은 선물이 당신을 [[즐겁게]] 해요.,make one's day,It means to cause someone to feel very happy.,누군가를 기분 좋게 만드는 것을 말해요.
They ___ a nice story.,그들은 멋진 이야기를 [[만들다]].,make up,You create something new from your ideas.,자신의 아이디어로 새로운 것을 만들어요.
She will ___ a story.,그녀는 이야기를 [[지어내다]].,make up,You create a story that is not true.,사실이 아닌 이야기를 만들어내는 거예요.
She visited the ___ today.,그녀는 오늘 [[쇼핑몰]]를 방문했어요.,mall,It is a big building with many shops.,여러 가게가 있는 큰 건물이예요.
A ___ loves his family.,한 [[사람]]은 가족을 사랑해요.,man,This word means an adult male person.,이 단어는 어른 남자를 의미해요.
A ___ is in the park.,공원에 있는 [[남자]] 있어요.,man,It means an adult male person.,어른 남자를 뜻해요.
The ___ runs our office.,우리 회사의 [[관리자]]가 친절해요.,manager,This person helps run a company.,회사를 운영하는 사람을 말해요.
The ___ organizes the team.,그 [[감독]]은 팀을 조직해요.,manager,This person is in charge of others at work.,이 사람은 직장에서 다른 사람들을 책임져요.
He studied ______ in Chinese history.,그는 중국 역사에서 [[만주]]를 공부했어요.,Manchuria,It is an old term for a region in northeast Asia.,동북아에 위치한 지역의 옛 이름이에요.
Show good ______ at school.,학교에서 좋은 [[예의]]를 보여요.,manners,It refers to polite behavior with others.,다른 사람에게 공손하게 행동하는 것을 말해요.
I have ___ books.,나는 책이 [[많은]] 있어요.,many,It means a lot or a large number.,많거나 큰 수를 나타내요.
They ___ the area.,그들은 이 지역을 [[상세하게 그리다]]요.,map,You draw a detailed picture of a place.,어떤 장소의 자세한 그림을 그려요.
They will ___ the truth.,그들은 진실을 [[밝혀내]]었어요.,map,"When you want to discover something secret, you use this.",비밀을 알아내고 싶을 때 쓰는 단어예요.
I use a ___ when traveling.,나는 [[지도]]로 여행해요.,map,It helps you find the right road.,올바른 길을 찾는 데 이것을 사용해요.
I ran a ___ race.,나는 [[마라톤]] 경주를 했어요.,marathon,It is a long race you run.,너무 긴 경주를 달리는 거예요.
I draw with a ____.,나는 그림을 그릴 때 [[표시]]를 써요.,marker,You use this to write or draw on paper.,종이에 그림을 그리고 글씨를 쓸 때 사용하는 물건이에요.
They celebrated their ____ at church.,그들은 교회에서 [[결혼]]을 축하했어요.,marriage,It means two people become a family.,두 사람이 가족이 되는 일이에요.
They plan to ____ soon.,그들은 곧 [[결혼]]해요.,marry,Rearrange these letters!: R M Y R A,다음 글자들을 재배열 해보세요!: R M Y R A
The red planet is ___.,빨간 행성은 [[화성]]이에요.,Mars,It is a red planet in our solar system.,우리 태양계에 있는 빨간 행성이에요.
Please ___ the cards correctly.,카드를 올바르게 [[맞추다]] 하세요.,match up,It means to put two things that belong together.,비슷한 것을 서로 짝지어요.
Her scarf ___ her dress.,그녀의 스카프는 그녀의 드레스와 [[조화]]돼요.,match with,It describes when two things look good together.,두 가지가 서로 잘 어울릴 때 쓰는 말이에요.
I study ___ at school.,나는 학교에서 [[수학]]을 배워요.,math,It is a subject where you use numbers.,숫자를 사용하는 과목이에요.
He studies ______ at school.,그는 학교에서 [[수학]] 공부해요.,mathematics,You use numbers to solve problems.,문제를 풀 때 숫자를 사용해요.
I sleep on my new ______.,나는 새 [[매트리스]] 위에서 자요.,mattress,It is the soft pad on a bed for sleeping.,침대 위에 놓고 자는 부드러운 패드예요.
___ is a month in spring.,[[5월]]는 봄의 달이에요.,May,It comes right after April.,4월 다음에 오는 달이에요.
The ___ lived long ago.,그들은 오래 전에 [[마야]] 사람이었어요.,Mayan,They were an ancient group from Central America.,중앙아메리카의 옛날 사람들에요.
The cat got lost in the ___.,고양이가 길을 잃은 [[미로]]에서 헤맸어요.,maze,You might get lost because the paths are confusing.,길들이 헷갈려서 쉽게 길을 잃을 수 있어요.
He wandered through a ___.,그는 [[혼란]] 속을 헤맸어요.,maze,It is a place where you can easily lose your way.,쉽게 길을 잃을 수 있는 곳이에요.
What is the ____ of a word?,단어의 [[뜻]]은 무엇인가요?,meaning,It shows the idea or message of something.,어떤 것의 아이디어나 메시지를 나타내요.
The speech was ___.,그 연설은 [[의미심장한]].,meaningful,It shows something has clear purpose or value.,무엇인가 분명한 가치가 있을 때 사용해요.
"I read a book, ___ I watched TV.","나는 책을 읽었는데, [[반면에]] TV를 봤어요.",meanwhile,It is used to show that one thing is different from another.,한 가지가 다른 것임을 알려줘요.
"He cooked dinner; ___, she cleaned.","그는 저녁을 요리했어요; [[한편]], 그녀는 청소했어요.",meanwhile,It connects two events happening at the same time.,두 사건이 동시에 일어날 때 쓰는 단어예요.
"I cooked, and ___ he cleaned.","나는 요리했어요, 그리고 [[그 동안에]] 그는 청소했어요.",meanwhile,It shows two things at the same time.,두 가지 일이 동시에 일어남을 나타내요.
I like ___ for dinner.,나는 저녁으로 [[고기]]를 먹어요.,meat,It is food from animals.,동물에서 나온 음식이에요.
He received a ___ in the game.,그는 경기에서 [[메달]]을 받았어요.,medal,It is an award for winners.,이것은 우승자에게 주어지는 상이에요.
They must ___ the deadline.,그들은 마감일을 [[지키]]어야 해요.,meet,It means doing things on time.,시간 내에 일을 끝내는 뜻이에요.
I want to ___ her.,나는 그녀를 [[만나다]].,meet,"When you are introduced to someone, you greet them.",처음 만난 사람에게 인사해요.
I will ___ my friend today.,오늘 나는 친구를 [[만나다]].,meet,You see someone and say hello.,누군가를 보고 인사하는 거예요.
This product ____ quality standards.,이 제품은 품질 기준을 [[충족시키]]해요.,meet,It means to satisfy a requirement.,요구를 충족하는 것을 말해요.
The ____ is at the stadium.,스타디움에서 [[경기]]가 열려요.,meet,Athletes gather to compete in sports.,운동 선수들이 모여 경기를 해요.
She is a ___ of the club.,그녀는 동아리의 [[회원]]이에요.,member,A person who joins a group.,어떤 그룹에 들어간 사람이에요.
I left a ___ on the desk.,나는 책상 위에 [[메모]]를 남겼어요.,memo,It is a short note used to quickly share information.,빠르게 정보를 전달하기 위한 짧은 쪽지예요.
I will ______ this poem.,나는 이 시를 [[암기]]했어요.,memorize,You study until you know it by heart.,어떤 것을 완전히 외우기 위해 공부해요.
They ___ new words every day.,그들은 매일 새로운 단어를 [[암기]]해요.,memorize,You learn something by repeating it many times.,같은 것을 여러 번 반복해서 배워요.
I keep a ______ of that day.,나는 그 날의 [[추억]]을 간직해요.,memory,It is what you keep from past events.,과거의 일을 기억하는 것이에요.
I lost my ______ from yesterday.,나는 어제 [[기억]]을 잃었어요.,memory,It helps you recall past events.,과거의 일을 다시 떠올리는 데 도움을 줘요.
I use a ___ to save data.,나는 데이터를 저장하기 위해 [[메모리 스틱]]을 사용해요.,memory stick,It is a small device to store computer files.,컴퓨터 파일을 저장할 작은 장치예요.
The ___ sells many goods.,그 [[상인]]은 여러 물건을 팔아요.,merchant,This person sells things in a market.,물건을 파는 사람이에요.
My room is ____.,내 방은 [[어질러진]]예요.,messy,"When your room is not clean and organized, you use this word.",방이 깨끗하게 정리되지 않았을 때 쓰는 말이에요.
We enjoy ___ food.,우리는 [[멕시코의]] 음식을 즐겨요.,Mexican,This word describes something from Mexico.,멕시코와 관련된 거예요.
They live in the ___ area.,그들은 [[한가운데의]] 지역에 살아요.,middle,It means at the center.,가운데 위치를 의미해요.
I go to ___ every day.,나는 매일 [[중학교]]에 가요.,middle school,It is where students learn before high school.,고등학교 전에 다니는 학교예요.
It __ rain tonight.,오늘 밤 비가 올 [[일지도 모른다]].,might,"It shows possibility, not certainty.",확실하지 않고 가능성을 말해요.
He showed his ___ during the match.,그는 경기 중에 [[힘]]을 보였어요.,might,It means power or strength.,이 단어는 강한 힘을 말해요.
Birds ___ to warmer lands.,새들이 따뜻한 곳으로 [[이주]]했어요.,migrate,Some animals travel long distances in winter.,동물들이 겨울에 먼 길을 가요.
The farmer will ___ the cow.,농부가 소에서 [[젖]] 짜요.,milk,You do this on a cow to get something white.,소에게서 하얀 것을 얻기 위해 하는 행동이에요.
They try to ___ us for money.,그들은 우리에게 돈을 [[착취]]해요.,milk,It means to take money unfairly from someone.,다른 사람에게서 부당하게 돈을 가져가는 행위를 말해요.
Kids drink ___ at breakfast.,아이들은 아침에 [[우유]] 마셔요.,milk,It is a drink from a cow.,소에서 나오는 음료예요.
I have a ___ dollars.,나는 [[100만]] 달러를 갖고 있어요.,million,It is a big number with six zeros.,여섯 개의 0이 있는 큰 숫자예요.
The stars number ___ in the sky.,하늘에는 [[수백만의]] 별이 있어요.,millions of,It shows a very big number of things.,매우 많은 양을 나타내는 표현이에요.
Please ___ your manners.,제발 예의를 [[주의]]하세요.,mind,It is used when asking someone to be careful.,다른 사람을 위해 조심하라는 뜻이에요.
Do you ___ opening the window?,창문 열어도 [[꺼리]] 않아요?,mind,How do you ask if someone objects?,누군가 불편하면 어떻게 물어볼까요?
Do you ___ if I open the window?,창문을 열어도 [[꺼리]]해요.,mind,It is used when you do not want something to happen.,원하지 않을 때 쓰는 말이에요.
